identificador,nombre,href,agencia,timestamp,ubicacion,CCAA,codigo_postal,planta,orientacion,precio,precio_m2,antiguedad,actualizacion,superficie_util,superficie_construida,superficie,habitaciones,baños,cocina_equipada,amueblado,terraza,armarios_empotrados,calefaccion,aire_acondicionado,ascensor,consumo,emisiones
51715010628_279300,Piso en Nueva Andalucía,https://www.pisos.com/alquilar/piso-almeria_capital_nueva_andalucia04006-51715010628_279300/,INMOBILIARIA NUEVA ANDALUCIA,2025-02-12,almeria_capital,Andalucía,4006.0,4.0,SUR,750.0,7.0,,2025-02-12,91.0,104.0,104.0,3.0,2.0,Si,Si,,Si,,Si,Si,"E, E","E, E"
46710159331_279300,Piso en Nueva Andalucía,https://www.pisos.com/alquilar/piso-almeria_capital_nueva_andalucia04006-46710159331_279300/,INMOBILIARIA NUEVA ANDALUCIA,2025-02-17,almeria_capital,Andalucía,4006.0,1.0,SIN ESPECIFICAR,750.0,7.0,,2025-02-17,95.0,95.0,95.0,3.0,1.0,Si,Si,,Si,,,Si,"E, E","E, E"
48426063799_501470,Piso en Ciudad Jardín-Tagarete-Zapillo,https://www.pisos.com/alquilar/piso-ciudad_jardin_tagarete_zapillo04007-48426063799_501470/,ALCASA SERVICIOS INMOBILIARIOS,2025-02-11,almeria_capital,Andalucía,4007.0,2.0,SIN ESPECIFICAR,800.0,8.0,,2025-02-11,90.0,95.0,95.0,3.0,1.0,,,Si,,,,,Error al procesar consumo,Error al procesar emisiones
50921626893_100500,Piso en Altamira,https://www.pisos.com/alquilar/piso-oliveros_altamira_barrio_alto04005-50921626893_100500/,KELLER WILLIAMS ALMERIA.,2025-01-30,almeria_capital,Andalucía,4005.0,2.0,SIN ESPECIFICAR,1000.0,8.0,Más de 50 años,2025-01-30,98.0,118.0,118.0,3.0,2.0,,,Si,,,,Si,"F, E","F, E"
46675109004_108900,Piso en calle de Tirso de Molina,https://www.pisos.com/alquilar/piso-oliveros_altamira_barrio_alto04005-46675109004_108900/,M.M.C. INMOBILIARIA,2025-02-14,almeria_capital,Andalucía,4005.0,,SIN ESPECIFICAR,900.0,10.0,,2025-02-14,,85.0,85.0,3.0,1.0,Si,Si,Si,,,Si,Si,Error al procesar consumo,Error al procesar emisiones
40874710045_279300,Piso en Nueva Andalucía,https://www.pisos.com/alquilar/piso-almeria_capital_nueva_andalucia-40874710045_279300/,INMOBILIARIA NUEVA ANDALUCIA,2025-01-31,almeria_capital,Andalucía,,5.0,SUR,800.0,8.0,Entre 30 y 50 años,2025-01-31,90.0,90.0,90.0,3.0,2.0,Si,Si,,Si,,Si,Si,"E, E","E, E"
91222815958_279300,Piso en Plaza de Toros-Santa Rita,https://www.pisos.com/alquilar/piso-plaza_de_toros_santa_rita-91222815958_279300/,INMOBILIARIA NUEVA ANDALUCIA,2025-02-03,almeria_capital,Andalucía,,7.0,SIN ESPECIFICAR,750.0,6.0,,2025-02-03,108.0,108.0,108.0,3.0,1.0,Si,Si,Si,,,,Si,"E, E","E, E"
38341262890_100500,Piso en calle Santander,https://www.pisos.com/alquilar/piso-ciudad_jardin_tagarete_zapillo04007-38341262890_100500/,VEN & VIVE,2025-01-27,almeria_capital,Andalucía,4007.0,3.0,ESTE,200.0,1.0,Más de 50 años,2025-01-27,,107.0,107.0,4.0,2.0,,Si,Si,Si,,,,"E, E","E, E"
810186557_279300,Piso en Retamar,https://www.pisos.com/alquilar/piso-almeria_capital_retamar04131-810186557_279300/,INMOBILIARIA NUEVA ANDALUCIA,2025-02-07,almeria_capital,Andalucía,4131.0,2.0,SIN ESPECIFICAR,650.0,10.0,Entre 10 y 20 años,2025-02-07,60.0,60.0,60.0,2.0,2.0,Si,Si,,Si,Si,Si,Si,"E, E","E, E"
110940850_279300,Piso en Ciudad Jardín-Tagarete-Zapillo,https://www.pisos.com/alquilar/piso-ciudad_jardin_tagarete_zapillo-110940850_279300/,INMOBILIARIA NUEVA ANDALUCIA,2025-01-18,almeria_capital,Andalucía,,4.0,SIN ESPECIFICAR,750.0,8.0,,2025-01-18,85.0,85.0,85.0,3.0,1.0,Si,Si,Si,,,,,"F, F","F, F"
