nombre,agencia,precio_m2,precio,superficie,codigo_postal,href,actualizacion,consumo,emisiones,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Exterior,Antigüedad,Conservación,Referencia,Tipo suelo,Calefacción,Cocina equipada,Comedor,Lavadero,Orientación,No se aceptan mascotas,Armarios empotrados,Vidrios dobles,Carpintería exterior,Teléfono,Aire acondicionado,Chimenea,Garaje,Trastero,Portero automático,Puerta blindada,Sistema de seguridad,Ascensor,Adaptado a personas con movilidad reducida,Terraza,Jardín,Piscina,Soleado,Agua,Balcón,Amueblado,Carpintería interior,Se aceptan mascotas,Interior,Gastos de comunidad,Gas,Luz,Tipo de casa,Urbanizado,Calle alumbrada,Calle asfaltada,Superficie solar
Ático en Castilla,Engel & Völkers Madrid,19 €/m²,3.200 €/mes,167 m²,28079,https://www.pisos.com/alquilar/atico-castilla28036-50846967359_101800/,2025-01-09,Error al procesar consumo,Error al procesar emisiones,167 m²,,3,2,11ª,,,,IF77045-I-00L4QT-W-02XMXY,,Central,,,,,,,,,,,,1,,,,,N/A,,N/A,Privado,Propia,,,,,,,,,,,,,,,
Apartamento en Castellana,Engel & Völkers Madrid,27 €/m²,6.550 €/mes,240 m²,28079,https://www.pisos.com/alquilar/apartamento-salamanca_castellana28006-45883935476_101800/,2025-01-28,"A, A","A, A",240 m²,,4,3,,,,,IF77045-I-00L0JX-W-02WBUV,,,N/A,,,,,,,,,,,1,N/A,,,,N/A,,N/A,,,,,,,,,,,,,,,,,
Ático en Fuente del Berro,EVERYSTREET,20 €/m²,1.950 €/mes,95 m²,28079,https://www.pisos.com/alquilar/atico-fuente_del_berro28028-48356358902_108900/,2025-02-06,Error al procesar consumo,Error al procesar emisiones,95 m²,95 m²,2,1,,,,,XA156-SAP-3928,,N/A,,,,,,,,,,N/A,,,,,,,,,mtrs=15,,,,,,,,,,,,,,,,,
Apartamento en Universidad-Malasaña,Engel & Völkers Madrid,25 €/m²,3.300 €/mes,132 m²,28079,https://www.pisos.com/alquilar/apartamento-universidad_malasana28004-48407031967_101800/,2025-01-15,Error al procesar consumo,Error al procesar emisiones,132 m²,,2,2,1ª,,Más de 50 años,,IF77045-I-00L2I1-W-02WVAY,,Central,N/A,,N/A,,,1,,,,,,,,,,,N/A,,,,,,,,N/A,,,,,,,,,,,
Casa en Ciudad Jardín,Engel & Völkers Madrid,25 €/m²,4.500 €/mes,180 m²,28079,https://www.pisos.com/alquilar/casa-chamartin_ciudad_jardin28002-48347163392_101800/,2024-12-13,"E, E","E, E",180 m²,,3,2,,,,,IF77045-I-00L4EO-W-02XF24,,Central,N/A,,,,,1,,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,,,,,,
Casa en Encinar de los Reyes,Engel & Völkers Madrid,11 €/m²,5.800 €/mes,500 m²,28904,https://www.pisos.com/alquilar/casa-la_moraleja_encinar_de_los_reyes28055-47504999444_101800/,2025-01-02,"C, C","C, C",500 m²,,6,6,,,,,IF77045-I-00L2YS-W-02X3WU,,Central,N/A,,,,,1,,,,,,1,,,,,,,,Privado,Propia,,,,,,,,,,,,,,,
Piso en Castilla,Gilmar Alquileres Madrid Interior,20 €/m²,4.500 €/mes,218 m²,28079,https://www.pisos.com/alquilar/piso-centro_palacio28005-51677106740_102100/,2025-02-12,Error al procesar consumo,Error al procesar emisiones,218 m²,,5,3,,Exterior,,,GM19-203311,,,,,,,,,,,,,,1,N/A,,,,,,,N/A,N/A,,,,,,,,,,,,,,,
Estudio en Polígono Industrial Norte,"ALQUILER SEGURO,S.A.",26 €/m²,800 €/mes,30 m²,28134,https://www.pisos.com/alquilar/estudio-rosa_luxemburgo_padreron_poligono_industrial_norte-50910002132_108900/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,30 m²,,,1,2ª,N/A,,A estrenar,XA24-2812-033258,,N/A,N/A,N/A,,,,,,,,N/A,,N/A,,,,,N/A,,N/A,N/A,N/A,,N/A,,,,,,,N/A,N/A,,,,,
Ático en calle de Alonso Cano,SERVICHECK.,23 €/m²,3.400 €/mes,144 m²,28079,https://www.pisos.com/alquilar/atico-rios_rosas28003-46683911330_100500/,2024-08-13,Error al procesar consumo,Error al procesar emisiones,144 m²,125 m²,2,2,8ª,,,,SA4312-mar_alcano/9940,,,,,,Norte,,1,,,,N/A,,,,,,,N/A,,N/A,,Propia,,,,,,,,,,,,,,,
Apartamento en Pueblo Nuevo,Engel & Völkers Madrid,16 €/m²,2.000 €/mes,125 m²,28079,https://www.pisos.com/alquilar/apartamento-ciudad_lineal_pueblo_nuevo28017-50853514884_101800/,2025-02-11,Error al procesar consumo,Error al procesar emisiones,125 m²,,2,2,,,,,IF77045-I-00L71A-W-02YJLH,,Central,N/A,,N/A,,,1,,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,,,,,,
Piso en Hispanoamérica,INMOBILIARIA INTERNACIONAL CPM,21 €/m²,1.500 €/mes,71 m²,28079,https://www.pisos.com/alquilar/piso-chamartin_hispanoamerica28016-51708727162_100500/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,71 m²,65 m²,1,1,3ª,N/A,Entre 30 y 50 años,En buen estado,SA3051-08390,,,N/A,,,Sur,N/A,1,,,,N/A,,1,,,,,N/A,,N/A,,,,,,,,,,,,,,,,,
Piso en Soto de La Moraleja,Gilmar Alquileres Madrid Exterior,22 €/m²,5.500 €/mes,250 m²,28904,https://www.pisos.com/alquilar/piso-la_moraleja_encinar_de_los_reyes28109-51748130091_102100/,2025-02-06,Error al procesar consumo,Error al procesar emisiones,250 m²,,5,3,,,,,GM34-204862,,,,,,,,,,,,,,2,N/A,,,,,,,,,,,,,,,Interior,,,,,,,,
Chalet en Santa Teresa,"ALQUILER SEGURO,S.A.",8 €/m²,1.600 €/mes,200 m²,28045,https://www.pisos.com/alquilar/chalet-colmenar_viejo_el_mirador-51727446938_108900/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,200 m²,,3,3,,,,En buen estado,XA24-2807-033470,,N/A,N/A,N/A,,,,N/A,,,,,,N/A,,,,,,,N/A,,,,N/A,,,,,,,N/A,N/A,,,,,
Casa en Casco Antiguo,Engel & Völkers Madrid,13 €/m²,2.700 €/mes,203 m²,28080,https://www.pisos.com/alquilar/casa-majadahonda_casco_antiguo28220-50870763626_101800/,2025-01-28,Error al procesar consumo,Error al procesar emisiones,203 m²,,4,3,,,,,IF77045-I-00L6X2-W-02YIKW,,Central,N/A,,,,,,,,,,,1,,,,,,,N/A,Privado,Propia,,,,N/A,,,,,,,,,,,
Casa en Dehesa Vieja-Puente Cultural,Engel & Völkers Madrid,5 €/m²,3.900 €/mes,680 m²,28134,https://www.pisos.com/alquilar/casa-dehesa_vieja_puente_cultural28702-45085657897_101800/,2024-07-22,Error al procesar consumo,Error al procesar emisiones,680 m²,,7,8,,,,,IF77045-I-00KZJJ-W-02W1OA,,,N/A,,,,,,,,,,,1,N/A,,,,,,N/A,Privado,Propia,,,,,,,,,,,,,,,1.013 m²
Piso en Castellana,Engel & Völkers Madrid,33 €/m²,3.300 €/mes,100 m²,28079,https://www.pisos.com/alquilar/piso-salamanca_castellana28006-44222137478_101800/,2024-05-21,Error al procesar consumo,Error al procesar emisiones,100 m²,,4,2,5ª,,Más de 50 años,,IF77045-I-00KYZY-W-02VUKJ,,Central,N/A,,,,,1,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,
Piso en Recoletos,Engel & Völkers Madrid,31 €/m²,4.300 €/mes,135 m²,28079,https://www.pisos.com/alquilar/piso-recoletos28001-40876399088_101800/,2024-05-21,"C, C","C, C",135 m²,,2,2,,,,,IF77045-I-00KV0D-W-02UEV6,,Central,N/A,,,Este,,1,,,,,,1,,,,,N/A,,N/A,,,,,,N/A,,,,,,,,,,,
Piso en Hispanoamérica,INMOBILIARIA INTERNACIONAL CPM,28 €/m²,3.000 €/mes,105 m²,28079,https://www.pisos.com/alquilar/piso-chamartin_hispanoamerica28016-51682970533_100500/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,105 m²,97 m²,3,2,1ª,N/A,Más de 50 años,En buen estado,SA3051-08368,,,N/A,,,Este,N/A,1,,,,N/A,,1,N/A,,,,N/A,,N/A,,,,,,,,,,,,,,,,,
Apartamento en calle de Londres,Engel & Völkers Madrid,36 €/m²,2.970 €/mes,81 m²,28079,https://www.pisos.com/alquilar/apartamento-guindalera28028-49263234306_101800/,2024-11-05,Error al procesar consumo,Error al procesar emisiones,81 m²,,2,2,2ª,,Más de 50 años,,IF77045-I-00L4IN-W-02WOR8,,Central,N/A,,N/A,,,1,,,,,,,,,,,N/A,,,,,,,,N/A,,,,,,,,,,,
Piso en Tetuán,Gilmar Alquileres Madrid Interior,23 €/m²,1.500 €/mes,65 m²,28079,https://www.pisos.com/alquilar/piso-bellas_vistas28020-51740958842_102100/,2025-02-12,Error al procesar consumo,Error al procesar emisiones,65 m²,,2,1,,Exterior,,,GM19-205556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa rústica en calle de Navaluenga,Engel & Völkers Madrid,Error al procesar precio m²,A consultar,950 m²,28127,https://www.pisos.com/alquilar/casa_rustica-yucatan_la_cornisa-50860876102_101800/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,950 m²,,,9,,,Entre 30 y 50 años,,IF77045-I-00KOT1-W-02SZGE,,Central,N/A,,N/A,,,1,,,,,,1,N/A,,,,,,N/A,Privado,Propia,,,,N/A,,,,,,,Rústica,,,,1.700 m²
Apartamento en Almagro,Engel & Völkers Madrid,22 €/m²,8.300 €/mes,366 m²,28079,https://www.pisos.com/alquilar/apartamento-chamberi_almagro28010-51696841830_101800/,2025-02-13,"D, D","D, D",366 m²,,5,4,5ª,,Más de 50 años,,IF77045-I-00L7JV-W-02YSG8,,Central,N/A,,N/A,,,,,,,,,1,,,,,N/A,,N/A,,,,,,N/A,,,,,,,,,,,
Apartamento en Pacífico,Engel & Völkers Madrid,33 €/m²,1.400 €/mes,42 m²,28079,https://www.pisos.com/alquilar/apartamento-retiro_pacifico28007-49226139251_101800/,2025-01-28,Error al procesar consumo,Error al procesar emisiones,42 m²,,1,1,,,Más de 50 años,,IF77045-I-00L57V-W-02XWB7,,Central,N/A,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,
Piso en Arroyo de La Vega,Gilmar Alquileres Madrid Exterior,19 €/m²,3.850 €/mes,200 m²,28006,https://www.pisos.com/alquilar/piso-alcobendas_centro28108-51717374675_102100/,2025-02-10,Error al procesar consumo,Error al procesar emisiones,200 m²,,4,2,,,,,GM34-204784,,,,,,,,,,,,,,2,N/A,,,,,,,N/A,N/A,,,,,,,Interior,,,,,,,,
Apartamento en Rosa Luxemburgo-Padrerón-Polígono Industrial Norte,Engel & Völkers Madrid,14 €/m²,850 €/mes,58 m²,28134,https://www.pisos.com/alquilar/apartamento-rosa_luxemburgo_padreron_poligono_industrial_norte-51701471146_101800/,2025-02-17,Error al procesar consumo,Error al procesar emisiones,58 m²,,,1,1ª,,Menos de 5 años,,IF77045-I-00L7DO-W-02YPNE,,,N/A,,N/A,,,,,,,,,1,,,,,N/A,,,,Propia,,,,N/A,,,,,,,,,,,
Piso en Embajadores-Lavapiés,INMOBILIARIA INTERNACIONAL CPM,25 €/m²,2.100 €/mes,84 m²,28079,https://www.pisos.com/alquilar/piso-centro_embajadores_lavapies28012-50834016284_100500/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,84 m²,80 m²,2,1,4ª,N/A,Más de 50 años,En buen estado,SA3051-08193_,,,N/A,,,Este,N/A,1,,,,N/A,,,,,,,,,,,,,,,N/A,,,,,,,,,,,
Chalet en Algete,Gilmar Alquileres Madrid Exterior,10 €/m²,4.000 €/mes,370 m²,28009,https://www.pisos.com/alquilar/chalet-ciudad_jardin_valderrey-35032365361_102100/,2025-02-06,Error al procesar consumo,Error al procesar emisiones,370 m²,,7,4,,,,,GM34-187190,,,,,,Sur,,,,,,,,,,,,,,,,N/A,N/A,,,,,,,,,,,,,,,
Chalet en Conde Orgaz,Gilmar Alquileres Madrid Exterior,18 €/m²,4.500 €/mes,242 m²,28079,https://www.pisos.com/alquilar/chalet-chamartin_prosperidad28043-35095017640_102100/,2025-02-06,Error al procesar consumo,Error al procesar emisiones,242 m²,,8,4,,,,,GM34-186835,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,,,,,,,,,,,348 m²
Piso en Prosperidad,INMOBILIARIA INTERNACIONAL CPM,18 €/m²,2.100 €/mes,116 m²,28079,https://www.pisos.com/alquilar/piso-chamartin_prosperidad28002-51675199357_100500/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,116 m²,95 m²,2,2,5ª,N/A,Entre 30 y 50 años,En buen estado,SA3051-08356,,,N/A,,,Sur,N/A,1,,,,,,1,,,,,N/A,,,N/A,N/A,,,,N/A,,,,,,,,,,,
Estudio en Pueblo Nuevo,Engel & Völkers Madrid,33 €/m²,1.500 €/mes,45 m²,28079,https://www.pisos.com/alquilar/estudio-ciudad_lineal_pueblo_nuevo28017-50854836154_101800/,2025-01-31,"E, E","E, E",45 m²,,1,1,,,,,IF77045-I-00L6H5-W-02YBPL,,Central,N/A,,N/A,,,1,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,
Piso en Ciudad Lineal,"ALQUILER SEGURO,S.A.",28 €/m²,1.700 €/mes,60 m²,28079,https://www.pisos.com/alquilar/piso-san_juan_bautista28043-49202943046_108900/,2025-02-11,Error al procesar consumo,Error al procesar emisiones,60 m²,,2,2,3ª,N/A,,A estrenar,XA24-2805-032482,,N/A,N/A,N/A,,,,N/A,,,,N/A,,N/A,N/A,,,,N/A,,N/A,N/A,N/A,,N/A,,,,,,,N/A,N/A,,,,,
Chalet en San Isidro - los Almendros,"ALQUILER SEGURO,S.A.",7 €/m²,1.490 €/mes,190 m²,28005,https://www.pisos.com/alquilar/chalet-rinconada28803-51669943250_108900/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,190 m²,,3,2,,,,En buen estado,XA24-2830-033377,,N/A,N/A,N/A,,,,N/A,,,,N/A,,N/A,N/A,,,,,,N/A,N/A,,,N/A,,,,,,,N/A,N/A,,,,,
Apartamento en Castillejos,Engel & Völkers Madrid,42 €/m²,1.900 €/mes,45 m²,28079,https://www.pisos.com/alquilar/apartamento-castillejos28020-50855485338_101800/,2025-01-23,"D, C","D, C",45 m²,,,1,,,Menos de 5 años,,IF77045-I-00L6RV-W-02YGBB,,Central,N/A,,,,,1,,,,,,,,,,,N/A,,,,,,,,N/A,,,,,,,,,,,
Piso en Peñagrande,Gilmar Alquileres Madrid Exterior,19 €/m²,2.300 €/mes,119 m²,28079,https://www.pisos.com/alquilar/piso-fuencarral_el_pardo_el_pardo28035-51687932179_102100/,2025-02-08,Error al procesar consumo,Error al procesar emisiones,119 m²,,4,3,,Exterior,,,GM34-204216,,,,,,,,,,,,,,2,N/A,,,,,,,N/A,N/A,,,,,,,,,,,,,,,
Ático en Argüelles,Engel & Völkers Madrid,18 €/m²,1.800 €/mes,95 m²,28079,https://www.pisos.com/alquilar/atico-moncloa_aravaca_arguelles28008-50867963470_101800/,2025-02-12,Error al procesar consumo,Error al procesar emisiones,95 m²,,2,1,5ª,,,,IF77045-I-00L6YI-W-02YIS1,,Central,N/A,,N/A,,,1,,,,,,,N/A,,,,N/A,,,,,,,,,,,,,,,,,,,
Piso en Valdelacasa,INMOBILIARIA INTERNACIONAL CPM,17 €/m²,2.500 €/mes,140 m²,28006,https://www.pisos.com/alquilar/piso-alcobendas_valdelacasa-50080392552_100500/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,140 m²,130 m²,1,2,1ª,N/A,Entre 10 y 20 años,En buen estado,SA3051-07584,,,N/A,,,Este,N/A,1,,,,N/A,,1,,,,,N/A,,,,,,,,N/A,,,,,,,,,,,
Casa adosada en Colina,Engel & Völkers Madrid,14 €/m²,7.000 €/mes,482 m²,28079,https://www.pisos.com/alquilar/casa_adosada-ciudad_lineal_colina28043-40025002470_101800/,2024-05-21,Error al procesar consumo,Error al procesar emisiones,482 m²,,4,3,,,Entre 30 y 50 años,,IF77045-I-00KTNE-W-02U6IX,,Central,N/A,,,,,,,,,,,1,,,,,,,N/A,Privado,Propia,,,,,,,,,,,Adosada,,,,
Piso en Castellana,INMOBILIARIA INTERNACIONAL CPM,27 €/m²,3.250 €/mes,120 m²,28079,https://www.pisos.com/alquilar/piso-salamanca_castellana28006-50033178398_100500/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,120 m²,105 m²,3,2,7ª,N/A,Más de 50 años,En buen estado,SA3051-08299,,,N/A,,,Sur,N/A,1,,,,N/A,,,,,,,N/A,N/A,,,,,,N/A,N/A,,,,,,,,,,,
Piso en Europolis,"ALQUILER SEGURO,S.A.",13 €/m²,1.650 €/mes,120 m²,28127,https://www.pisos.com/alquilar/piso-europolis_montecillo_navalcarbon28232-51677236532_108900/,2025-02-11,Error al procesar consumo,Error al procesar emisiones,120 m²,,3,2,1ª,N/A,,En buen estado,XA24-2823-016109,,N/A,N/A,N/A,,,,N/A,,,,N/A,,N/A,N/A,,,,N/A,,N/A,N/A,N/A,,N/A,,,,,,,N/A,N/A,,,,,
Piso en Recoletos,INMOBILIARIA INTERNACIONAL CPM,24 €/m²,4.350 €/mes,178 m²,28079,https://www.pisos.com/alquilar/piso-recoletos28046-51750324055_100500/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,178 m²,131 m²,2,3,5ª,N/A,Más de 50 años,En buen estado,SA3051-07354,,,N/A,,,Norte,N/A,1,,,,N/A,,1,N/A,,,,N/A,,N/A,,,,,N/A,,,,,,,,,,,,
Piso en Centro,Altor Asesores,23 €/m²,1.600 €/mes,68 m²,28079,https://www.pisos.com/alquilar/piso-cortes_huertas28014-44208132269_108900/,2024-05-07,Error al procesar consumo,Error al procesar emisiones,68 m²,60 m²,1,1,,,,En buen estado,XA491-3900,,,N/A,,,,,,,,,,,,,,,,N/A,,,,,,N/A,,N/A,,,,,,,,,,,
Apartamento en Imperial,Engel & Völkers Madrid,22 €/m²,1.790 €/mes,81 m²,28079,https://www.pisos.com/alquilar/apartamento-imperial28005-44219092267_101800/,2024-06-25,Error al procesar consumo,Error al procesar emisiones,81 m²,,2,2,6ª,,Menos de 5 años,,IF77045-I-00KZ16-W-02VOK7,,Central,N/A,,N/A,,,1,,,,,,1,,,,,N/A,,N/A,,Propia,,,,,,,,,,,,,,,
Piso en Pozuelo de Alarcón,Gilmar Alquileres Madrid Exterior,39 €/m²,1.600 €/mes,41 m²,28115,https://www.pisos.com/alquilar/piso-somosaguas_humera_los_angeles28223-51766165565_102100/,2025-02-06,Error al procesar consumo,Error al procesar emisiones,41 m²,,1,1,,Exterior,,,GM34-205764,,,,,,,,,,,,,,1,N/A,,,,,,,,N/A,,,,,,,,,,,,,,,
Piso en Peñagrande,Gilmar Alquileres Madrid Exterior,23 €/m²,1.400 €/mes,59 m²,28079,https://www.pisos.com/alquilar/piso-fuencarral_el_pardo_el_pardo28035-51710343676_102100/,2025-02-07,Error al procesar consumo,Error al procesar emisiones,59 m²,,1,1,,Exterior,,,GM34-205604,,,,,,,,,,,,,,1,,,,,,,,N/A,N/A,,,,,,,,,,,,,,,
Piso en Boadilla del Monte,Gilmar Alquileres Madrid Exterior,11 €/m²,1.750 €/mes,154 m²,28022,https://www.pisos.com/alquilar/piso-boadilla_del_monte_monteprincipe28660-51735353975_102100/,2025-02-14,Error al procesar consumo,Error al procesar emisiones,154 m²,,3,2,,Exterior,,,GM34-204202,,,,,,,,,,,,,,2,N/A,,,,,,,N/A,N/A,,,,,,,,,,,,,,,
Ático en El Viso,Altor Asesores,19 €/m²,2.600 €/mes,135 m²,28079,https://www.pisos.com/alquilar/atico-chamartin_el_viso28006-51758839154_108900/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,135 m²,,3,2,,,,,XA491-4137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dúplex en El Viso,Engel & Völkers Madrid,22 €/m²,3.800 €/mes,170 m²,28079,https://www.pisos.com/alquilar/duplex-chamartin_el_viso28002-50009129025_101800/,2025-01-16,Error al procesar consumo,Error al procesar emisiones,170 m²,,2,3,,,Menos de 5 años,,IF77045-I-00L5BC-W-02XYIY,,,N/A,,,,,1,,,,,,1,,,,,N/A,,N/A,,,,,,N/A,,,,,,,,,,,
"Chalet pareado en calle de Emerenciana Zurilla, 39",Agencia no disponible,10 €/m²,2.550 €/mes,240 m²,28079,https://www.pisos.com/alquilar/chalet_pareado-valdezarza28039-51766379597_109800/,2025-02-16,"C, C","C, C",240 m²,,6,5,,,Entre 10 y 20 años,Reformado,21777742,,,N/A,,,,,,,,,,N/A,1,,,N/A,,,,,Privado,,,,,,,,,N/A,,,,N/A,N/A,N/A,
Chalet en Conde Orgaz,Gilmar Alquileres Madrid Exterior,9 €/m²,9.000 €/mes,1.000 m²,28079,https://www.pisos.com/alquilar/chalet-chamartin_prosperidad28043-15091421027_102100/,2025-02-06,Error al procesar consumo,Error al procesar emisiones,1.000 m²,,7,6,,,,,GM34-163876,,,,,,Sureste,,,,,,,,,,,,,,,,N/A,N/A,,,,,,,,,,,,,,,1.500 m²
Apartamento en Sanchinarro,Engel & Völkers Madrid,12 €/m²,1.650 €/mes,127 m²,28079,https://www.pisos.com/alquilar/apartamento-sanchinarro28050-51698863547_101800/,2025-02-04,Error al procesar consumo,Error al procesar emisiones,127 m²,,2,1,,,,,IF77045-I-00L774-W-02YNA3,,,N/A,,,,,1,,,,,,1,N/A,,,,N/A,,,,Propia,,,,N/A,,,,,,,,,,,
Piso en calle de Fernández de la Hoz,Altor Asesores,24 €/m²,1.800 €/mes,75 m²,28079,https://www.pisos.com/alquilar/piso-chamberi_almagro28010-50845137349_108900/,2025-01-29,Error al procesar consumo,Error al procesar emisiones,75 m²,67 m²,2,1,1ª,N/A,,En buen estado,XA491-1300,,Gas natural,N/A,,,Sureste,,,,,,,,,,,,,,,Balcones,,,,,,N/A,,,,,,,,,,,
Ático en Chamberí,Altor Asesores,28 €/m²,2.200 €/mes,76 m²,28079,https://www.pisos.com/alquilar/atico-trafalgar28010-49203922491_108900/,2024-11-13,Error al procesar consumo,Error al procesar emisiones,76 m²,,2,1,,N/A,,En buen estado,XA491-2862,,Gas natural,N/A,,,,,,,,,,,,,,,,,,N/A,,,,,,N/A,,,,,,,,,,,
Piso en calle de Ilustración,Altor Asesores,31 €/m²,2.500 €/mes,80 m²,28079,https://www.pisos.com/alquilar/piso-casa_de_campo28008-23418933460_108900/,2024-11-26,Error al procesar consumo,Error al procesar emisiones,80 m²,,2,2,,N/A,,En buen estado,XA491-2541,,Gas natural,N/A,,,Este,,,,,,Frío y calor,,,,,,,N/A,,,,,,,,N/A,,,,,,,,,,,
Ático en Perlita,"ALQUILER SEGURO,S.A.",10 €/m²,1.250 €/mes,120 m²,28014,https://www.pisos.com/alquilar/atico-la_perlita_colonia_de_los_almendros-51701754812_108900/,2025-02-11,Error al procesar consumo,Error al procesar emisiones,120 m²,,4,2,4ª,N/A,,En buen estado,XA24-2803-023074,,N/A,N/A,N/A,,,,N/A,,,,,,N/A,,,,,N/A,,N/A,N/A,N/A,,N/A,,,,,,,N/A,N/A,,,,,
Piso en Malasaña,Gilmar Alquileres Madrid Interior,22 €/m²,1.450 €/mes,65 m²,28079,https://www.pisos.com/alquilar/piso-justicia_chueca28004-51712220851_102100/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,65 m²,,1,1,,Exterior,,,GM19-203396,,,,,,,,,,,,,,,,,,,,,10,N/A,,,,,,,,,,,,,,,,
Piso en Cortes-Huertas,INMOBILIARIA INTERNACIONAL CPM,47 €/m²,3.900 €/mes,82 m²,28079,https://www.pisos.com/alquilar/piso-cortes_huertas28014-51710128250_100500/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,82 m²,75 m²,2,2,,N/A,Entre 30 y 50 años,En buen estado,SA3051-08396,,,N/A,,,Sur,N/A,1,,,,N/A,,,,,,,N/A,N/A,,,,,,N/A,N/A,,,,,,,,,,,
Piso en Niño Jesús,INMOBILIARIA INTERNACIONAL CPM,19 €/m²,2.200 €/mes,114 m²,28079,https://www.pisos.com/alquilar/piso-nino_jesus28009-51746554829_100500/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,114 m²,110 m²,2,1,,N/A,Más de 50 años,En buen estado,SA3051-08329_,,Central,N/A,,,Sur,N/A,1,,,,,,,,,,,N/A,,,,,,,,N/A,,,,,,,,,,,
Loft en Rosa Luxemburgo-Padrerón-Polígono Industrial Norte,Engel & Völkers Madrid,16 €/m²,1.450 €/mes,87 m²,28134,https://www.pisos.com/alquilar/loft-rosa_luxemburgo_padreron_poligono_industrial_norte-50930395225_101800/,2025-02-07,Error al procesar consumo,Error al procesar emisiones,87 m²,,1,1,3ª,,,,IF77045-I-00L6YL-W-02YI83,,,N/A,,,,,1,,,,,,1,,,,,N/A,,,,,,,,N/A,,,,,,,,,,,
Piso en S.S. de los Reyes,Gilmar Alquileres Madrid Exterior,27 €/m²,1.150 €/mes,42 m²,28134,https://www.pisos.com/alquilar/piso-arroyos_y_tempranales28703-51727333408_102100/,2025-02-16,Error al procesar consumo,Error al procesar emisiones,42 m²,,1,1,,,,,GM34-205074,,,,,,,,,,,,,,1,,,,,,,,N/A,N/A,,,,,,,Interior,,,,,,,,
Apartamento en Centro,Engel & Völkers Madrid,19 €/m²,990 €/mes,50 m²,28127,https://www.pisos.com/alquilar/apartamento-las_rozas_de_madrid_centro28231-51740473591_101800/,2025-02-03,Error al procesar consumo,Error al procesar emisiones,50 m²,,1,1,1ª,,,,IF77045-I-00L75T-W-02YMQB,,Central,N/A,,,,,,,,,,,,,,,,,,N/A,Privado,Propia,,,,,,,,,,,,,,,
Piso en Pedrezuela,"ALQUILER SEGURO,S.A.",8 €/m²,780 €/mes,88 m²,28108,https://www.pisos.com/alquilar/piso-pedrezuela_centro_urbano-50844566932_108900/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,88 m²,,2,2,1ª,N/A,,En buen estado,XA24-28DG-033270,,N/A,N/A,N/A,,,,N/A,,,,,,N/A,,,,,,,N/A,,,,N/A,,,,,,,N/A,N/A,,,,,
Piso en Salamanca,Gilmar Alquileres Madrid Interior,20 €/m²,1.400 €/mes,68 m²,28079,https://www.pisos.com/alquilar/piso-goya28028-51734367747_102100/,2025-02-17,Error al procesar consumo,Error al procesar emisiones,68 m²,,1,1,,Exterior,,,GM19-206449,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,
Apartamento en Trafalgar,Engel & Völkers Madrid,34 €/m²,1.500 €/mes,44 m²,28079,https://www.pisos.com/alquilar/apartamento-trafalgar28010-50882126189_101800/,2025-01-30,Error al procesar consumo,Error al procesar emisiones,44 m²,,1,1,3ª,,Más de 50 años,,IF77045-I-00L71M-W-02Y9Y4,,Central,N/A,,,,,1,,,,,,,,,,,N/A,,,,,,,,N/A,,,,,,,,,,,
Piso en calle de Hortaleza,Altor Asesores,23 €/m²,2.500 €/mes,105 m²,28079,https://www.pisos.com/alquilar/piso-justicia_chueca28004-44241875164_108900/,2024-09-21,Error al procesar consumo,Error al procesar emisiones,105 m²,,2,2,,N/A,,En buen estado,XA491-2556,,Gas natural,N/A,,,,,,,,,Frío y calor,,,N/A,,,,N/A,,N/A,,,,,,N/A,,,,,,,,,,,
