nombre,agencia,precio_m2,precio,superficie,codigo_postal,href,actualizacion,consumo,emisiones,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Exterior,Antigüedad,Conservación,Referencia,Tipo suelo,Calefacción,Cocina equipada,Comedor,Lavadero,Orientación,No se aceptan mascotas,Armarios empotrados,Vidrios dobles,Carpintería exterior,Teléfono,Aire acondicionado,Chimenea,Garaje,Trastero,Portero automático,Puerta blindada,Sistema de seguridad,Ascensor,Adaptado a personas con movilidad reducida,Terraza,Jardín,Piscina,Soleado,Agua,Balcón,Amueblado,Carpintería interior,Se aceptan mascotas,Interior,Gastos de comunidad,Gas,Luz,Tipo de casa,Urbanizado,Calle alumbrada,Calle asfaltada,Superficie solar
Piso en Avenida Ángeles,TECNOCASA POZUELO,19 €/m²,1.800 €/mes,91 m²,28115,https://www.pisos.com/alquilar/piso-somosaguas_humera_los_angeles28223-39259404008_100200/,2024-11-29,"F, E","F, E",91 m²,,2,2,,,Entre 20 y 30 años,En buen estado,TC510-564115,,,,,,,,,,,,,,1,,,,,,,N/A,,Comunitaria,,,,,,,,,,,,,,,
Chalet pareado en El Encinar de los Reyes,MAGNAPOL Soluciones Inmobiliarias,15 €/m²,4.300 €/mes,270 m²,28904,https://www.pisos.com/alquilar/chalet_pareado-el_soto_de_la_moraleja-10360831_179400/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,270 m²,270 m²,4,4,,,Entre 20 y 30 años,En buen estado,1794-001913,,Gas natural,Con office,N/A,N/A,,,,,,,Frío y calor,,,,,,,,,Solarium,Privado,Comunitaria,,,,,,,,,,,,,,,
Piso en calle de Brescia,ESRIV INMOBILIARIA REAL ESTATE,21 €/m²,1.200 €/mes,55 m²,28079,https://www.pisos.com/alquilar/piso-guindalera28028-50050315198_100500/,2025-01-20,Error al procesar consumo,Error al procesar emisiones,55 m²,46 m²,1,1,Bajo,,Más de 50 años,,SA4408-3865301VK4736F0006UI/9927,,,,,,Sureste,,1,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,
Piso en calle de José María de Castro,RSB Consultores,30 €/m²,900 €/mes,30 m²,28079,https://www.pisos.com/alquilar/piso-tetuan_cuatro_caminos28020-51721169444_100500/,2025-02-20,"E, E","E, E",30 m²,28 m²,1,1,3ª,N/A,Más de 50 años,En buen estado,SA2690-A280/25,,,N/A,,,Sur,N/A,1,,,,N/A,,,,,,,,,,,,,,,N/A,,,,,,,,,,,
Piso en Paseo de Extremadura,REDPISO PASEO EXTREMADURA,17 €/m²,950 €/mes,55 m²,28079,https://www.pisos.com/alquilar/piso-puerta_del_angel-51704706126_104700/,2025-02-13,Error al procesar consumo,Error al procesar emisiones,55 m²,50 m²,1,1,,,Entre 20 y 30 años,En buen estado,STA16-RP1212025134543,Tarima maciza,Gas natural,,,,,,,,,,Frío y calor,,,,,,,N/A,,,,,,,,,,,,,,,,,,,
Piso en Avenida de Pablo Iglesias,Alfa Reina Victoria,30 €/m²,2.100 €/mes,70 m²,28079,https://www.pisos.com/alquilar/piso-ciudad_universitaria28040-51712260494_101000/,2025-02-12,Error al procesar consumo,Error al procesar emisiones,70 m²,,3,2,,N/A,,,AF37-6224/975,,,,,,,,,,,,Frío,,,,,,,N/A,,,,,,,,N/A,,,,,,,,,,,
Piso en calle de Felipe IV,Soluciones Tengacasa,29 €/m²,3.500 €/mes,120 m²,28079,https://www.pisos.com/alquilar/piso-jeronimos28014-50871443474_440000/,2025-02-20,"E, E","E, E",120 m²,120 m²,3,2,3ª,N/A,Más de 50 años,Reformado,4400-23695,Parquet,Gas natural,N/A,,,Sureste,N/A,Más de 2,N/A,Madera,,Frío y calor,,,,,N/A,,N/A,,,,,N/A,,N/A,,,,,,,,,,,,
"Piso en calle de la Cruz, 10",HOMES2RENT,32 €/m²,1.300 €/mes,40 m²,28079,https://www.pisos.com/alquilar/piso-sol_barrio28012-49211439174_529055/,2025-02-13,Error al procesar consumo,Error al procesar emisiones,40 m²,36 m²,1,1,1ª,N/A,Entre 30 y 50 años,En buen estado,4529055-000006,Gres,Eléctrica,N/A,N/A,N/A,Sureste,N/A,1,N/A,Aluminio,,Frío,,,,,,,N/A,,,,,N/A,,N/A,N/A,N/A,,,,,,,,,,
Piso en Embajadores-Lavapiés,SOLUIN,16 €/m²,2.800 €/mes,167 m²,28079,https://www.pisos.com/alquilar/piso-centro_embajadores_lavapies28012-50848454141_523188/,2025-02-06,"E, E","E, E",167 m²,160 m²,5,2,2ª,N/A,Más de 50 años,En buen estado,4523188-Solu210,,Gas natural,N/A,N/A,,,,Más de 2,,Aluminio,,,,,,,,,"Instalado, a falta de permisos y licencias",,,,,,,N/A,N/A,,,N/A,,N/A,,,,,,
"Piso en calle Valle de Bustarviejo,  11",ALKIRA LIVING,14 €/m²,1.325 €/mes,94 m²,28148,https://www.pisos.com/alquilar/piso-zona_suroeste-4954415334_109700/,2025-02-20,"A, A","A, A",94 m²,,3,2,,,,A estrenar,4526851-VI-019-001-004-C,,Gas natural,N/A,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,
