nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Superficie solar,Habitaciones,Baños,Conservación,Referencia,Calefacción,Cocina equipada,Terraza,Orientación,Urbanizado,Calle alumbrada,Calle asfaltada,Planta,Exterior,Antigüedad,Carpintería interior,Tipo suelo,Vidrios dobles,Carpintería exterior,Aire acondicionado,Comedor,Garaje,Trastero,Portero automático,Puerta blindada,Ascensor,Adaptado a personas con movilidad reducida,Soleado,Gastos de comunidad,Amueblado,Armarios empotrados,Gas,Lavadero,Se aceptan mascotas,Sistema de seguridad,Balcón,Tipo de casa,Teléfono,Chimenea,Jardín,Piscina,Agua,Luz,Interior
Piso en Plaça de la Balconada,Aliseda Inmobiliaria,1.045 €/m²,92.000 €,88 m²,https://www.pisos.com/comprar/piso-la_balconada_cal_gravat08243-47554736804_105900/,Anuncio actualizado el 28/12/2024,Error al procesar consumo,Error al procesar emisiones,bages (BCN),88 m²,,,3,1,,AN1-ANT00030665728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Casanova,INSTAL·LA`T,1.955 €/m²,350.000 €,179 m²,https://www.pisos.com/comprar/piso-centre_passeig_i_rodalies-26749261329_520901/,Anuncio actualizado el 30/05/2024,"E, E","E, E",bages (BCN),179 m²,150 m²,,4,3,En buen estado,4520901-00259,Gas natural,N/A,N/A,,,,,1ª,N/A,Más de 50 años,,,,,,N/A,,,,,,,,,,,,,,,N/A,,,,,,,,
"Piso en Carrer de Sant Climent, 4",ALTAMIRA,629 €/m²,29.600 €,47 m²,https://www.pisos.com/comprar/piso-suria_centro_urbano-25073961566_103600/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),47 m²,47 m²,,2,1,,AM9-2041##2041_1134_PE0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Pompeu Fabra,FINQUES PASSEIG,1.631 €/m²,155.000 €,95 m²,https://www.pisos.com/comprar/piso-centre_passeig_i_rodalies08242-44199966789_100500/,Anuncio actualizado el 17/02/2025,"E, E","E, E",bages (BCN),95 m²,75 m²,,4,2,,SA1076-B17789G/5339,Gas natural,,,Sureste,,,,1ª,,Más de 50 años,,Gres,,,N/A,,,,,,N/A,,,,,,,,,N/A,N/A,,,,,,N/A,,
Casa rústica en Sant Joan de Vilatorrada,Engel & Völkers MMC Barcelona,1.102 €/m²,1.150.000 €,1.043 m²,https://www.pisos.com/comprar/casa_rustica-sant_joan_de_vilatorrada_centro_urbano-42537994213_101800/,Anuncio actualizado el 11/10/2024,Error al procesar consumo,Error al procesar emisiones,bages (BCN),1.043 m²,,81.245 m²,7,4,,IF76306-I-00Y1OT-W-02UDW4,Central,N/A,N/A,A la montaña,,,,,,Entre 30 y 50 años,,,,,,,1,N/A,,,,,,,,1,,,,,,Rústica,,,Privado,Propia,,,
"Piso en Plaza de Fius I Palà, 1",PISOS DEL BAGES,1.036 €/m²,259.000 €,250 m²,https://www.pisos.com/comprar/piso-barri_antic-48415642134_101300/,Anuncio actualizado el 31/10/2024,Error al procesar consumo,Error al procesar emisiones,bages (BCN),250 m²,205 m²,,4,1,,API122-PIS572,,,,,,,,,,Más de 50 años,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,
"Piso en calle Cl Alcalde Armengo,, nº .",Housfy real Estate,1.619 €/m²,285.000 €,176 m²,https://www.pisos.com/comprar/piso-manresa_poble_nou-48401407971_109300/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),176 m²,176 m²,,4,2,,EP442-815864,N/A,,N/A,,,,,1ª,,,,,,,N/A,,,,,,N/A,,,,,,,,,,,,,,,,,,
Dúplex en Poble Nou,B.C. GESTIONS,1.600 €/m²,240.000 €,150 m²,https://www.pisos.com/comprar/duplex-manresa_poble_nou-51761922119_106700/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),150 m²,138 m²,,4,,,IFC76360-SBRE-0134287,,,,,,,,,,Entre 10 y 20 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Plaça de la Vila,FINQUES PASSEIG,1.505 €/m²,140.000 €,93 m²,https://www.pisos.com/comprar/piso-navarcles_centro_urbano-49237731488_100500/,Anuncio actualizado el 17/02/2025,"E, E","E, E",bages (BCN),93 m²,90 m²,,3,1,,SA1076-10246/5339,,,,,,,,1ª,,Más de 50 años,,Parquet,,,N/A,,,,,,,,,,,,,,,,N/A,,,,,,,,
Piso en Carrer d'Oleguer Miró,WEST SIDE,958 €/m²,125.500 €,131 m²,https://www.pisos.com/comprar/piso-la_balconada_cal_gravat08241-50037610941_100500/,Anuncio actualizado el 19/12/2024,"D, D","D, D",bages (BCN),131 m²,101 m²,,4,1,En buen estado,SA3620-0739-665-762-V,,Cocina americana,,,,,,4ª,N/A,Entre 30 y 50 años,,Gres,,,,,,,,,N/A,,N/A,,,,,,,,,,,,,,,,
Casa unifamiliar en Sant Salvador de Guardiola,Estudi Manresa Slu,1.800 €/m²,189.000 €,105 m²,https://www.pisos.com/comprar/casa_unifamiliar-sant_salvador_de_guardiola_centro_urbano-47517482570_100200/,Anuncio actualizado el 30/01/2025,"E, E","E, E",bages (BCN),105 m²,,,3,1,En buen estado,TC1130-595360,Central,,N/A,,,,,,,Entre 30 y 50 años,,,,,,,1,,,,,,,,,,,,,,,Unifamiliar,,,N/A,,,,
Casa en River Parc,CONSULTIN Consultors Integrals,1.835 €/m²,178.000 €,97 m²,https://www.pisos.com/comprar/casa-el_pont_de_vilomara_i_rocafort_centro_urbano-32511903985_100500/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),97 m²,80 m²,820 m²,3,1,,SA816-CM02853/3377,Eléctrica,,N/A,,N/A,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,N/A,Propia,N/A,,
Piso en Carrer de Francesc Moragas,FINQUES PASSEIG,1.860 €/m²,174.900 €,94 m²,https://www.pisos.com/comprar/piso-valldaura08241-50053978259_100500/,Anuncio actualizado el 17/02/2025,"G, E","G, E",bages (BCN),94 m²,78 m²,,3,2,,SA1076-2965-3PK/5339,Eléctrica,,,Suroeste,,,,1ª,,Entre 20 y 30 años,,Gres,,,,,,,,N/A,N/A,,,,,,,,,,N/A,,,,,,N/A,,
Casa en Camp de Futbol,CONSULTIN Consultors Integrals,181 €/m²,75.000 €,414 m²,https://www.pisos.com/comprar/casa-navarcles_centro_urbano-10865468797_100500/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),414 m²,350 m²,414 m²,3,1,,SA816-CM02629/3377,,,,,,,,,,Más de 50 años,,Gres,,,,,1,,,,,,,,,,,,,,,,,N/A,N/A,,,,
Casa en Avenida Era Den Baume,Aliseda Inmobiliaria,279 €/m²,132.000 €,473 m²,https://www.pisos.com/comprar/casa-castellbell_i_el_vilar_centro_urbano-35884896114_107000/,Anuncio actualizado el 23/05/2024,Error al procesar consumo,Error al procesar emisiones,bages (BCN),473 m²,,,3,1,,AS1-50295602,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Carrer de l'Espígol, nº -",ALTAMIRA,939 €/m²,64.800 €,69 m²,https://www.pisos.com/comprar/piso-congost_santa_caterina_els_comtals08243-40897398319_103600/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),69 m²,69 m²,,2,1,,AM9-2061##02003525,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,
Piso en Bages,IAD ESPAÑA,1.680 €/m²,210.000 €,125 m²,https://www.pisos.com/comprar/piso-manresa_poble_nou-48340824112_108700/,Anuncio actualizado el 08/02/2025,"F, E","F, E",bages (BCN),125 m²,125 m²,,3,2,,UVC882-27790,N/A,,,,,,,,,Entre 30 y 50 años,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,
Piso en Passeig de Pere III,INSTAL·LA`T,3.298 €/m²,640.000 €,194 m²,https://www.pisos.com/comprar/piso-centre_passeig_i_rodalies08242-45075847141_520901/,Anuncio actualizado el 20/06/2024,"E, E","E, E",bages (BCN),194 m²,155 m²,,4,3,En buen estado,4520901-APIALIA V0396,,,N/A,,,,,4ª,N/A,Entre 20 y 30 años,,Parquet,N/A,Aluminio,,,1,,N/A,,N/A,,N/A,,,Más de 2,N/A,,,,,,,N/A,Comunitario,Comunitaria,,,
Casa en Artés,INMODERNA GSI,977 €/m²,575.000 €,588 m²,https://www.pisos.com/comprar/casa-artes_centro_urbano-35835920811_101300/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),588 m²,450 m²,,6,2,En buen estado,API222-OI202164,N/A,,,,,,,,,Más de 50 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de la Caça,FINQUES PASSEIG,1.882 €/m²,160.000 €,85 m²,https://www.pisos.com/comprar/piso-sant_fruitos_de_bages_centro_urbano-46747220401_100500/,Anuncio actualizado el 17/02/2025,"G, G","G, G",bages (BCN),85 m²,58 m²,,3,1,,SA1076-10200/5339,Eléctrica,,N/A,,,,,1ª,,Entre 30 y 50 años,,Gres,,,,,,N/A,,,,,,,,,,,,,N/A,,,,,,,,
Piso en Carrer de Martí i Julià,FINQUES PASSEIG,1.584 €/m²,179.000 €,113 m²,https://www.pisos.com/comprar/piso-placa_de_catalunya08242-94240232933_100500/,Anuncio actualizado el 17/02/2025,"E, E","E, E",bages (BCN),113 m²,92 m²,,3,2,,SA1076-624/5339,Gas natural,,,Oeste,,,,3ª,,Entre 30 y 50 años,,Parquet,,,N/A,,,N/A,,N/A,N/A,,,,,,,,,,N/A,,,,,,N/A,,
Casa unifamiliar en El Borràs,"FINQUES MAJES 2000, S.L.",2.368 €/m²,225.000 €,95 m²,https://www.pisos.com/comprar/casa_unifamiliar-castellbell_i_el_vilar_centro_urbano-34178296866_501506/,Anuncio actualizado el 06/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),95 m²,87 m²,812 m²,2,1,Reformado,501506-V6776J,Gasoil,Office 10 metros,,Sureste,N/A,N/A,N/A,,,Más de 50 años,Sapelly,Terrazo,N/A,Aluminio,,24 metros,Más de 2,,,,,,,,,,,3 metros,,,,Unifamiliar,,,Privado,,,,
Piso en Carrer del Bruc,FACTOR IMMOBLES,2.010 €/m²,189.000 €,94 m²,https://www.pisos.com/comprar/piso-valldaura08241-47583837006_100500/,Anuncio actualizado el 16/10/2024,"E, E","E, E",bages (BCN),94 m²,85 m²,,3,1,En buen estado,4995489-1578,Gas natural,Cocina amueblada,,Oeste,,,,2ª,N/A,Entre 20 y 30 años,,,N/A,,Frío,,,,,,N/A,,,,,1,,,,,N/A,,,,,,,,
Casa en Urbanización Ca L'esteve,PISOS DEL BAGES,1.601 €/m²,213.000 €,133 m²,https://www.pisos.com/comprar/casa-sant_salvador_de_guardiola_centro_urbano-34199980173_101300/,Anuncio actualizado el 22/04/2024,Error al procesar consumo,Error al procesar emisiones,bages (BCN),133 m²,120 m²,,3,1,En buen estado,API122-CAS501,,,,Sur,,,,,,Entre 20 y 30 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa adosada en Avenida Rusiñol,Aliseda Inmobiliaria,255 €/m²,99.000 €,388 m²,https://www.pisos.com/comprar/casa_adosada-centre_passeig_i_rodalies08242-45091973311_105900/,Anuncio actualizado el 31/01/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),388 m²,,,5,1,,AN1-PDVAN00062049320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adosada,,,,,,,
Piso en Valldaura,FINQUES PASSEIG,923 €/m²,85.000 €,92 m²,https://www.pisos.com/comprar/piso-valldaura08241-51686497181_100500/,Anuncio actualizado el 17/02/2025,"E, E","E, E",bages (BCN),92 m²,86 m²,,4,1,,SA1076-V0041/5339,,,N/A,Norte,,,,1ª,,Más de 50 años,,Terrazo,,,,,,,,,,,,,,1,,,,N/A,N/A,,,,,,N/A,,
Piso en Centre,FINQUES PUJOL,1.723 €/m²,112.000 €,65 m²,https://www.pisos.com/comprar/piso-sallent_centro_urbano-552747134_500010/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),65 m²,53 m²,,2,1,En buen estado,500010-000393,N/A,N/A,,,,,,1ª,N/A,,,Parquet,N/A,,,N/A,1,N/A,N/A,N/A,N/A,,,,,,N/A,N/A,,,N/A,,,,,,,,
Casa en Castellbell i el Vilar,InmueblesBcn,919 €/m²,400.000 €,435 m²,https://www.pisos.com/comprar/casa-castellbell_i_el_vilar_centro_urbano-47547360552_101300/,Anuncio actualizado el 09/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),435 m²,395 m²,,6,4,,API62-A-V-CASTELL,N/A,,,,,,,,,Más de 50 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Sant Vicenç de Castellet,L@MFINQUES,1.638 €/m²,178.640 €,109 m²,https://www.pisos.com/comprar/piso-sant_vicenc_de_castellet_centro_urbano-51709998818_501283/,Anuncio actualizado el 18/02/2025,"D, D","D, D",bages (BCN),109 m²,102 m²,,3,1,En buen estado,501283-010288,Gas natural,N/A,,Oeste,,,,2ª,N/A,Entre 20 y 30 años,N/A,Gres,N/A,Aluminio,,N/A,1,,N/A,N/A,N/A,N/A,N/A,546€,,,N/A,N/A,,,N/A,,,,,,,,
Piso en El Palillo,CONSULTIN Consultors Integrals,1.142 €/m²,88.000 €,77 m²,https://www.pisos.com/comprar/piso-sant_joan_de_vilatorrada_centro_urbano-50846218462_100500/,Anuncio actualizado el 05/02/2025,"E, E","E, E",bages (BCN),77 m²,74 m²,,3,1,,SA816-CM02997/3377,Gas natural,,,,,,,5ª,,Más de 50 años,,Gres,,,N/A,,,,,,,,,Más de 100 €,,,,,,,N/A,,,,,,N/A,,
Casa unifamiliar en Mas Planoi,"FINQUES MAJES 2000, S.L.",3.014 €/m²,410.000 €,136 m²,https://www.pisos.com/comprar/casa_unifamiliar-castellgali_centro_urbano-32597114712_501506/,Anuncio actualizado el 06/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),136 m²,117 m²,437 m²,3,2,A estrenar,501506-V6763J,,10 metros independiente,20 metros,,N/A,N/A,N/A,,,Menos de 5 años,Por determinar,Por determinar,,Por determinar,,27 metros,2,,,,,,,,,,,,,,,Unifamiliar,,,Privado,Consultar condiciones,,,
Piso en Muralla de Sant Domènec,FINQUES PASSEIG,2.285 €/m²,320.000 €,140 m²,https://www.pisos.com/comprar/piso-barri_antic-94173556565_100500/,Anuncio actualizado el 17/02/2025,"G, E","G, E",bages (BCN),140 m²,104 m²,,5,3,,SA1076-625/5339,Gas natural,,N/A,Este,,,,1ª,,Más de 50 años,,,,,N/A,N/A,,N/A,,,N/A,,,Más de 100 €,,,,,,,N/A,,,,,,N/A,,
Piso en Carrer de Viladordis,FINQUES PASSEIG,1.228 €/m²,149.900 €,122 m²,https://www.pisos.com/comprar/piso-manresa_sagrada_familia08243-51733952943_100500/,Anuncio actualizado el 17/02/2025,"F, E","F, E",bages (BCN),122 m²,100 m²,,4,1,,SA1076-Z2094ZZ/5339,Gas natural,,,,,,,4ª,,Más de 50 años,,Terrazo,,,N/A,,,,,,N/A,,,,,,,,,,N/A,,,,,,,,
Casa en calle de Manresa A Calaf Pl.10 Parc.80,Aliseda Inmobiliaria,1.267 €/m²,90.000 €,71 m²,https://www.pisos.com/comprar/casa-fonollosa_centro_urbano-34261404034_107000/,Anuncio actualizado el 05/06/2024,Error al procesar consumo,Error al procesar emisiones,bages (BCN),71 m²,,,2,1,,AS1-52880415,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,
Piso en Carrer de Circumval·lació,FINQUES PASSEIG,1.495 €/m²,149.500 €,100 m²,https://www.pisos.com/comprar/piso-centre_passeig_i_rodalies-44215635830_100500/,Anuncio actualizado el 17/02/2025,"E, E","E, E",bages (BCN),100 m²,95 m²,,4,2,,SA1076-003350/5339,Gas natural,,,,,,,3ª,,Entre 30 y 50 años,,Terrazo,,,,,,,,,N/A,,,,,,,,,,N/A,,,,,,,,
Piso en Institut,CONSULTIN Consultors Integrals,1.773 €/m²,172.000 €,97 m²,https://www.pisos.com/comprar/piso-sant_vicenc_de_castellet_centro_urbano-19186974430_100500/,Anuncio actualizado el 01/02/2025,"E, E","E, E",bages (BCN),97 m²,74 m²,,3,2,,SA816-CM02715/3377,Gas natural,,,,,,,1ª,,Entre 10 y 20 años,,,,,N/A,,,,,N/A,N/A,,,Más de 100 €,,,,,,N/A,N/A,,,,,,N/A,,
Piso en Bages,IAD ESPAÑA,1.287 €/m²,121.000 €,94 m²,https://www.pisos.com/comprar/piso-barri_antic-48360087208_108700/,Anuncio actualizado el 17/11/2024,"D, C","D, C",bages (BCN),94 m²,94 m²,,3,1,,UVC882-25805,,,,,,,,,,Más de 50 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dúplex en Poble Nou,B.C. GESTIONS,1.615 €/m²,163.200 €,101 m²,https://www.pisos.com/comprar/duplex-manresa_poble_nou-50064385532_106700/,Anuncio actualizado el 08/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),101 m²,84 m²,,2,1,,IFC76360-SBRE-0134617,,,N/A,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,
Piso en Carrer de Pep Ventura,Hi Homie,2.882 €/m²,245.000 €,85 m²,https://www.pisos.com/comprar/piso-ctra_de_santpedor_bases_de_manresa08242-51729467711_100500/,Anuncio actualizado el 10/02/2025,"B, B","B, B",bages (BCN),85 m²,80 m²,,3,2,En buen estado,SA3398-PISO EN VENTA EN CALLE PEP VENTURA,Gas natural,Cocina amueblada,N/A,,,,,3ª,N/A,Entre 20 y 30 años,,,,,Frío,,1,,,,N/A,,,Entre 40 y 60 €,,1,,,,,,,,,,Propia,,,
Piso en Sagrada Família,Estudi Manresa Slu,1.733 €/m²,189.000 €,109 m²,https://www.pisos.com/comprar/piso-manresa_sagrada_familia08243-51671289589_100200/,Anuncio actualizado el 12/02/2025,"F, E","F, E",bages (BCN),109 m²,,,3,2,En buen estado,TC1130-608637,N/A,N/A,N/A,,,,,,,Entre 20 y 30 años,,,,,N/A,,1,,,,N/A,,,,,,,,,,N/A,,,,,,,,
Piso en Carrer de Circumval·lació,FINQUES PASSEIG,2.526 €/m²,379.000 €,150 m²,https://www.pisos.com/comprar/piso-centre_passeig_i_rodalies-42595278612_100500/,Anuncio actualizado el 17/02/2025,"F, E","F, E",bages (BCN),150 m²,128 m²,,5,2,,SA1076-000331/5339,Gas natural,,N/A,,,,,1ª,,Más de 50 años,,Gres,,,N/A,,1,N/A,,,,,,,,,,,,,N/A,,,,N/A,Propia,,,
Casa en Sallent,FINQUES PUJOL,1.725 €/m²,345.000 €,200 m²,https://www.pisos.com/comprar/casa-sallent_centro_urbano-49238493483_500010/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),200 m²,185 m²,,4,2,En buen estado,500010-000810,Gasoil,N/A,,Sur,N/A,N/A,N/A,,,Entre 10 y 20 años,,Gres,,Aluminio,Frío y calor,N/A,Más de 2,,,N/A,,,,,,2,,N/A,N/A,,,,,N/A,Privado,,,,
Chalet en calle General Moragues,VITAL IMMOBLES,1.654 €/m²,440.000 €,266 m²,https://www.pisos.com/comprar/chalet-sant_fruitos_de_bages_centro_urbano-37573287207_512449/,Anuncio actualizado el 20/02/2025,"E, F","E, F",bages (BCN),266 m²,140 m²,597 m²,4,2,En buen estado,512449-X1356,Gasoil,N/A,N/A,N/A,N/A,N/A,N/A,,,Entre 30 y 50 años,N/A,Gres,N/A,Aluminio,Frío y calor,N/A,Más de 2,,,,,N/A,,,,Más de 2,,,,,,,N/A,N/A,Privado,Propia,,,
Piso en Carrer de Joan Fuster,HELLOFINCA.,1.730 €/m²,225.000 €,130 m²,https://www.pisos.com/comprar/piso-manresa_sagrada_familia08243-47584464135_527713/,Anuncio actualizado el 24/01/2025,"C, C","C, C",bages (BCN),130 m²,130 m²,,4,2,Reformado,4527713-MANRESA 4,Gas natural,N/A,N/A,,,,,6ª,N/A,Entre 20 y 30 años,N/A,Parquet,N/A,Aluminio,Frío y calor,N/A,,,N/A,N/A,N/A,N/A,N/A,,,2,N/A,N/A,N/A,,,,N/A,,,,,,
Casa en Junto Hostal La Barca,donpiso Central,1.035 €/m²,174.000 €,168 m²,https://www.pisos.com/comprar/casa-monistrol_de_montserrat_centro_urbano-48358219834_109100/,Anuncio actualizado el 20/02/2025,"G, G","G, G",bages (BCN),168 m²,,,3,2,,FE45-287616,N/A,,,Norte,,,,,,,,Gres,,Madera,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer del Cap del Rec,Aliseda Inmobiliaria,601 €/m²,53.500 €,89 m²,https://www.pisos.com/comprar/piso-barri_antic-46754102892_105900/,Anuncio actualizado el 24/10/2024,Error al procesar consumo,Error al procesar emisiones,bages (BCN),89 m²,,,2,1,,AN1-ANT00030663646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Sobrerroca,Aliseda Inmobiliaria,794 €/m²,62.000 €,78 m²,https://www.pisos.com/comprar/piso-ctra_de_vic_remei08241-42597015760_104500/,Anuncio actualizado el 29/01/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),78 m²,,,2,1,,ASR1-SRB0000015692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer del Mel,HIPOGES IBERIA,500 €/m²,35.000 €,70 m²,https://www.pisos.com/comprar/piso-barri_antic-43400374617_100700/,Anuncio actualizado el 31/01/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),70 m²,70 m²,,,,,MORE-2364,,,,,,,,,,Más de 50 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en calle Fabrica Blanca, nº 2",ALTAMIRA,284 €/m²,25.000 €,88 m²,https://www.pisos.com/comprar/piso-congost_santa_caterina_els_comtals08241-48344868922_103600/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),88 m²,88 m²,,,,,AM9-9214##9214_0179_PE0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Mura,L@MFINQUES,2.107 €/m²,295.000 €,140 m²,https://www.pisos.com/comprar/casa-mura_centro_urbano-43395372653_501283/,Anuncio actualizado el 18/02/2025,"D, E","D, E",bages (BCN),140 m²,120 m²,,3,2,Reformado,501283-010139,Gasoil,N/A,,Sureste,,,,,,Entre 10 y 20 años,,Gres,N/A,Aluminio,,N/A,,,,N/A,,N/A,,,,,,,,N/A,,,,N/A,Privado,,,,
Dúplex en Muralla de Sant Domènec,WEST SIDE,1.261 €/m²,165.300 €,131 m²,https://www.pisos.com/comprar/duplex-valldaura08241-50026316339_100500/,Anuncio actualizado el 24/12/2024,"D, D","D, D",bages (BCN),131 m²,117 m²,,4,2,En buen estado,SA3620-Q0073-070-452-VI2,,Cocina amueblada,N/A,,,,,4ª,N/A,Entre 20 y 30 años,,Gres,,,Frío,,,,,,N/A,,,,,1,,,,,N/A,,,,,,,,
Casa en Cerca de La Iglesia,donpiso Central,660 €/m²,210.000 €,318 m²,https://www.pisos.com/comprar/casa-monistrol_de_montserrat_centro_urbano-50060555787_109100/,Anuncio actualizado el 16/01/2025,"D, D","D, D",bages (BCN),318 m²,,,,,,FE45-288835,,,,Sureste,,,,,,,,,,Madera,,,,,,,N/A,,,,,,,,,,,,,,,,,,
Casa en Navarcles,L@MFINQUES,785 €/m²,385.000 €,490 m²,https://www.pisos.com/comprar/casa-navarcles_centro_urbano-41718305624_501283/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),490 m²,156 m²,340 m²,3,3,A estrenar,501283-010106,Aerotermia,N/A,N/A,Sur,N/A,N/A,N/A,,,,,,,Aluminio,,N/A,1,,,,,,,,,,,N/A,N/A,,,,N/A,,Privado,Propia,,,
Piso en Muralla de Sant Francesc,FINQUES PASSEIG,1.559 €/m²,92.000 €,59 m²,https://www.pisos.com/comprar/piso-barri_antic-21709038340_100500/,Anuncio actualizado el 17/02/2025,"F, E","F, E",bages (BCN),59 m²,43 m²,,2,1,,SA1076-001016/5339,,,,,,,,2ª,,,,Gres,,,,,,,,,N/A,,,Entre 80 y 100 €,,,,,,,,,,,,,,,
"Piso en Carrer de Sant Pere, 17",Aliseda Inmobiliaria,92 €/m²,37.000 €,399 m²,https://www.pisos.com/comprar/piso-artes_centro_urbano-48430055802_104500/,Anuncio actualizado el 04/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),399 m²,,,3,2,,ASR1-SRB0000026805,N/A,,,,,,,,,,,,,,N/A,,,N/A,,,N/A,,,,,,,,,,,,,,,N/A,,,
"Chalet adosado en Carrer de l'Espígol, nº -",ALTAMIRA,Error al procesar precio m²,A consultar,84 m²,https://www.pisos.com/comprar/chalet_adosado-congost_santa_caterina_els_comtals08243-35021084652_103600/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),84 m²,84 m²,,1,1,,AM9-2061##02003524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer del Remei de Dalt,Aliseda Inmobiliaria,5.720 €/m²,308.900 €,54 m²,https://www.pisos.com/comprar/piso-ctra_de_vic_remei08241-47568041019_104500/,Anuncio actualizado el 14/11/2024,Error al procesar consumo,Error al procesar emisiones,bages (BCN),54 m²,,,2,1,,ASR1-SRB0000150969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Folch i Torres,HIPOGES IBERIA,614 €/m²,43.000 €,70 m²,https://www.pisos.com/comprar/piso-valldaura08241-48429146702_100700/,Anuncio actualizado el 21/01/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),70 m²,70 m²,,,,,LIRE-20031,,,,,,,,2ª,,Más de 50 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa adosada en Carrer de la Verge de Montserrat,INSTAL·LA`T,903 €/m²,196.000 €,217 m²,https://www.pisos.com/comprar/casa_adosada-santpedor_centro_urbano-44173524510_520901/,Anuncio actualizado el 16/07/2024,"E, E","E, E",bages (BCN),217 m²,100 m²,,4,1,En buen estado,4520901-APIALIA OI202478,Gas natural,N/A,N/A,,,,,,,,,Gres,,,,N/A,2,,,,,,,,,,N/A,N/A,,,,Adosada,,,,,,,
Piso en Sallent,finques GALI,1.260 €/m²,145.000 €,115 m²,https://www.pisos.com/comprar/piso-sallent_centro_urbano-37542482624_106700/,Anuncio actualizado el 12/03/2024,Error al procesar consumo,Error al procesar emisiones,bages (BCN),115 m²,101 m²,,3,1,En buen estado,IFC128-PIS_1803,,,N/A,,,,,,,,,,N/A,,N/A,,,,,,,,,,,,,,,N/A,,,,,,,,,
"Piso en Passatge del Ferrocarril, nº -",ALTAMIRA,1.126 €/m²,80.000 €,71 m²,https://www.pisos.com/comprar/piso-manresa_poble_nou-35030734824_103600/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),71 m²,71 m²,,2,1,,AM9-2061##02004084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
