nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Superficie solar,Habitaciones,Baños,Conservación,Referencia,Calefacción,Cocina equipada,Terraza,Orientación,Urbanizado,Calle alumbrada,Calle asfaltada,Planta,Exterior,Antigüedad,Carpintería interior,Tipo suelo,Vidrios dobles,Carpintería exterior,Aire acondicionado,Comedor,Garaje,Trastero,Portero automático,Puerta blindada,Ascensor,Adaptado a personas con movilidad reducida,Soleado,Gastos de comunidad,Amueblado,Armarios empotrados,Gas,Lavadero,Se aceptan mascotas,Sistema de seguridad,Balcón,Tipo de casa,Teléfono,Chimenea,Jardín,Piscina,Agua,Luz,Interior
Piso en Carrer del Castell,HIPOGES IBERIA,436 €/m²,45.000 €,103 m²,https://www.pisos.com/comprar/piso-balsareny_centro_urbano-43403912723_100700/,Anuncio actualizado el 18/09/2024,Error al procesar consumo,Error al procesar emisiones,bages (BCN),103 m²,89 m²,,,,,JARE-1481,,,,,,,,,,Más de 50 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chalet en Carretera de Castellnou, 6",Agencia no disponible,1.766 €/m²,318.000 €,180 m²,https://www.pisos.com/comprar/chalet-santpedor_centro_urbano-49259785099_109800/,Anuncio actualizado el 09/11/2024,Error al procesar consumo,Error al procesar emisiones,bages (BCN),180 m²,150 m²,180 m²,4,1,Reformado,21562207,Gasoil,N/A,N/A,,N/A,N/A,N/A,,,Entre 10 y 20 años,,Gres,N/A,Aluminio,,,1,,,N/A,,,,N/A,,,,N/A,,,,,,,Privado,,,,
"Casa adosada en Carrer de Mestre Vilà, 37",Aliseda Inmobiliaria,642 €/m²,122.000 €,190 m²,https://www.pisos.com/comprar/casa_adosada-sallent_centro_urbano-47546636205_105900/,Anuncio actualizado el 13/12/2024,Error al procesar consumo,Error al procesar emisiones,bages (BCN),190 m²,,,,,,AN1-ANT00030691651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adosada,,,,,,,
Casa en calle Mujal,HIPOGES IBERIA,443 €/m²,90.000 €,203 m²,https://www.pisos.com/comprar/casa-navas_centro_urbano-48431145626_100700/,Anuncio actualizado el 21/01/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),203 m²,203 m²,203 m²,,,,LIRE-06389,,,,,,,,,,Más de 50 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer Carretera,HIPOGES IBERIA,Error al procesar precio m²,A consultar,92 m²,https://www.pisos.com/comprar/piso-sallent_centro_urbano-43402730373_100700/,Anuncio actualizado el 24/05/2024,Error al procesar consumo,Error al procesar emisiones,bages (BCN),92 m²,92 m²,,,,,MORE-3265,,,,,,,,3ª,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer del Pont,HIPOGES IBERIA,1.146 €/m²,86.000 €,75 m²,https://www.pisos.com/comprar/piso-monistrol_de_montserrat_centro_urbano-43384123452_100700/,Anuncio actualizado el 01/01/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),75 m²,60 m²,,,,,ALRE-07096,,,,,,,,3ª,,Más de 50 años,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,
Piso en Carrer de Gaspar de Portolà,Aliseda Inmobiliaria,706 €/m²,173.000 €,245 m²,https://www.pisos.com/comprar/piso-fonollosa_centro_urbano-41670429087_105900/,Anuncio actualizado el 01/11/2024,Error al procesar consumo,Error al procesar emisiones,bages (BCN),245 m²,,,,,,AN1-ANT00030684563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa adosada en Avinyó,L@MFINQUES,777 €/m²,290.000 €,373 m²,https://www.pisos.com/comprar/casa_adosada-avinyo_centro_urbano-49174758673_501283/,Anuncio actualizado el 18/02/2025,"E, E","E, E",bages (BCN),373 m²,310 m²,329 m²,4,2,En buen estado,501283-010261,Gasoil,N/A,N/A,,,N/A,,,,Entre 30 y 50 años,N/A,Gres,N/A,Madera,Frío y calor,N/A,2,,,N/A,,N/A,,,,,,N/A,,N/A,,Adosada,,,Privado,,,,
"Casa adosada en Carrer d'Osona, 23",Agencia no disponible,1.496 €/m²,220.000 €,147 m²,https://www.pisos.com/comprar/casa_adosada-sant_vicenc_de_castellet_centro_urbano-50027891537_109800/,Anuncio actualizado el 05/12/2024,"G, G","G, G",bages (BCN),147 m²,,213 m²,2,2,En buen estado,21639773,Gasoil,N/A,N/A,Suroeste,N/A,N/A,N/A,,,Entre 30 y 50 años,,Gres,N/A,Aluminio,Frío y calor,,1,,,,,,,N/A,N/A,,,,,,,Adosada,,,Privado,Propia,,,
Piso en Carrer de Cós,HIPOGES IBERIA,678 €/m²,69.900 €,103 m²,https://www.pisos.com/comprar/piso-sallent_centro_urbano-44213740079_100700/,Anuncio actualizado el 15/08/2024,Error al procesar consumo,Error al procesar emisiones,bages (BCN),103 m²,27 m²,,,,,EXRE-00760,,,,,,,,2ª,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,
