nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Habitaciones,Baños,Planta,Antigüedad,Referencia,Ascensor,Calefacción,Superficie útil,Exterior,Conservación,Gastos de comunidad,Tipo suelo,Carpintería exterior,Aire acondicionado,Cocina equipada,Comedor,Portero automático,Orientación,Soleado,Trastero,Balcón,Terraza,Se aceptan mascotas,Armarios empotrados,Carpintería interior,Vidrios dobles,Teléfono,Garaje,Puerta blindada,Sistema de seguridad,Adaptado a personas con movilidad reducida,Jardín,Lavadero,Piscina,Interior,Amueblado,Chimenea,Agua,Superficie solar,Gas,Luz,Tipo de casa,Urbanizado,Calle alumbrada,Calle asfaltada
Ático en El Raval,Engel & Völkers MMC Barcelona,4.130 €/m²,285.000 €,69 m²,https://www.pisos.com/comprar/atico-el_raval08001-39172749639_101800/,Anuncio actualizado el 21/05/2024,"E, E","E, E",barcelona_capital (BCN),69 m²,1,1,4ª,Más de 50 años,IF76306-I-00XQD1-W-02U2GF,,Central,,,,,,,,N/A,,,Este,,,,N/A,,,,,,,,,,,,,,N/A,,,,,,,,,
Piso en Carrer de la Pau,Aliseda Inmobiliaria,1.716 €/m²,115.000 €,67 m²,https://www.pisos.com/comprar/piso-el_besos_el_maresme08019-41729547643_105900/,Anuncio actualizado el 19/12/2024,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),67 m²,2,1,,,AN1-ANT00030681044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loft en Sant Pere-Santa Caterina-La Ribera,Engel & Völkers MMC Barcelona,5.632 €/m²,890.000 €,158 m²,https://www.pisos.com/comprar/loft-sant_pere_santa_caterina_la_ribera08003-35840998285_101800/,Anuncio actualizado el 21/05/2024,"E, E","E, E",barcelona_capital (BCN),158 m²,3,3,1ª,,IF76306-I-00X940-W-02SDM0,N/A,Central,,,,,,,,N/A,,,,,N/A,,,,1,,,,,,,,,N/A,,,,,,,,,,,,
Apartamento en Sant Pere-Santa Caterina-La Ribera,Engel & Völkers MMC Barcelona,5.583 €/m²,335.000 €,60 m²,https://www.pisos.com/comprar/apartamento-sant_pere_santa_caterina_la_ribera08003-23391670472_101800/,Anuncio actualizado el 21/05/2024,"D, D","D, D",barcelona_capital (BCN),60 m²,2,1,3ª,Más de 50 años,IF76306-I-00VJ71-W-02GI5W,,Central,,,,,,,,N/A,,,,,,,,,1,,,,,,,,,N/A,,,N/A,,,,,,,,,
Piso en Carrer de la Cera,Don Casa,6.089 €/m²,475.000 €,78 m²,https://www.pisos.com/comprar/piso-el_raval08001-48429374546_500869/,Anuncio actualizado el 07/02/2025,"B, B","B, B",barcelona_capital (BCN),78 m²,2,2,4ª,Entre 5 y 10 años,500869-BVGH1051,N/A,,70 m²,N/A,A estrenar,,,,,N/A,N/A,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Verdun,MACROFINCAS S.L,3.818 €/m²,168.000 €,44 m²,https://www.pisos.com/comprar/piso-verdun-94218702647_100500/,Anuncio actualizado el 09/01/2025,"G, G","G, G",barcelona_capital (BCN),44 m²,2,1,2ª,Entre 30 y 50 años,SA565-MCB3816EF/1454,,N/A,41 m²,,,Más de 100 €,Parquet,,,,,,Noreste,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,
Apartamento en El Raval,Engel & Völkers MMC Barcelona,2.867 €/m²,195.000 €,68 m²,https://www.pisos.com/comprar/apartamento-el_raval08001-49234695039_101800/,Anuncio actualizado el 11/11/2024,"C, C","C, C",barcelona_capital (BCN),68 m²,1,1,,Más de 50 años,IF76306-I-00YSS6-W-02XQMC,,,,,,,,,,N/A,,,,,,,,,1,,,,,,,,,N/A,,,,,,,,,,,,
Piso en El Raval,TECNOCASA RAVAL CIUTAT VELLA,2.847 €/m²,242.000 €,85 m²,https://www.pisos.com/comprar/piso-el_raval08001-51689404045_100200/,Anuncio actualizado el 17/02/2025,"D, D","D, D",barcelona_capital (BCN),85 m²,3,1,,Más de 50 años,TC104-608755,,,,,A reformar,,,,N/A,N/A,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento en Sant Gervasi-Galvany,Engel & Völkers MMC Barcelona,5.263 €/m²,1.400.000 €,266 m²,https://www.pisos.com/comprar/apartamento-sant_gervasi_galvany08006-49235416713_101800/,Anuncio actualizado el 21/01/2025,"E, E","E, E",barcelona_capital (BCN),266 m²,4,3,1ª,Más de 50 años,IF76306-I-00YS49-W-02W6YF,N/A,Central,,,,,,,,,,,,,,,,,1,,,,,,,,,N/A,,,,,,,,,,,,
Piso en Carrer de Galileu,"Punt Sagrada Família, S.L.",5.555 €/m²,400.000 €,72 m²,https://www.pisos.com/comprar/piso-sants_montjuic_sants08028-50068904433_103700/,Anuncio actualizado el 17/02/2025,"E, E","E, E",barcelona_capital (BCN),72 m²,3,1,,Más de 50 años,BLU5-LCB31085,N/A,,,,En buen estado,,,,N/A,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,
