nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Exterior,Antigüedad,Conservación,Referencia,Tipo suelo,Carpintería exterior,Aire acondicionado,Calefacción,Cocina equipada,Comedor,Puerta blindada,Superficie solar,Agua,Terraza,Jardín,Piscina,Orientación,Urbanizado,Calle alumbrada,Calle asfaltada,Garaje,Trastero,Sistema de seguridad,Tipo de casa,Gastos de comunidad,Amueblado,Armarios empotrados,Chimenea,Teléfono,Ascensor,Carpintería interior,Vidrios dobles,Gas,Lavadero,Portero automático,Soleado,Se aceptan mascotas,Balcón,Interior,Adaptado a personas con movilidad reducida,Luz
Piso en Centre,FINQUES SUBIRANA,1.309 €/m²,144.000 €,110 m²,https://www.pisos.com/comprar/piso-odena_centro_urbano-41676672132_100500/,Anuncio actualizado el 18/02/2025,"E, E","E, E",anoia (BCN),110 m²,101 m²,4,1,2ª,,Entre 20 y 30 años,,SA377-18429/1783,Gres,,N/A,N/A,,,,,,,,,Este,,,,,,N/A,,,,,,,,,,,,,,,N/A,,,
Piso en Capellades,FINQUES SUBIRANA,1.916 €/m²,69.000 €,36 m²,https://www.pisos.com/comprar/piso-capellades_centro_urbano-51676923900_100500/,Anuncio actualizado el 20/02/2025,"G, G","G, G",anoia (BCN),36 m²,30 m²,1,1,Bajo,,Más de 50 años,,SA377-18916/1783,Gres,,,Eléctrica,,,,,,,,,Sur,,,,,N/A,,,,,,,,,,,,,,,,,,,
Casa en Can Gras,FINQUES SUBIRANA,1.030 €/m²,240.000 €,233 m²,https://www.pisos.com/comprar/casa-els_hostalets_de_pierola-47580727942_100500/,Anuncio actualizado el 18/02/2025,"F, G","F, G",anoia (BCN),233 m²,113 m²,4,2,,,Entre 30 y 50 años,,SA377-18686/1783,,,,N/A,,,,158 m²,,N/A,N/A,,,,,,1,,,,,,,N/A,,,,,,,,,,,,,
Casa en El Maset,F & F Inmobilaria,3.059 €/m²,205.000 €,67 m²,https://www.pisos.com/comprar/casa-masquefa_centro_urbano-46668110788_100500/,Anuncio actualizado el 28/01/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),67 m²,60 m²,2,1,,,Entre 30 y 50 años,,SA371-5693/2536,Terrazo,,,N/A,,,,507 m²,N/A,N/A,N/A,,,N/A,,,,N/A,,,,,,,,,,,,,,,,,,,
Casa en Avinguda de Can Llopart,HOME CENTER EL VENDRELL,2.482 €/m²,360.000 €,145 m²,https://www.pisos.com/comprar/casa-masquefa_centro_urbano-51701978427_100500/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),145 m²,120 m²,4,2,,,Entre 30 y 50 años,,SA5453-MA-020/6540,Gres,,,Gas natural,,,,464 m²,N/A,,N/A,Propia,,N/A,,,1,,,,,,,,,,,,,,,,,,,,
Piso en Centre,FINQUES GAUDI - IGUALADA,1.384 €/m²,180.000 €,130 m²,https://www.pisos.com/comprar/piso-igualada_centre-28383442332_501441/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),130 m²,115 m²,2,1,2ª,N/A,Entre 20 y 30 años,En buen estado,501441-013102,Gres,Aluminio,Frío y calor,,N/A,N/A,,,,,,,Este,,,,,N/A,,,,,1,,,,,N/A,,N/A,N/A,N/A,,N/A,,,
Casa adosada en Can Gras de Baix,IMPEMA,682 €/m²,172.000 €,252 m²,https://www.pisos.com/comprar/casa_adosada-els_hostalets_de_pierola08781-35855097157_109300/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),252 m²,168 m²,3,1,,,,En buen estado,EP731-1323,,,,,N/A,,,,N/A,N/A,,,Sureste,,,,,,,Adosada,,N/A,,En la cocina,,,,,,,,,,,,,
Piso en Centre,FINQUES GAUDI - IGUALADA,1.805 €/m²,130.000 €,72 m²,https://www.pisos.com/comprar/piso-igualada_centre-22502146906_501441/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),72 m²,65 m²,3,1,2ª,N/A,Entre 30 y 50 años,En buen estado,501441-013090,Terrazo,,Frío y calor,,N/A,N/A,,,,,,,Sur,,,,,,,,,N/A,,,,,,,N/A,N/A,N/A,N/A,,N/A,,,
"Piso en Carrer d'El Bruc de Baix, 1",PROYECTOS BRUC,2.750 €/m²,165.000 €,60 m²,https://www.pisos.com/comprar/piso-el_bruc_centro_urbano-4903869149_109700/,Anuncio actualizado el 08/01/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),60 m²,,2,1,1ª,,,A estrenar,1097-21499885,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,N/A,,,
Casa en Can Perellada,habitat Catalunya,1.656 €/m²,260.000 €,157 m²,https://www.pisos.com/comprar/casa-masquefa_centro_urbano-49209971188_100500/,Anuncio actualizado el 15/02/2025,"G, F","G, F",anoia (BCN),157 m²,130 m²,4,2,,,Más de 50 años,,SA828-01108/3799,Gres,,,Gas natural,,N/A,,900 m²,,N/A,N/A,,,N/A,,,1,,,,,,1,N/A,,,,,,,,,,,,,
