nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Interior,Antigüedad,Conservación,Referencia,Tipo suelo,Carpintería exterior,Cocina equipada,Orientación,Se aceptan mascotas,Exterior,Aire acondicionado,Calefacción,Ascensor,Balcón,Terraza,Garaje,Gastos de comunidad,Puerta blindada,Trastero,Piscina,Armarios empotrados,Carpintería interior,Vidrios dobles,Gas,Teléfono,Comedor,Lavadero,Portero automático,Sistema de seguridad,Soleado,Agua,Superficie solar,Tipo de casa,Jardín,Adaptado a personas con movilidad reducida,Amueblado
Piso en Carrer del Montseny,TENCASA LA TORRASSA,2.352 €/m²,160.000 €,68 m²,https://www.pisos.com/comprar/piso-collblanc08904-47570902560_100500/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,hospitalet_de_llobregat (BCN),68 m²,63 m²,3,1,2ª,,Más de 50 años,En buen estado,SA3788-106096828,,,,,,N/A,,,N/A,,,,,,,,,,,,,,,,,,,,,,,
Piso en Avinguda del Torrent Gornal,HOGAREA,2.571 €/m²,180.000 €,70 m²,https://www.pisos.com/comprar/piso-hospitalet_de_llobregat_la_florida08905-47582565685_108900/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,hospitalet_de_llobregat (BCN),70 m²,62 m²,3,1,4ª,,,,XA484-9088,,,,Noreste,,N/A,Frío y calor,Eléctrica,N/A,,,,Entre 40 y 60 €,,,,,,,,,,,,,,N/A,,,,,
Dúplex en El Gornal,Engel & Völkers MMC Barcelona,4.111 €/m²,370.000 €,90 m²,https://www.pisos.com/comprar/duplex-el_gornal08902-4965523059_109700/,Anuncio actualizado el 18/12/2024,"B, A","B, A",hospitalet_de_llobregat (BCN),90 m²,,2,2,,,,A estrenar,IF76306-D-000L0P,,,,,,,,,N/A,,N/A,N/A,,,,,,,,,,,,,,,,,,,,
Piso en Plaça d'Europa,HORIZON INMOBILIARIA BARCELONA,4.615 €/m²,360.000 €,78 m²,https://www.pisos.com/comprar/piso-el_gornal08902-51680890880_524526/,Anuncio actualizado el 17/02/2025,"B, B","B, B",hospitalet_de_llobregat (BCN),78 m²,66 m²,1,1,6ª,,Menos de 5 años,En buen estado,4524526-HIB-PZAEUROPA,Parquet,Aluminio,N/A,Este,N/A,N/A,Frío y calor,,N/A,N/A,N/A,,,N/A,N/A,Comunitaria,2,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,,,,Comunitario,N/A,
Ático en Santa Eulàlia,Engel & Völkers MMC Barcelona,4.111 €/m²,370.000 €,90 m²,https://www.pisos.com/comprar/atico-hospitalet_de_llobregat_santa_eulalia08902-43431254411_101800/,Anuncio actualizado el 21/05/2024,Error al procesar consumo,Error al procesar emisiones,hospitalet_de_llobregat (BCN),90 m²,,2,2,,,,,IF76306-I-00Y6WK-W-02UR70,,,,,,,,Central,N/A,,N/A,1,,,N/A,,,,,,,,,,,,,,,,,
Ático en Santa Eulàlia,Engel & Völkers MMC Barcelona,4.538 €/m²,295.000 €,65 m²,https://www.pisos.com/comprar/atico-hospitalet_de_llobregat_santa_eulalia08902-43383060400_101800/,Anuncio actualizado el 21/05/2024,"B, A","B, A",hospitalet_de_llobregat (BCN),65 m²,,1,1,2ª,,,,IF76306-I-00Y6WD-W-02VMGJ,,,N/A,,,,,Central,N/A,,N/A,1,,,N/A,,1,,,,,,,,,,,,,,,
Piso en Carrer del Transformador,TENCASA LA TORRASSA,1.708 €/m²,135.000 €,79 m²,https://www.pisos.com/comprar/piso-la_torrassa08904-47526248981_100500/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,hospitalet_de_llobregat (BCN),79 m²,60 m²,3,1,,,Más de 50 años,En buen estado,SA3788-102487451,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Castelao,Llarcelona,3.000 €/m²,240.000 €,80 m²,https://www.pisos.com/comprar/piso-hospitalet_de_llobregat_santa_eulalia08902-50834456767_100500/,Anuncio actualizado el 13/02/2025,"B, B","B, B",hospitalet_de_llobregat (BCN),80 m²,75 m²,2,1,Bajo,,Entre 30 y 50 años,,SA2024-Llar1521/4463,Parquet,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,
Piso en Avinguda de la Mare de Déu de Bellvitge,PISOS MARINA CENTER - CASTELLDEFELS,2.441 €/m²,188.000 €,77 m²,https://www.pisos.com/comprar/piso-bellvitge08907-51667432727_511025/,Anuncio actualizado el 15/02/2025,"E, E","E, E",hospitalet_de_llobregat (BCN),77 m²,67 m²,3,1,5ª,,Entre 30 y 50 años,En buen estado,511025-000827,Gres,Aluminio,N/A,Al mar,,N/A,,,N/A,,,,,,,,,,,,,N/A,N/A,,,,,,,,,
Piso en Santa Eulàlia,"Estudi Mercat Santa Eulalia, S.L. (2)",4.402 €/m²,295.000 €,67 m²,https://www.pisos.com/comprar/piso-hospitalet_de_llobregat_santa_eulalia08902-51754314897_100200/,Anuncio actualizado el 06/02/2025,Error al procesar consumo,Error al procesar emisiones,hospitalet_de_llobregat (BCN),67 m²,,2,2,4ª,,Menos de 5 años,En buen estado,TC750-608556,,,,,,,N/A,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,
Piso en L´Hospitalet de Llobregat Centre - Ayuntamiento,LIVING Luxury Real Estate. Barcelona,4.068 €/m²,415.000 €,102 m²,https://www.pisos.com/comprar/piso-hospitalet_de_llobregat_centre08901-26764472913_109100/,Anuncio actualizado el 16/01/2025,"B, B","B, B",hospitalet_de_llobregat (BCN),102 m²,92 m²,4,2,2ª,,,,FE42-263821,Parket,,,Noreste,,Exterior calle,N/A,Eléctrica,N/A,N/A,N/A,,Entre 80 y 100 €,,N/A,N/A,,,,,,,,,,Por la mañana,,,,N/A,,
Piso en La Florida,LA CASA AGENCY PUNT POBLE SEC REAL ESTATE,2.952 €/m²,310.000 €,105 m²,https://www.pisos.com/comprar/piso-hospitalet_de_llobregat_la_florida08905-45049880165_101800/,Anuncio actualizado el 31/10/2024,Error al procesar consumo,Error al procesar emisiones,hospitalet_de_llobregat (BCN),105 m²,,4,2,2ª,,Más de 50 años,,IF77106-LCB30232-1,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,
