nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Exterior,Antigüedad,Conservación,Referencia,Carpintería interior,Tipo suelo,Carpintería exterior,Chimenea,Cocina equipada,Comedor,Lavadero,Trastero,Portero automático,Puerta blindada,Terraza,Orientación,Vidrios dobles,Aire acondicionado,Calefacción,Urbanizado,Calle alumbrada,Calle asfaltada,Superficie solar,Armarios empotrados,Garaje,Jardín,Agua,Luz,Gas,Ascensor,Balcón,Soleado,Se aceptan mascotas,Interior,Gastos de comunidad,Adaptado a personas con movilidad reducida,Piscina,Teléfono,Tipo de casa,Amueblado,Sistema de seguridad,Alcantarillado
Piso en Carrer de Ponent,Aliseda Inmobiliaria,2.577 €/m²,116.000 €,45 m²,https://www.pisos.com/comprar/piso-poble_nou_zona_olimpica08225-50911063076_104500/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),45 m²,,,,,,,,ASR1-SRB0006003024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa pareada en Poble Nou-Zona Olímpica,"ESTUDI PROJECTE TERRASSA, S.L.",1.224 €/m²,240.000 €,196 m²,https://www.pisos.com/comprar/casa_pareada-poble_nou_zona_olimpica08225-50844008663_100200/,Anuncio actualizado el 07/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),196 m²,,4,2,,,Más de 50 años,A reformar,TC698-602425,,,,,N/A,,,,,,N/A,,,,,,,,,,1,,,,,,,,,,,,,,Pareada,,,
Piso en Ca n'Aurell,GRUPO INMOBILIARIO ORTEGA,3.065 €/m²,141.000 €,46 m²,https://www.pisos.com/comprar/piso-ca_naurell08224-47582121132_108500/,Anuncio actualizado el 15/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),46 m²,46 m²,1,1,,N/A,,,AG584-1506,,Parquet,,,Americana,,,,,N/A,Acristalada,,,N/A,N/A,,,,,N/A,,,,,,N/A,,,,,,,,,,,,
Casa adosada en Torresana,MES QUE FINQUES,1.666 €/m²,230.000 €,138 m²,https://www.pisos.com/comprar/casa_adosada-torre_sana-50839884701_100500/,Anuncio actualizado el 21/01/2025,"G, G","G, G",valles_occidental_nord (BCN),138 m²,113 m²,3,1,,,Más de 50 años,,SA5682-MQF1271/12116,,Terrazo,,,,,,,,,,,,,,N/A,,,,,,N/A,N/A,,,,,,,,,,,,Adosada,,,
Piso en Carrer de l'Infant Martí,URBE GRUP,3.200 €/m²,128.000 €,40 m²,https://www.pisos.com/comprar/piso-ca_naurell08224-176222900_455500/,Anuncio actualizado el 19/02/2025,"E, E","E, E",valles_occidental_nord (BCN),40 m²,36 m²,1,1,3ª,N/A,,En buen estado,4555-030005,,N/A,Aluminio,,N/A,N/A,,,,N/A,,N/A,N/A,,Gas natural,,,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,N/A,,
Piso en Carrer de Sant Sebastià,Aliseda Inmobiliaria,2.133 €/m²,96.000 €,45 m²,https://www.pisos.com/comprar/piso-segle_xx08223-41742490520_105900/,Anuncio actualizado el 19/12/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),45 m²,,1,1,,,,,AN1-ANT00020717832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer d'Atenes,HIPOGES IBERIA,2.107 €/m²,107.500 €,51 m²,https://www.pisos.com/comprar/piso-roc_blanc-49197223325_100700/,Anuncio actualizado el 21/11/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),51 m²,45 m²,,,3ª,,Entre 10 y 20 años,,FRRE-00478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dúplex en Ca n'Anglada,URBE GRUP,1.323 €/m²,225.000 €,170 m²,https://www.pisos.com/comprar/duplex-ca_nanglada08222-51751176988_455500/,Anuncio actualizado el 19/02/2025,"F, F","F, F",valles_occidental_nord (BCN),170 m²,104 m²,2,2,2ª,Todas  las estancias,Entre 30 y 50 años,,4555-033723,Lacadas,Parquet,Aluminio,,"Nueva preciosa, amplia, office. Toda equipada.","30 m² muy amplio y soleado, orienta al sur",Independiente y exterior.,N/A,N/A,N/A,Gran terraza con estudio y zona de barbacoa.,Sur,Aluminio doble cristal.,Frío y calor,Central,,,,,,,,,,,No,,"Orientación sur, sol todo el día.",N/A,,,N/A,,,,,,
Casa en Ca N Avellaneda - Can Font,IMMOHABITAT,1.680 €/m²,432.000 €,257 m²,https://www.pisos.com/comprar/casa-castellar_del_valles_centro_urbano-47555006898_100500/,Anuncio actualizado el 19/02/2025,"E, F","E, F",valles_occidental_nord (BCN),257 m²,134 m²,4,3,,,Entre 20 y 30 años,,SA744-I11603/2613,,Terrazo,,N/A,,,,N/A,,,N/A,Suroeste,,,N/A,N/A,,,997 m²,,1,N/A,N/A,,,,,,,,,,Propia,,,,,
Ático en Carrer d'Alexandre Galí,MONAPART,2.522 €/m²,280.000 €,111 m²,https://www.pisos.com/comprar/atico-can_boada_torrent_en_pere_parres08225-48341164483_101800/,Anuncio actualizado el 05/02/2025,"F, E","F, E",valles_occidental_nord (BCN),111 m²,,4,2,,,Más de 50 años,,IF76872-AP0007-4154,,,,,N/A,,,,,,N/A,,,,Central,,,,,,,,,,,N/A,,,,,,,,,,,,
Piso en Ca n'Anglada,Hounting,1.944 €/m²,140.000 €,72 m²,https://www.pisos.com/comprar/piso-ca_nanglada08222-47575559777_100500/,Anuncio actualizado el 03/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),72 m²,,2,1,Bajo,N/A,,En buen estado,SA5364-2110/21100044/538,,Tarima flotante,,,N/A,,,,,N/A,N/A,Norte,,,,,,,,,,,N/A,,,N/A,,,,,,,,,,,,
"Piso en calle Dr. Salva,Del",CMS INMOBILIARIA.,1.559 €/m²,148.193 €,95 m²,https://www.pisos.com/comprar/piso-les_martines_can_palet_de_vista_alegre08224-46712430192_108900/,Anuncio actualizado el 06/12/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),95 m²,,2,1,,,,,XA282-7802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer d'Abla,HIPOGES IBERIA,1.455 €/m²,139.752 €,96 m²,https://www.pisos.com/comprar/piso-can_boada_torrent_en_pere_parres08225-50062451857_100700/,Anuncio actualizado el 11/12/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),96 m²,96 m²,,,,,Entre 20 y 30 años,,DKRE-08647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer d'Albacete,Aliseda Inmobiliaria,2.286 €/m²,105.200 €,46 m²,https://www.pisos.com/comprar/piso-poble_nou_zona_olimpica08225-47567519681_104500/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),46 m²,,,,,,,,ASR1-SRB0006003002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en Carrer de Pompeu Fabra,Hi Homie,1.660 €/m²,332.000 €,200 m²,https://www.pisos.com/comprar/chalet-sant_pere_nord08226-51765085719_100500/,Anuncio actualizado el 20/02/2025,"B, C","B, C",valles_occidental_nord (BCN),200 m²,180 m²,4,2,,,Entre 20 y 30 años,En buen estado,SA3398-CASA TERRASSA,,,,,Cocina amueblada,,,,,,N/A,,,Frío,,,,,,1,1,,,,,,,,,,,,,,,,,
Piso en Can Boada-Torrent d'en Pere Parres,Hounting,2.311 €/m²,208.000 €,90 m²,https://www.pisos.com/comprar/piso-can_boada_torrent_en_pere_parres08225-51732708210_100500/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),90 m²,,3,1,5ª,N/A,,En buen estado,SA5364-2110/21100044/362,,,,,,,,,,,,Norte,,,,,,,,,,,,,,N/A,,,,,,,,,,,,
Dúplex en Roc Blanc,GROCASA,2.032 €/m²,243.900 €,120 m²,https://www.pisos.com/comprar/duplex-terrassa_vista_alegre-51722617812_109300/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),120 m²,110 m²,2,2,2ª,,Entre 20 y 30 años,,EP743-1714657,,Cerámico,Aluminio,,Office,,,,N/A,N/A,20,So,,N/A,Individual,,,,,,Comunitario,,,,,N/A,,,,,,,,,,,,
Chalet en - Els Fruiters  -,GESFIME,2.083 €/m²,525.000 €,252 m²,https://www.pisos.com/comprar/chalet-castellar_del_valles_centro_urbano-44198085188_100500/,Anuncio actualizado el 12/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),252 m²,220 m²,4,3,,,Más de 50 años,,SA892-GESV0395/4521,,,,,,,,N/A,,,N/A,Sur,,N/A,Gas natural,,,,612 m²,1,1,N/A,N/A,,,,,,,,,,N/A,,,,N/A,
Piso en Sant Pere Nord,Hounting,1.537 €/m²,144.500 €,94 m²,https://www.pisos.com/comprar/piso-sant_pere_nord08226-46719990896_100500/,Anuncio actualizado el 12/11/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),94 m²,,3,1,1ª,N/A,,En buen estado,SA5364-2110/21100044/185,,Gres,,,N/A,,,,,,N/A,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,
Piso en Ca n'Anglada,Hounting,2.034 €/m²,175.000 €,86 m²,https://www.pisos.com/comprar/piso-ca_nanglada08222-47558929850_100500/,Anuncio actualizado el 03/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),86 m²,,2,2,3ª,N/A,,En buen estado,SA5364-2110/21100044/307,,Tarima flotante,,,N/A,,,,,N/A,N/A,,,,,,,,,,1,,N/A,,,,,,,,,,,,,,,
Piso en Ca n'Anglada,CEDOS,923 €/m²,72.000 €,78 m²,https://www.pisos.com/comprar/piso-ca_nanglada-33352335723_370400/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),78 m²,78 m²,3,1,1ª,,,En buen estado,3704-018162-9-ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Carrer de Menorca,GROCASA,1.128 €/m²,289.000 €,256 m²,https://www.pisos.com/comprar/casa-egara08226-47589898718_109300/,Anuncio actualizado el 23/12/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),256 m²,250 m²,3,1,,,Más de 50 años,,EP743-1662508,,Cerámico,Aluminio,,Office,,,,,,23.35,E,,,Individual,,,,,,,,,,,,,,,,,,,,,,,
Casa en Carrer dels Llims,CEDOS,827 €/m²,220.000 €,266 m²,https://www.pisos.com/comprar/casa-sentmenat_centro_urbano-48355675625_370400/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),266 m²,154 m²,4,1,,,Entre 30 y 50 años,A reformar,3704-10130-10,,,,,N/A,N/A,N/A,,,,N/A,,,,,,,,,,Más de 2,,,,,,,,N/A,,,,,,,,,
Piso en Montserrat,CEDOS,1.264 €/m²,67.000 €,53 m²,https://www.pisos.com/comprar/piso-montserrat_torre_sana_montserrat-33374003684_370400/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),53 m²,53 m²,2,1,2ª,,,En buen estado,3704-018164-9-ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer d'Albacete,Aliseda Inmobiliaria,2.658 €/m²,109.000 €,41 m²,https://www.pisos.com/comprar/piso-poble_nou_zona_olimpica08225-47547175148_104500/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),41 m²,,,,,,,,ASR1-SRB0000216681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Velázquez,Aliseda Inmobiliaria,1.386 €/m²,122.000 €,88 m²,https://www.pisos.com/comprar/piso-roc_blanc-50870131982_107000/,Anuncio actualizado el 11/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),88 m²,,,,,,,,AS1-43494271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en La Maurina,Hounting,1.692 €/m²,176.000 €,104 m²,https://www.pisos.com/comprar/piso-la_maurina08224-50065787425_100500/,Anuncio actualizado el 03/12/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),104 m²,,3,2,2ª,N/A,,En buen estado,SA5364-2110/21100044/111,,Tarima flotante,,,N/A,,,,,,,,,,,,,,,,,,N/A,,,N/A,,,,,,,,,,,,
Chalet en - Balcó S Llorens -,MES QUE FINQUES,1.340 €/m²,335.000 €,250 m²,https://www.pisos.com/comprar/chalet-castellar_del_valles_centro_urbano-49190154326_100500/,Anuncio actualizado el 21/11/2024,"G, F","G, F",valles_occidental_nord (BCN),250 m²,135 m²,4,2,,,Entre 30 y 50 años,,SA5682-V0593-AP/12116,,Gres,,,,N/A,,N/A,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer d'Albacete,Aliseda Inmobiliaria,2.513 €/m²,113.100 €,45 m²,https://www.pisos.com/comprar/piso-poble_nou_zona_olimpica08225-47577430917_104500/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),45 m²,,,,,,,,ASR1-SRB0000178785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dúplex en Carrer de Catalunya, 74",URBE GRUP,3.632 €/m²,385.000 €,106 m²,https://www.pisos.com/comprar/duplex-sant_pere_zona_esportiva_sant_pere08225-41717838559_455500/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),106 m²,87 m²,3,3,3ª,,,A estrenar,4555-033624,,Parquet,Aluminio,,,,,,N/A,,N/A,Oeste,,Frío y calor,Gas natural,,,,,,,,,,,N/A,,N/A,N/A,,,N/A,,,,,,
Dúplex en Carrer Major,HELLOFINCA.,3.461 €/m²,450.000 €,130 m²,https://www.pisos.com/comprar/duplex-castellar_del_valles_centro_urbano-47514450803_527713/,Anuncio actualizado el 24/01/2025,"C, C","C, C",valles_occidental_nord (BCN),130 m²,130 m²,3,3,2ª,N/A,Entre 10 y 20 años,Reformado,4527713-DUPLEX CASTELLAR,N/A,Gres,Aluminio,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,Frío,Gas natural,,,,,,1,,,,N/A,N/A,N/A,N/A,N/A,,Entre 40 y 60 €,N/A,,N/A,,,,
Piso en Carrer de l'Aneto,CENTURY 21 URBAN,2.666 €/m²,144.000 €,54 m²,https://www.pisos.com/comprar/piso-les_arenes_can_montllor_la_gripia08227-50862272684_107700/,Anuncio actualizado el 24/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),54 m²,44 m²,1,1,,,,,VE20-0043-01351,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,
Casa en Carrer de Sant Llorenç,FR-Immobiliària,1.588 €/m²,540.000 €,340 m²,https://www.pisos.com/comprar/casa-castellar_del_valles_centro_urbano-49251198108_103800/,Anuncio actualizado el 04/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),340 m²,320 m²,4,3,,,,En buen estado,INB278-13-50053,,,,,N/A,,,N/A,,,N/A,Sur,,Frío y calor,Gas natural,,,,,2,Más de 2,N/A,,,,,,,,,,,,,,N/A,N/A,
Piso en Carrer de Sant Cugat,HIPOGES IBERIA,1.326 €/m²,195.000 €,147 m²,https://www.pisos.com/comprar/piso-sant_pere_nord08226-43387409597_100700/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),147 m²,113 m²,,,2ª,,Más de 50 años,,LIRE-03341,,,,,,,,N/A,,,N/A,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,
Chalet pareado en Carrer del Molí,CEDOS,1.265 €/m²,210.000 €,166 m²,https://www.pisos.com/comprar/chalet_pareado-castellar_del_valles_centro_urbano-49205259191_370400/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),166 m²,160 m²,4,1,,,Más de 50 años,A reformar,3704-10140-10,,Terrazo,Madera,,N/A,N/A,N/A,,,,,,,,,N/A,N/A,N/A,152 m²,,,Privado,,,,,,,N/A,,,,,,,,,
Piso en Ca n'Aurell,Hounting,2.666 €/m²,168.000 €,63 m²,https://www.pisos.com/comprar/piso-ca_naurell08224-51726546834_100500/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),63 m²,,2,1,2ª,N/A,,En buen estado,SA5364-2101/21010016/22,,Gres,,,N/A,,,,,,,Norte,,,,,,,,,1,,N/A,,,N/A,,,,,,,,,,,,
Casa en Les Martines-Can Palet de Vista Alegre,URBE GRUP,1.739 €/m²,468.000 €,269 m²,https://www.pisos.com/comprar/casa-les_martines_can_palet_de_vista_alegre08224-51698847055_455500/,Anuncio actualizado el 19/02/2025,"F, F","F, F",valles_occidental_nord (BCN),269 m²,269 m²,4,3,,,Entre 10 y 20 años,En buen estado,4555-TS033737,N/A,Mármol,Aluminio,,N/A,N/A,N/A,,,,N/A,Sureste,N/A,Frío y calor,Gas natural,N/A,N/A,N/A,487 m²,Más de 2,Más de 2,Privado,,,N/A,,,,N/A,,,N/A,Propia,N/A,,,N/A,
Piso en calle 22 de Juliol,VIVANTIAL,859 €/m²,55.000 €,64 m²,https://www.pisos.com/comprar/piso-cementiri_vell08221-38378928114_109300/,Anuncio actualizado el 28/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),64 m²,64 m²,,,2ª,,,,EP618-11879-2025,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Segle XX,Hounting,2.163 €/m²,132.000 €,61 m²,https://www.pisos.com/comprar/piso-segle_xx08223-49178606137_100500/,Anuncio actualizado el 15/11/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),61 m²,,1,1,3ª,N/A,,En buen estado,SA5364-2110/21100044/463,,Gres,,,N/A,,,,,,,Norte,,,,,,,,,,,,,,N/A,,,,,,,,,,,,
Piso en Carrer del Germà Joaquim,VIVANTIAL,1.211 €/m²,109.000 €,90 m²,https://www.pisos.com/comprar/piso-can_palet08223-46759060358_109300/,Anuncio actualizado el 29/11/2024,"F, E","F, E",valles_occidental_nord (BCN),90 m²,90 m²,,,Bajo,,,A reformar,EP618-13964-2045,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Marconi,CENTURY 21 URBAN,2.199 €/m²,248.500 €,113 m²,https://www.pisos.com/comprar/piso-ca_naurell08224-49239796738_107700/,Anuncio actualizado el 18/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),113 m²,99 m²,4,2,,,Más de 50 años,,VE20-0043-LIRE-00765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Vista Alegre,Hounting,2.089 €/m²,140.000 €,67 m²,https://www.pisos.com/comprar/piso-terrassa_vista_alegre-47566304207_100500/,Anuncio actualizado el 03/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),67 m²,,1,2,3ª,N/A,,En buen estado,SA5364-2110/21100044/131,,Tarima flotante,,,N/A,,,,,N/A,N/A,,,,,,,,,,,,N/A,,,N/A,,,,,,,,,,,,
Piso en Carrer de Núria,Aliseda Inmobiliaria,1.109 €/m²,71.000 €,64 m²,https://www.pisos.com/comprar/piso-la_maurina08224-49214706079_107000/,Anuncio actualizado el 06/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),64 m²,,,,,,,,AS1-52716777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dúplex en Torresana,IMMOHABITAT,3.653 €/m²,285.000 €,78 m²,https://www.pisos.com/comprar/duplex-torre_sana-42571263509_100500/,Anuncio actualizado el 19/02/2025,"G, G","G, G",valles_occidental_nord (BCN),78 m²,60 m²,3,2,2ª,,Entre 20 y 30 años,,SA744-IP470/2613,,,,,,,,,,N/A,N/A,,,,Gas natural,,,,,,,,,,,N/A,N/A,,,,Entre 40 y 60 €,,,,,,,
Piso en Carrer d'Eivissa,VIVANTIAL,1.500 €/m²,84.000 €,56 m²,https://www.pisos.com/comprar/piso-egara08226-48388010691_109300/,Anuncio actualizado el 06/02/2025,"G, F","G, F",valles_occidental_nord (BCN),56 m²,48 m²,,,3ª,,,En buen estado,EP618-13922-2025,,,,,,,,,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa adosada en Avinguda de Catalunya,HIPOGES IBERIA,611 €/m²,140.000 €,229 m²,https://www.pisos.com/comprar/casa_adosada-sant_llorenc_savall_centro_urbano-48339370806_100700/,Anuncio actualizado el 21/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),229 m²,229 m²,,,,,Entre 30 y 50 años,,ALRE-01598,,,,,,,,,,,,,,,,,,,229 m²,,,,,,,,,,,,,,,,Adosada,,,
Piso en La Gripia-Les Arenas,GROCASA,2.882 €/m²,245.000 €,85 m²,https://www.pisos.com/comprar/piso-les_arenes_can_montllor_la_gripia08227-48376996780_109300/,Anuncio actualizado el 23/12/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),85 m²,80 m²,2,2,3ª,,Entre 20 y 30 años,,EP743-937044,,Cerámico,Aluminio,,Office,,,,N/A,N/A,60,N/A,,N/A,Individual,,,,,,,,,,,N/A,,,,,,,,,,,,
"Piso en Carrer d'Estanislau Figueras, nº -",ALTAMIRA,Error al procesar precio m²,A consultar,45 m²,https://www.pisos.com/comprar/piso-cementiri_vell08222-49211416186_103600/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),45 m²,45 m²,,,,,,,AM9-2061##02004419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer d'Albacete,Aliseda Inmobiliaria,2.708 €/m²,162.500 €,60 m²,https://www.pisos.com/comprar/piso-poble_nou_zona_olimpica08225-50853852997_104500/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),60 m²,,,,,,,,ASR1-SRB0000159919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en La Cogullada,CEDOS,1.516 €/m²,141.000 €,93 m²,https://www.pisos.com/comprar/piso-la_cogullada-34231993112_370400/,Anuncio actualizado el 20/02/2025,"E, E","E, E",valles_occidental_nord (BCN),93 m²,93 m²,3,1,6ª,N/A,Entre 30 y 50 años,En buen estado,3704-018914-9T,N/A,,,,N/A,N/A,,,,,,,,Frío,Gas natural,,,,,,,,,,,N/A,,,N/A,,,,,,,,,
Chalet en Carrer de Dalt,CENTURY 21 URBAN,1.694 €/m²,510.000 €,301 m²,https://www.pisos.com/comprar/chalet-matadepera_centro_urbano-47553737993_107700/,Anuncio actualizado el 12/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),301 m²,248 m²,3,2,,,Entre 20 y 30 años,,VE20-0043-FRRE-00810,,,,,,,,,,,,,,,,,,,301 m²,,,,,,,,,,,,,,,,,,,
Piso en Les Arenes-Can Montllor-La Grípia,URBE GRUP,2.366 €/m²,239.000 €,101 m²,https://www.pisos.com/comprar/piso-les_arenes_can_montllor_la_gripia08227-51676185697_455500/,Anuncio actualizado el 19/02/2025,"E, E","E, E",valles_occidental_nord (BCN),101 m²,91 m²,3,2,1ª,"Habitaciones, baños y cocina .",Entre 20 y 30 años,Reformado,4555-SAN033730,Cedro,Terrazo,Aluminio,,"Muy amplia, cuadrada y office, muy  soleada",25 m² muy amplio y soleado,"Independiente, también para almacenaje",N/A,N/A,,,Suroeste,Ventanas de aluminio,,Gas natural,,,,,1,1,,,,Calefacción,N/A,N/A,,N/A,Lavadero,,N/A,,,,,,
Casa en Viladecavalls,URBE GRUP,1.880 €/m²,470.000 €,250 m²,https://www.pisos.com/comprar/casa-viladecavalls_centro_urbano-45063028940_455500/,Anuncio actualizado el 19/02/2025,"F, F","F, F",valles_occidental_nord (BCN),250 m²,130 m²,4,2,,,Entre 10 y 20 años,En buen estado,4555-033667,Roble,Gres,Aluminio,,16m office exterior a terraza,45m,,,,,30,A la montaña,N/A,Frío,Gas natural,,,,,,1,Privado,,,N/A,,,,N/A,,,N/A,Propia,,,,N/A,
Casa en Centre,MES QUE FINQUES,1.347 €/m²,399.000 €,296 m²,https://www.pisos.com/comprar/casa-la_maurina08224-49222790876_100500/,Anuncio actualizado el 21/11/2024,"G, E","G, E",valles_occidental_nord (BCN),296 m²,231 m²,4,3,,,,,SA5682-24975/12116,,Terrazo,,,,N/A,,N/A,,,N/A,,,,Central,,,,123 m²,,,,,,,,,,,,,,,,,,,
Piso en Poble Nou-Zona Olímpica,Hounting,2.529 €/m²,172.000 €,68 m²,https://www.pisos.com/comprar/piso-poble_nou_zona_olimpica08225-45046246813_100500/,Anuncio actualizado el 10/10/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),68 m²,,2,1,1ª,N/A,,En buen estado,SA5364-2110/21100044/233,,Tarima flotante,,,N/A,,,,,,,,,,,,,,,,1,,N/A,,,N/A,,,N/A,,,,,,,,,
Piso en Can Tries,URBE GRUP,1.265 €/m²,310.000 €,245 m²,https://www.pisos.com/comprar/piso-viladecavalls_centro_urbano-14180244750_455500/,Anuncio actualizado el 19/02/2025,"E, E","E, E",valles_occidental_nord (BCN),245 m²,100 m²,3,2,Bajo,N/A,Entre 20 y 30 años,En buen estado,4555-033030,Roble,Parquet,Aluminio,,14 office,25,3 ext,3 en terraza,N/A,,145,Este,N/A,Frío y calor,Eléctrica,,,,,,,,,,,N/A,,N/A,N/A,,50,N/A,,,,,,
Piso en Vista Alegre,Hounting,2.653 €/m²,138.000 €,52 m²,https://www.pisos.com/comprar/piso-terrassa_vista_alegre-47504001714_100500/,Anuncio actualizado el 15/11/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),52 m²,,1,1,1ª,N/A,,En buen estado,SA5364-2110/21100044/151,,Tarima flotante,,,N/A,,,,,N/A,N/A,,,N/A,,,,,,,1,,N/A,,,N/A,,,,,,,,,,,,
Piso en Vista Alegre,Hounting,2.423 €/m²,126.000 €,52 m²,https://www.pisos.com/comprar/piso-terrassa_vista_alegre-45001519324_100500/,Anuncio actualizado el 15/11/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),52 m²,,1,1,1ª,N/A,,En buen estado,SA5364-2110/21100044/152,,,,,N/A,,,,,,N/A,,,,,,,,,,1,,N/A,,,N/A,,,N/A,,,,,,,,,
Dúplex en calle Albacte,CEDOS,2.755 €/m²,165.300 €,60 m²,https://www.pisos.com/comprar/duplex-poble_nou_zona_olimpica08225-47558084869_370400/,Anuncio actualizado el 20/02/2025,"E, E","E, E",valles_occidental_nord (BCN),60 m²,45 m²,1,2,2ª,,Entre 10 y 20 años,En buen estado,3704-023204-9,,Parquet,,,,,,En la misma plaza de pk,,,N/A,,,Frío y calor,,,,,,,1,,,,,N/A,N/A,,,,,,,,,,,
