nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Exterior,Antigüedad,Conservación,Referencia,Carpintería interior,Tipo suelo,Carpintería exterior,Chimenea,Cocina equipada,Comedor,Lavadero,Trastero,Portero automático,Puerta blindada,Terraza,Orientación,Vidrios dobles,Aire acondicionado,Calefacción,Urbanizado,Calle alumbrada,Calle asfaltada,Superficie solar,Armarios empotrados,Garaje,Jardín,Agua,Luz,Gas,Ascensor,Balcón,Soleado,Se aceptan mascotas,Interior,Gastos de comunidad,Adaptado a personas con movilidad reducida,Piscina,Teléfono,Tipo de casa,Amueblado,Sistema de seguridad,Alcantarillado
Piso en Carrer de Pere Fizes,D & HABITAT,3.018 €/m²,335.000 €,111 m²,https://www.pisos.com/comprar/piso-sant_pere_zona_esportiva_sant_pere08225-48393171783_510396/,Anuncio actualizado el 20/02/2025,"A, A","A, A",valles_occidental_nord (BCN),111 m²,98 m²,3,2,1ª,N/A,Menos de 5 años,A estrenar,510396-0110518,N/A,Parquet,PVC,,N/A,N/A,N/A,,N/A,N/A,N/A,,N/A,Frío y calor,Central,,,,,,,,,,,N/A,,N/A,,,,N/A,,,,,,
Casa en Matadepera,COLDWELL BANKER STYLE REAL ESTATE,3.325 €/m²,1.480.000 €,445 m²,https://www.pisos.com/comprar/casa-matadepera_centro_urbano-49189278334_106700/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),445 m²,400 m²,4,4,,,Entre 5 y 10 años,,IFC76326-CBMT662,,,,,,,,,,,,,,,,,,,826 m²,,,,,,,,,,,,,,,,,,,
"Casa en Avinguda de Terrassa, 29",OLVIA GESTIÓ IMMOBILIARIA,1.817 €/m²,379.900 €,209 m²,https://www.pisos.com/comprar/casa-viladecavalls_centro_urbano-50892776124_516838/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),209 m²,209 m²,4,3,,,Entre 20 y 30 años,En buen estado,516838-1200,,Gres,Aluminio,,Con acceso a lavadero,Con salida a patio delantero,N/A,,,,,,,Frío y calor,Gas natural,,,,,,1,,,,,,,,,,,,,,,,,
Casa en Matadepera,COLDWELL BANKER STYLE REAL ESTATE,1.561 €/m²,595.000 €,381 m²,https://www.pisos.com/comprar/casa-matadepera_centro_urbano-46681589769_106700/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),381 m²,,5,4,,,,,IFC76326-CBMT637,,,,,,,,,,,,,,,,,,,2.353 m²,,,,,,,,,,,,,,,,,,,
Casa en Carrer de Wagner,PERITAX,1.752 €/m²,298.000 €,170 m²,https://www.pisos.com/comprar/casa-cementiri_vell08222-48357776616_100500/,Anuncio actualizado el 20/02/2025,"F, E","F, E",valles_occidental_nord (BCN),170 m²,162 m²,3,2,,,Más de 50 años,,SA730-G5449/2691,,Terrazo,,,,N/A,,,,,N/A,,,N/A,Gas natural,,,,,1,,,N/A,,,,,,,,,,,,,,,
Piso en Carrer de Frederic Mistral,GERFINCAS,2.093 €/m²,157.000 €,75 m²,https://www.pisos.com/comprar/piso-sant_pere_nord08226-50868206630_500806/,Anuncio actualizado el 19/02/2025,"E, E","E, E",valles_occidental_nord (BCN),75 m²,55 m²,2,1,Bajo,N/A,Entre 10 y 20 años,Reformado,500806-007587,Cerezo,Parquet,Aluminio,,Independiente de 6 m²,De 15 m²,,De 8 m²,N/A,N/A,,Este,N/A,,Gas ciudad,,,,,,1,,,,,N/A,,,,,Entre 40 y 60 €,,,,,,,
Chalet en calle C de La Sagrera,FINQUES VILA VALLS,2.140 €/m²,1.100.000 €,514 m²,https://www.pisos.com/comprar/chalet-gallifa_centro_urbano-48352693808_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),514 m²,346 m²,7,4,,,Entre 10 y 20 años,,SA1359-10-10/6415,,,,N/A,,N/A,,N/A,,,N/A,Sur,,N/A,N/A,N/A,,,814 m²,,1,N/A,N/A,,,,,,,,,,Propia,N/A,,,,
Piso en Carrer Transversal,D & HABITAT,2.885 €/m²,427.000 €,148 m²,https://www.pisos.com/comprar/piso-sant_pere_zona_esportiva_sant_pere08225-49234759374_510396/,Anuncio actualizado el 20/02/2025,"A, A","A, A",valles_occidental_nord (BCN),148 m²,127 m²,4,2,Bajo,N/A,Menos de 5 años,A estrenar,510396-0110603,,Parquet,Aluminio,,Americana,N/A,,Opcional,N/A,,N/A,,N/A,Frío y calor,Central,,,,,,,,,,,N/A,,,,,,,,,,,,
Loft en Carrer de la Independència,GERFINCAS,3.309 €/m²,139.000 €,42 m²,https://www.pisos.com/comprar/loft-sant_pere_zona_esportiva_sant_pere08225-50847974962_500806/,Anuncio actualizado el 19/02/2025,"F, G","F, G",valles_occidental_nord (BCN),42 m²,42 m²,,1,2ª,Balcón mirador,Más de 50 años,Reformado,500806-007583,De madera blanca,Parquet,Aluminio,,Americana,de 22 m²,,,,,,Este,N/A,Frío y calor,,,,,,,,,,,,,N/A,N/A,,,30€ mensuales,,,,,,,
Piso en Castellar del Vallès,OLVIA GESTIÓ IMMOBILIARIA,1.999 €/m²,269.900 €,135 m²,https://www.pisos.com/comprar/piso-castellar_del_valles_centro_urbano-46716826275_516838/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),135 m²,135 m²,4,2,1ª,N/A,Más de 50 años,A reformar,516838-1445,,Terrazo,Aluminio,N/A,"Independiente, con acceso a galería","Con fuego a tierra, salida a terraza",N/A,N/A,,,100m²,,,Frío,Gas natural,,,,,,,,,,,,,N/A,,,,,,,,,,
"Dúplex en Ronda de Tolosa,  s/n",RESIDENCIAL INBISA Castellar,2.031 €/m²,355.500 €,175 m²,https://www.pisos.com/comprar/duplex-castellar_del_valles_centro_urbano-4897092311_109700/,Anuncio actualizado el 29/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),175 m²,,3,3,,,,A estrenar,4528976-21478427,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,
Piso en Carrer del Montcau,HOUSE-CHAIN,2.158 €/m²,136.000 €,63 m²,https://www.pisos.com/comprar/piso-la_gripia_sant_llorenc_sant_llorenc08227-50861700231_100500/,Anuncio actualizado el 07/02/2025,"G, G","G, G",valles_occidental_nord (BCN),63 m²,,3,1,1ª,,Más de 50 años,,SA4221-HC10212/9864,,,,,,,,,,N/A,,Norte,,,Gas natural,,,,,,,,N/A,,,,,,,,Entre 20 y 40 €,,,,,N/A,,
Piso en Ca n'Aurell,Engel & Völkers MMC Barcelona,3.291 €/m²,260.000 €,79 m²,https://www.pisos.com/comprar/piso-ca_naurell08224-5244326350_109700/,Anuncio actualizado el 17/02/2025,"A, A","A, A",valles_occidental_nord (BCN),79 m²,,2,2,,,,A estrenar,IF76306-D-000M32,,,,,,,,,,,N/A,,,Frío y calor,,,,,,,N/A,,,,,,,,,,,N/A,,,,,,
Casa en Matadepera,COLDWELL BANKER STYLE REAL ESTATE,4.004 €/m²,945.000 €,236 m²,https://www.pisos.com/comprar/casa-matadepera_centro_urbano-49260840096_106700/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),236 m²,200 m²,4,3,,,,,IFC76326-CBMT660,,,,,,,,,,,,,,,,,,,459 m²,,,,,,,,,,,,,,,,,,,
Casa en Matadepera,COLDWELL BANKER STYLE REAL ESTATE,4.034 €/m²,1.295.000 €,321 m²,https://www.pisos.com/comprar/casa-matadepera_centro_urbano-45090782525_106700/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),321 m²,300 m²,5,3,,,,,IFC76326-CBMT613,,,,,,,,N/A,,,N/A,,,N/A,N/A,,,,800 m²,,,N/A,,,,,,,,,,,N/A,,,,,
Piso en Les Arenes-Can Montllor-La Grípia,INMOGRIPIA,1.885 €/m²,215.000 €,114 m²,https://www.pisos.com/comprar/piso-les_arenes_can_montllor_la_gripia08227-44191893215_514364/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),114 m²,100 m²,4,3,Bajo,N/A,Entre 20 y 30 años,En buen estado,514364-007108,Roble,Gres,Aluminio,,N/A,25 m²,,,N/A,,,Noroeste,N/A,,Gas natural,,,,,,,,,,N/A,N/A,,N/A,,,,N/A,,N/A,,,N/A,
Dúplex en Avinguda de Madrid,PERITAX,3.653 €/m²,285.000 €,78 m²,https://www.pisos.com/comprar/duplex-torre_sana-42538047988_100500/,Anuncio actualizado el 20/02/2025,"G, G","G, G",valles_occidental_nord (BCN),78 m²,60 m²,3,2,2ª,,Entre 20 y 30 años,,SA730-GP470/2691,,,,,,,,,,N/A,N/A,,,,Gas natural,,,,,,,,,,,N/A,N/A,,,,Entre 40 y 60 €,,,,,,,
"Piso en Ronda de Tolosa,  s/n",RESIDENCIAL INBISA Castellar,2.052 €/m²,322.300 €,157 m²,https://www.pisos.com/comprar/piso-castellar_del_valles_centro_urbano-4855417696_109700/,Anuncio actualizado el 29/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),157 m²,,3,2,,,,A estrenar,4528976-21478422,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,
"Dúplex en Ronda de Tolosa,  s/n",RESIDENCIAL INBISA Castellar,2.031 €/m²,355.500 €,175 m²,https://www.pisos.com/comprar/duplex-castellar_del_valles_centro_urbano-4897092311_109700/,Anuncio actualizado el 29/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),175 m²,,3,3,,,,A estrenar,4528976-21478427,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,
Casa en calle Mare de Deu Dels Desemparats,FINQUES DURAN-ARGEMI,1.357 €/m²,380.000 €,280 m²,https://www.pisos.com/comprar/casa-ca_nanglada08222-49224391595_142700/,Anuncio actualizado el 18/02/2025,"E, E","E, E",valles_occidental_nord (BCN),280 m²,216 m²,5,2,,,Entre 30 y 50 años,En buen estado,1427-26744,,,Aluminio,,,,,,,,N/A,,,Frío y calor,Gas natural,,,,,,1,,,,,,,,,,,,,,,,,
