nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Antigüedad,Referencia,Calefacción,Garaje,Superficie solar,Tipo de casa,Conservación,Carpintería exterior,Vidrios dobles,Tipo suelo,Teléfono,Cocina equipada,Puerta blindada,Terraza,Orientación,Urbanizado,Calle alumbrada,Calle asfaltada,Se aceptan mascotas,Carpintería interior,Comedor,Jardín,Lavadero,Chimenea,Piscina,Armarios empotrados,Adaptado a personas con movilidad reducida,Amueblado,Agua,Luz,Planta,Ascensor,Trastero,Exterior,Portero automático,Soleado,Aire acondicionado,Gas,Gastos de comunidad,Sistema de seguridad,Balcón,Alcantarillado
Casa rústica en Collsuspina,Engel & Völkers MMC Barcelona,794 €/m²,630.000 €,793 m²,https://www.pisos.com/comprar/casa_rustica-collsuspina_centro_urbano-45866393625_101800/,Anuncio actualizado el 14/02/2025,"C, C","C, C",moianes (BCN),793 m²,,5,4,,IF76306-I-00YEE6-W-02W5QD,Central,1,573 m²,Rústica,,,,,,,,,,,,,,,,Privado,,,,,,,,,,,,,,,,,,,,
"Casa en Carrer del Passant de Calders, 10",A DINS 1964 Serveis Immobiliaris S.L.,1.345 €/m²,269.000 €,200 m²,https://www.pisos.com/comprar/casa-sant_quirze_safaja_centro_urbano08189-45081376038_417500/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,moianes (BCN),200 m²,185 m²,3,3,,4175-100645,,,425 m²,,En buen estado,,,,,N/A,,,,,,,,,N/A,Privado,N/A,,,,,,,,,,,,,,,,,,,
Casa en Carrer de Francesc Viñas,FINQUES VILA VALLS,1.088 €/m²,245.000 €,225 m²,https://www.pisos.com/comprar/casa-moia_centro_urbano-50842640374_100500/,Anuncio actualizado el 20/01/2025,"E, E","E, E",moianes (BCN),225 m²,220 m²,5,2,Más de 50 años,SA1359-09-27-C/6415,Eléctrica,,70 m²,,,,,,,,,N/A,Sur,,,,,,N/A,N/A,,,,,,N/A,,,,,,,,,,,,,,
Casa en Moià,Engel & Völkers MMC Barcelona,1.641 €/m²,775.000 €,472 m²,https://www.pisos.com/comprar/casa-moia_centro_urbano-50098664749_101800/,Anuncio actualizado el 06/12/2024,"D, D","D, D",moianes (BCN),472 m²,,6,3,Más de 50 años,IF76306-I-00YV83-W-02SWSO,Central,1,303 m²,,,,,,,,,N/A,,,,,,,,Privado,,,,,,,,,,,,,,,,,,,,
Piso en Centre,FINQUES VILA VALLS,2.108 €/m²,156.000 €,74 m²,https://www.pisos.com/comprar/piso-moia_centro_urbano-49266231289_100500/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,moianes (BCN),74 m²,66 m²,2,2,Entre 10 y 20 años,SA1359-09-45/6415,Gas natural,1,,,,,,Parquet,,,,N/A,,,,,,,,,,,,1,,,,,Bajo,N/A,,,,,,,,,,
Casa en Santa Maria D´Oló,IMMOSONA,753 €/m²,275.000 €,365 m²,https://www.pisos.com/comprar/casa-santa_maria_olo_centro_urbano-26672023577_242400/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,moianes (BCN),365 m²,360 m²,5,2,Entre 30 y 50 años,2424-00004,N/A,Más de 2,1.614 m²,,Reformado,PVC,N/A,Gres,N/A,N/A,,N/A,,N/A,N/A,N/A,N/A,,N/A,Privado,N/A,N/A,,,,N/A,,,,,,,,,,,,,,
Casa en Moià,Engel & Völkers MMC Barcelona,410 €/m²,115.000 €,280 m²,https://www.pisos.com/comprar/casa-moia_centro_urbano-50070593314_101800/,Anuncio actualizado el 07/12/2024,Error al procesar consumo,Error al procesar emisiones,moianes (BCN),280 m²,,4,2,Más de 50 años,IF76306-I-00YVFL-W-02XQQ7,,,119 m²,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Monistrol de Calders,SAFTI ESPAÑA,832 €/m²,174.900 €,210 m²,https://www.pisos.com/comprar/casa-monistrol_de_calders_centro_urbano-47579923540_100500/,Anuncio actualizado el 18/12/2024,"E, E","E, E",moianes (BCN),210 m²,100 m²,3,2,Entre 20 y 30 años,SA3541-REF_30991,Gasoil,2,,,,,,,,,,N/A,Sur,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en calle Bv-1341,Asif Grup,1.080 €/m²,675.000 €,625 m²,https://www.pisos.com/comprar/chalet-sant_quirze_safaja_centro_urbano08189-35080132059_101800/,Anuncio actualizado el 03/02/2025,Error al procesar consumo,Error al procesar emisiones,moianes (BCN),625 m²,,5,5,Entre 30 y 50 años,IF76363-VSANQUIRSAF-0206,Central,1,2.252 m²,,,,,,,N/A,N/A,N/A,A la montaña,,,,,,,Privado,N/A,,,1,,,,,,,N/A,,,,,,,,,
Casa en L'Estany,CASA HOUSE,1.476 €/m²,350.000 €,237 m²,https://www.pisos.com/comprar/casa-estany_centro_urbano-51687720444_109300/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,moianes (BCN),237 m²,230 m²,7,2,Más de 50 años,EP1035-CH175,Gasoil,N/A,302 m²,,En buen estado,N/A,,Cerámica o gress,,Independiente,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,
"Finca rústica en calle Masias Rourell El, nº S-N",INMOGLOBAL BCN,1 €/m²,2.000.000 €,1.300 m²,https://www.pisos.com/comprar/finca_rustica-moia_centro_urbano-50886092881_106700/,Anuncio actualizado el 18/01/2025,Error al procesar consumo,Error al procesar emisiones,moianes (BCN),1.300 m²,458 m²,7,4,,IFC75924-FIN_725,,,1.930.000 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Carrer del Call Fondo,Engel & Völkers MMC Barcelona,1.884 €/m²,742.500 €,394 m²,https://www.pisos.com/comprar/casa-castelltercol_centro_urbano-30089877881_101800/,Anuncio actualizado el 16/10/2024,"C, C","C, C",moianes (BCN),394 m²,,4,3,Entre 5 y 10 años,IF76306-I-00WGBF-W-02QQUG,Central,1,725 m²,,,,,,,,,N/A,A la montaña,,,,,,,Privado,,,,,,,,,,,,,,,,,,,,
