nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Habitaciones,Baños,Referencia,Ascensor,Balcón,Terraza,Superficie útil,Superficie solar,Antigüedad,Conservación,Tipo suelo,Agua,Luz,Calefacción,Cocina equipada,Trastero,Planta,Armarios empotrados,Vidrios dobles,Carpintería exterior,Gas,Comedor,Lavadero,Portero automático,Puerta blindada,Sistema de seguridad,Garaje,Adaptado a personas con movilidad reducida,Jardín,Orientación,Urbanizado,Carpintería interior,Calle alumbrada,Calle asfaltada,Exterior,Teléfono,Soleado,Se aceptan mascotas,Tipo de casa,Aire acondicionado,Chimenea,Interior,Amueblado,Piscina,Gastos de comunidad
Casa en Carrer de Sant Andreu,ARKI,1.074 €/m²,230.000 €,214 m²,https://www.pisos.com/comprar/casa-tona_centro_urbano-49225598277_524984/,Anuncio actualizado el 05/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),214 m²,4,1,4524984-TX10,,,,190 m²,1.646 m²,Más de 50 años,A reformar,N/A,,,,,,,,,,,,,,,,1,,Privado,Oeste,N/A,,,N/A,,,,,,,,,,,
Finca rústica en Tona,IMMOSONA,34 €/m²,550.000 €,536 m²,https://www.pisos.com/comprar/finca_rustica-tona_centro_urbano-43391730924_242400/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),536 m²,5,4,2424-00005,,,,500 m²,16.000 m²,,En buen estado,Terrazo,,,N/A,N/A,,,,N/A,PVC,,N/A,,,,,2,,,Suroeste,,,,,,N/A,,,,,N/A,,N/A,,
Casa adosada en Camí de Verinal,LA CLAU GRUP IMMOBILIARI,2.411 €/m²,313.500 €,130 m²,https://www.pisos.com/comprar/casa_adosada-tona_centro_urbano-49169163888_187000/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),130 m²,3,3,1870-100374,,,,101 m²,120 m²,Menos de 5 años,A estrenar,Gres,,,N/A,N/A,,,,N/A,PVC,,"43,31",N/A,,N/A,,,,Privado,Sur,N/A,Lacada blanca,N/A,N/A,,,,N/A,Adosada,Frío y calor,,,,,
Piso en Carrer d'Àngel Guimerà,estudivic,995 €/m²,42.800 €,43 m²,https://www.pisos.com/comprar/piso-manlleu_centro_urbano-46742354768_994602/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),43 m²,2,1,4994602-700ocupatmanlleu,,N/A,,43 m²,,Entre 10 y 20 años,A reformar,,,,,,,1ª,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Tona,NOVA,2.846 €/m²,287.480 €,101 m²,https://www.pisos.com/comprar/piso-tona_centro_urbano-20090687126_440100/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),101 m²,3,2,4401-010938,N/A,,N/A,86 m²,,Menos de 5 años,A estrenar,,,,Eléctrica,N/A,,1ª,,N/A,Aluminio,,N/A,N/A,N/A,N/A,,,,Comunitario,,,N/A,,,N/A,,N/A,,,Frío y calor,N/A,,,Comunitaria,
Casa en Santa Eulàlia de Riuprimer,NOVA,1.988 €/m²,360.000 €,181 m²,https://www.pisos.com/comprar/casa-santa_eulalia_de_riuprimer_centro_urbano-43417262445_440100/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),181 m²,3,3,4401-010015,,,N/A,150 m²,,Menos de 5 años,A estrenar,,,,Gas natural,N/A,,,,N/A,Aluminio,N/A,N/A,,,N/A,,2,,Privado,,N/A,N/A,N/A,N/A,,,,,,,,,,,
Piso en Manlleu,Visualpis,1.345 €/m²,148.000 €,110 m²,https://www.pisos.com/comprar/piso-manlleu_centro_urbano-51683861013_106700/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),110 m²,3,2,IFC76374-PIS_52,,,,95 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Jacint Verdaguer,HABITATGE,2.386 €/m²,420.000 €,176 m²,https://www.pisos.com/comprar/piso-nord_el_sucre_universitat08500-51730915848_110700/,Anuncio actualizado el 18/02/2025,"E, E","E, E",osona (BCN),176 m²,4,3,1107-VP12502-02,N/A,N/A,,160 m²,,Entre 30 y 50 años,En buen estado,Parquet,,Endesa,Gas natural,N/A,,3ª,Más de 2,N/A,Aluminio,,N/A,N/A,,,,,,,Sur,,,,,,,,,,,,,,,
Casa en Taradell,IMMOSONA,1.111 €/m²,349.000 €,314 m²,https://www.pisos.com/comprar/casa-taradell_centro_urbano-44241988303_242400/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),314 m²,4,2,2424-10027,,,N/A,300 m²,1.052 m²,Entre 10 y 20 años,A reformar,,,,Gasoil,,,,,,,,,,,,,Más de 2,,Privado,Sur,N/A,,N/A,N/A,,,,,,,,,,,
Casa en Carrer de l'Amistat,estudivic,770 €/m²,91.700 €,119 m²,https://www.pisos.com/comprar/casa-manlleu_centro_urbano-46702935203_994602/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),119 m²,4,1,4994602-322ocupatmanlleu,,,N/A,119 m²,124 m²,Entre 30 y 50 años,A reformar,,,,,,,,,,,,,,,,,1,,Privado,,N/A,,N/A,N/A,,,,,,,,,,,
Dúplex en Carrer de la Passió,SIMM,1.950 €/m²,195.000 €,100 m²,https://www.pisos.com/comprar/duplex-manlleu_centro_urbano-44167256382_110300/,Anuncio actualizado el 20/02/2025,"G, F","G, F",osona (BCN),100 m²,2,1,1103-002399,N/A,N/A,N/A,78 m²,,Entre 10 y 20 años,En buen estado,Gres,,,Eléctrica,N/A,,3ª,1,N/A,Aluminio,,N/A,,N/A,N/A,N/A,,N/A,,Suroeste,,N/A,,,N/A,N/A,N/A,,,,,,,,Entre 40 y 60 €
