nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Habitaciones,Baños,Referencia,Ascensor,Balcón,Terraza,Superficie útil,Superficie solar,Antigüedad,Conservación,Tipo suelo,Agua,Luz,Calefacción,Cocina equipada,Trastero,Planta,Armarios empotrados,Vidrios dobles,Carpintería exterior,Gas,Comedor,Lavadero,Portero automático,Puerta blindada,Sistema de seguridad,Garaje,Adaptado a personas con movilidad reducida,Jardín,Orientación,Urbanizado,Carpintería interior,Calle alumbrada,Calle asfaltada,Exterior,Teléfono,Soleado,Se aceptan mascotas,Tipo de casa,Aire acondicionado,Chimenea,Interior,Amueblado,Piscina,Gastos de comunidad
Piso en Plaça d'Osona,130 Serveis Immobiliaris,1.218 €/m²,136.500 €,112 m²,https://www.pisos.com/comprar/piso-estadi_horta_vermella_santa_anna-51678533482_517959/,Anuncio actualizado el 14/02/2025,"E, E","E, E",osona (BCN),112 m²,4,2,517959-AN-675-926,,,N/A,111 m²,,Entre 30 y 50 años,En buen estado,,,,Gas natural,,,3ª,,,,,,N/A,,,,,,,,,,,,N/A,,,,,Frío,,,,,
"Piso en Plaza Osona, 3",FINQUES KM ZERO,982 €/m²,110.000 €,112 m²,https://www.pisos.com/comprar/piso-estadi_horta_vermella_santa_anna-42596080897_101300/,Anuncio actualizado el 18/02/2025,"G, G","G, G",osona (BCN),112 m²,4,1,API266-2555,N/A,N/A,,99 m²,,Entre 30 y 50 años,,,,,,,,,,,,Otra compañía,21.00,N/A,,,,,,,Oeste,,,,,,N/A,,,,,,,,,
Casa en Santa Eugènia de Berga,INMODERNA GSI,4.462 €/m²,415.000 €,93 m²,https://www.pisos.com/comprar/casa-santa_eugenia_de_berga_centro_urbano08507-39177917289_101300/,Anuncio actualizado el 13/02/2025,"A, A","A, A",osona (BCN),93 m²,3,2,API222-80153,,,,87 m²,,Menos de 5 años,A estrenar,,,,N/A,,,,,,,,,,,,,,,,Sur,,,,,,,,,,,,,,,
Casa adosada en Santa Eugènia de Berga,IMMOBILIARIA TARADELL,1.705 €/m²,295.000 €,173 m²,https://www.pisos.com/comprar/casa_adosada-santa_eugenia_de_berga_centro_urbano08507-51677101643_101800/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),173 m²,3,2,IF7540-STAEUGVEN,,,N/A,,107 m²,Entre 20 y 30 años,,,,,Central,,,,1,,,,,N/A,,,,1,,Privado,,,,,,,,,,Adosada,,,,,,
Piso en Centelles,URBENIA,2.725 €/m²,218.000 €,80 m²,https://www.pisos.com/comprar/piso-centelles_centro_urbano-50019456692_109300/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),80 m²,3,2,EP1014-97802,,,N/A,78 m²,,,En buen estado,,N/A,,,N/A,,2ª,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,
Casa en calle del Rec Fondo,INMODERNA GSI,1.853 €/m²,530.000 €,286 m²,https://www.pisos.com/comprar/casa-santa_eugenia_de_berga_centro_urbano08507-50858064259_101300/,Anuncio actualizado el 13/02/2025,"A, A","A, A",osona (BCN),286 m²,3,2,API222-CSANDEL195,,,,250 m²,,,,,,,,,,,,,,,,,,,,,,,4 vientos,,,,,,,,,,,,,,,
Ático en Rambla del Passeig,GESTIONS TONI OLIVER,3.271 €/m²,229.000 €,70 m²,https://www.pisos.com/comprar/atico-nord_el_sucre_universitat08500-48352255749_100500/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),70 m²,2,2,SA2723-106337061,N/A,N/A,N/A,65 m²,,Entre 10 y 20 años,En buen estado,,,,,,,4ª,,,,,,,,,,,,,Norte,,,,,N/A,,,,,,,,,,Entre 40 y 60 €
"Piso en Carrer de Sant Segimon, 12",FINQUES BACH -Assessors Immobiliaris-,2.325 €/m²,279.000 €,120 m²,https://www.pisos.com/comprar/piso-caputxins_santa_clara_hospital-50057803335_213400/,Anuncio actualizado el 20/02/2025,"G, G","G, G",osona (BCN),120 m²,5,2,2134-3618,,,N/A,111 m²,,,Reformado,N/A,,,Gas natural,N/A,N/A,2ª,Más de 2,,Madera,N/A,N/A,,N/A,,,,,,Sur,,,,,N/A,N/A,N/A,,,,N/A,,,,
Casa en Gurb,Engel & Völkers MMC Barcelona,2.932 €/m²,1.425.000 €,486 m²,https://www.pisos.com/comprar/casa-gurb_centro_urbano-33376496296_101800/,Anuncio actualizado el 21/05/2024,"E, E","E, E",osona (BCN),486 m²,6,3,IF76306-I-00WVO1-W-02RVZU,,,,,811 m²,Entre 10 y 20 años,,,,,,N/A,N/A,,1,,,,,,,,,1,,Privado,,,,,,,,,,,,,,,Propia,
Piso en Carrer de Jacint Verdaguer,GESTIONS TONI OLIVER,1.851 €/m²,250.000 €,135 m²,https://www.pisos.com/comprar/piso-nord_el_sucre_universitat08500-43346706792_100500/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),135 m²,4,2,SA2723-104533971,N/A,N/A,N/A,120 m²,,Entre 30 y 50 años,En buen estado,,,,,,N/A,,1,,,,,,,,,,,,Sur,,,,,,,,,,,,N/A,,,
Piso en Manlleu,estudivic,696 €/m²,85.000 €,122 m²,https://www.pisos.com/comprar/piso-manlleu_centro_urbano-36676181819_994602/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),122 m²,4,1,4994602-659manlleu,,N/A,N/A,95 m²,,Entre 30 y 50 años,A reformar,Terrazo,,,Gas natural,N/A,,4ª,,,Madera,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,N/A,,N/A,,,,N/A,,,,
"Piso en Carrer Nou, 127",FINQUES BACH -Assessors Immobiliaris-,3.333 €/m²,170.000 €,51 m²,https://www.pisos.com/comprar/piso-vic_centre_historic-21749869268_213400/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),51 m²,1,1,2134-3139,N/A,,,42 m²,,Menos de 5 años,Reformado,Gres,,,Gas natural,N/A,,Bajo,1,N/A,Madera,,,,,N/A,,,N/A,,,,N/A,,,N/A,N/A,N/A,,,,,,,,
"Piso en Carrer de Manlleu, 40",Agencia no disponible,3.154 €/m²,224.000 €,71 m²,https://www.pisos.com/comprar/piso-caputxins_santa_clara_hospital-50852604503_109800/,Anuncio actualizado el 14/02/2025,"G, G","G, G",osona (BCN),71 m²,3,2,21715990,N/A,,,68 m²,,Entre 20 y 30 años,En buen estado,Parquet,,,Eléctrica,,,Bajo,2,N/A,,,,N/A,,,,,,,,,,,,N/A,,N/A,,,,,,,,N/A
Casa adosada en Calldetenes,IMMOBILIARIA TARADELL,1.518 €/m²,366.000 €,241 m²,https://www.pisos.com/comprar/casa_adosada-calldetenes_centro_urbano08506-42561017392_101800/,Anuncio actualizado el 04/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),241 m²,4,1,IF7540-Csvica,,,N/A,,192 m²,Entre 30 y 50 años,,,,,,,N/A,,,,,,,N/A,,,,1,,Privado,,,,,,,,,,Adosada,,,,,,
Piso en Carrer de l'Amistat,estudivic,784 €/m²,65.100 €,83 m²,https://www.pisos.com/comprar/piso-manlleu_centro_urbano-46700010503_994602/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),83 m²,3,1,4994602-114ocupatmanlleu,,,,83 m²,,Entre 30 y 50 años,A reformar,,,,,,Se vende aparte por 1.000 euros,1ª,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,
"Piso en calle Jaume 1Er, nº 127",FINQUES BACH -Assessors Immobiliaris-,3.928 €/m²,165.000 €,42 m²,https://www.pisos.com/comprar/piso-vic_centre_historic-21715116962_213400/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),42 m²,1,1,2134-3141,N/A,,,36 m²,,Menos de 5 años,Reformado,Gres,,,Gas natural,N/A,,Bajo,1,N/A,Madera,,,,,N/A,,,N/A,,,,N/A,,,N/A,N/A,N/A,,,,,,,,
Casa en Sant Hipòlit de Voltregà,FINQUES KM ZERO,840 €/m²,259.000 €,308 m²,https://www.pisos.com/comprar/casa-sant_hipolit_de_voltrega_centro_urbano08512-45855912075_101300/,Anuncio actualizado el 19/12/2024,"G, G","G, G",osona (BCN),308 m²,5,2,API266-20101,,,,200 m²,,Más de 50 años,,,,,N/A,,,,,,,,,,,,,,,,Oeste,,,,,,,,,,,,,,,
"Piso en Carrer de la Ramada, 8",FINQUES BACH -Assessors Immobiliaris-,3.077 €/m²,437.000 €,142 m²,https://www.pisos.com/comprar/piso-vic_centre_historic-19176500899_213400/,Anuncio actualizado el 20/02/2025,"D, C","D, C",osona (BCN),142 m²,3,2,2134-3106,N/A,N/A,N/A,127 m²,,Entre 10 y 20 años,En buen estado,Parquet,,,,N/A,,1ª,,N/A,Madera,,N/A,N/A,N/A,,,,,,Sur,,,,,N/A,N/A,,N/A,,Frío y calor,,,,,
Piso en Nord-El Sucre-Universitat,B.C. GESTIONS,2.011 €/m²,181.000 €,90 m²,https://www.pisos.com/comprar/piso-nord_el_sucre_universitat08500-49202404221_106700/,Anuncio actualizado el 24/12/2024,Error al procesar consumo,Error al procesar emisiones,osona (BCN),90 m²,3,2,IFC76360-SBRE-0134154,,,,76 m²,,Entre 10 y 20 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Casa en Carrer del Baró de Savassona, 9",LA LLAR IMMOBILIÀRIA,Error al procesar precio m²,A consultar,667 m²,https://www.pisos.com/comprar/casa-caputxins_santa_clara_hospital-45920415357_116000/,Anuncio actualizado el 20/02/2025,"G, F","G, F",osona (BCN),667 m²,5,6,1160-099796,,,,567 m²,1.119 m²,,En buen estado,Mármol,,,Gasoil,N/A,,,Más de 2,N/A,Aluminio,,N/A,N/A,,N/A,N/A,Más de 2,,Privado,Suroeste,N/A,N/A,N/A,N/A,,N/A,,,,Frío y calor,,,,Propia,
"Dúplex en Carrer del Puigmal, 14",LA LLAR IMMOBILIÀRIA,2.171 €/m²,215.000 €,99 m²,https://www.pisos.com/comprar/duplex-folgueroles_centro_urbano-50085997752_116000/,Anuncio actualizado el 20/02/2025,"E, E","E, E",osona (BCN),99 m²,3,2,1160-099858,,,N/A,87 m²,,Entre 5 y 10 años,En buen estado,Parquet,,,Gas natural,N/A,,2ª,Más de 2,N/A,Aluminio,,N/A,N/A,N/A,,,,,,Sureste,,N/A,,,N/A,,N/A,,,Frío y calor,,,,,
Piso en Carrer de Sant Joan,Aliseda Inmobiliaria,819 €/m²,91.000 €,111 m²,https://www.pisos.com/comprar/piso-manlleu_centro_urbano-35926634167_107000/,Anuncio actualizado el 03/08/2024,Error al procesar consumo,Error al procesar emisiones,osona (BCN),111 m²,3,2,AS1-52717425,,,,,,,,,,,,N/A,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,
Casa en Coma del Reig,Qualifinques,2.196 €/m²,435.000 €,198 m²,https://www.pisos.com/comprar/casa-taradell_centro_urbano-45840980676_225000/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),198 m²,4,3,2250-004068,,,N/A,167 m²,252 m²,Menos de 5 años,A estrenar,Gres,,,N/A,N/A,,,,,Aluminio,,N/A,N/A,,,,2,,Privado,Suroeste,N/A,,N/A,N/A,,,,,,,,,,,
"Casa en calle Gurb, nº 1",FINQUES BACH -Assessors Immobiliaris-,38 €/m²,760.000 €,19.787 m²,https://www.pisos.com/comprar/casa-gurb_centro_urbano-45863609861_213400/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),19.787 m²,7,3,2134-3562,,,N/A,299 m²,19.787 m²,,En buen estado,Gres,,,,N/A,,,,,Madera,,N/A,N/A,,,,1,,Privado,,,,,,,,,,,Frío y calor,N/A,,,,
Piso en Centre Històric,LA LLAR IMMOBILIÀRIA,3.140 €/m²,446.000 €,142 m²,https://www.pisos.com/comprar/piso-vic_centre_historic-27535435500_116000/,Anuncio actualizado el 20/02/2025,"D, C","D, C",osona (BCN),142 m²,3,2,1160-099556,N/A,,,123 m²,,Menos de 5 años,A estrenar,Parquet,,,N/A,N/A,,1ª,Más de 2,N/A,Aluminio,,N/A,N/A,N/A,N/A,,,,,Suroeste,,N/A,,,N/A,,N/A,,,Frío y calor,,,,,
Casa en Coma del Reig,Qualifinques,1.893 €/m²,375.000 €,198 m²,https://www.pisos.com/comprar/casa-taradell_centro_urbano-45909494313_225000/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),198 m²,4,3,2250-004069,,,N/A,167 m²,144 m²,Menos de 5 años,A estrenar,Gres,,,N/A,N/A,,,,,Aluminio,,N/A,N/A,,,,2,,Privado,Suroeste,N/A,,N/A,N/A,,,,,,,,,,,
"Casa adosada en calle Diputación, 08503",GESTIONS TONI OLIVER,1.500 €/m²,300.000 €,200 m²,https://www.pisos.com/comprar/casa_adosada-gurb_centro_urbano-50908505397_100500/,Anuncio actualizado el 28/01/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),200 m²,3,1,SA2723-106995900,,,N/A,,,Más de 50 años,En buen estado,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,Adosada,,,,,,
Piso en Paseo de Sant Joan,FINQUES KM ZERO,979 €/m²,95.000 €,97 m²,https://www.pisos.com/comprar/piso-manlleu_centro_urbano-38364984602_101300/,Anuncio actualizado el 19/12/2024,"E, E","E, E",osona (BCN),97 m²,4,2,API266-B17557G,N/A,,,85 m²,,Entre 30 y 50 años,,,,,N/A,,,,,,,,,,,,,,,,Sur,,,,,,,,,,,,,,,
Casa pareada en Carrer de Barcelona,GESTIONS TONI OLIVER,2.200 €/m²,385.000 €,175 m²,https://www.pisos.com/comprar/casa_pareada-santa_eugenia_de_berga_centro_urbano08507-47536735232_100500/,Anuncio actualizado el 02/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),175 m²,4,2,SA2723-106085884,,,N/A,168 m²,335 m²,Entre 20 y 30 años,En buen estado,,,,Central,,N/A,,1,,,,,,,,,1,,N/A,Norte,,,,,,,,,Pareada,,,,,,
"Dúplex en Carrer de Bellmunt, 31",LA LLAR IMMOBILIÀRIA,2.386 €/m²,210.000 €,88 m²,https://www.pisos.com/comprar/duplex-folgueroles_centro_urbano-47599756899_116000/,Anuncio actualizado el 20/02/2025,"E, E","E, E",osona (BCN),88 m²,3,2,1160-099820,N/A,,N/A,74 m²,,Entre 5 y 10 años,En buen estado,Gres,,,Gas natural,N/A,,1ª,Más de 2,N/A,Aluminio,,N/A,N/A,N/A,,,,,,Sureste,,N/A,,,N/A,,N/A,,,Frío y calor,,,,,
"Dúplex en Carrer de Bellmunt, 31",LA LLAR IMMOBILIÀRIA,2.527 €/m²,230.000 €,91 m²,https://www.pisos.com/comprar/duplex-folgueroles_centro_urbano-47534184959_116000/,Anuncio actualizado el 20/02/2025,"E, E","E, E",osona (BCN),91 m²,3,2,1160-099819,,,N/A,74 m²,,Entre 5 y 10 años,En buen estado,Parquet,,,Gas natural,N/A,,2ª,Más de 2,N/A,Aluminio,,N/A,N/A,N/A,,,,,,Sureste,,N/A,,,N/A,,N/A,,,Frío y calor,,,,,
Piso en Passeig d'En Pep Ventura,estudivic,1.519 €/m²,118.500 €,78 m²,https://www.pisos.com/comprar/piso-nord_el_sucre_universitat08500-51716695096_994602/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),78 m²,3,1,4994602-0025ocupat vic,N/A,,N/A,72 m²,,Más de 50 años,A reformar,,,,,N/A,,1ª,,,,,N/A,N/A,,,,,,,,,,,,N/A,,,,,,,,,,
"Casa en Avinguda de Pau Casals, 12",Finques la Llar,1.880 €/m²,329.000 €,175 m²,https://www.pisos.com/comprar/casa-seva_centro_urbano-5911906764_135200/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),175 m²,4,2,1352-006234,,,11.12m²,175 m²,1.007 m²,Menos de 5 años,A estrenar,,,,,Americana,,,,,,,39.10m²,6.80m²,,,,2,,Privado,,,,,,,,,,,,,,,,
Casa adosada en Carrer de Narcís Monturiol,GESTIONS TONI OLIVER,1.339 €/m²,375.000 €,280 m²,https://www.pisos.com/comprar/casa_adosada-estadi_horta_vermella_santa_anna-47585998058_100500/,Anuncio actualizado el 18/02/2025,"E, E","E, E",osona (BCN),280 m²,4,2,SA2723-105897632,,,N/A,,,Entre 30 y 50 años,En buen estado,,,,,,,,1,,,,,,,,,1,,,Sur,,,,,,,,,Adosada,,,,,N/A,
Piso en Vall del Ges,SAM GRUPO M,2.013 €/m²,145.000 €,72 m²,https://www.pisos.com/comprar/piso-torello_centro_urbano-50856936016_100500/,Anuncio actualizado el 24/01/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),72 m²,2,1,SA4980-TORR_02/10877,,N/A,N/A,,,,,Parquet,,,,,,Bajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer dels Marquesos de Palmerola,Hi Homie,1.267 €/m²,128.000 €,101 m²,https://www.pisos.com/comprar/piso-sant_hipolit_de_voltrega_centro_urbano08512-51687639928_100500/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),101 m²,2,1,SA3398-SHV004,,,N/A,80 m²,,Más de 50 años,En buen estado,,,,,Cocina equipada,,1ª,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,Entre 10 y 20 €
Piso en Nord-El Sucre-Universitat,B.C. GESTIONS,1.622 €/m²,172.000 €,106 m²,https://www.pisos.com/comprar/piso-nord_el_sucre_universitat08500-49197804012_106700/,Anuncio actualizado el 24/12/2024,Error al procesar consumo,Error al procesar emisiones,osona (BCN),106 m²,3,2,IFC76360-SBRE-0134198,,,,90 m²,,Entre 10 y 20 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Muntanyola,SERVEIS IMMOBILIARIS MIREIA BRUN,1.928 €/m²,295.000 €,153 m²,https://www.pisos.com/comprar/casa-muntanyola_centro_urbano-29222909284_101300/,Anuncio actualizado el 19/02/2025,"E, E","E, E",osona (BCN),153 m²,3,2,API94-100445,,,,120 m²,,,,,,,N/A,,,,,,,,,,,,,,,,4 vientos,,,,,,,,,,,,,,,
"Piso en Rambla del Passeig, 19",FINQUES BACH -Assessors Immobiliaris-,2.783 €/m²,295.000 €,106 m²,https://www.pisos.com/comprar/piso-caputxins_santa_clara_hospital-50029607474_213400/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),106 m²,3,2,2134-3571,N/A,N/A,,78 m²,,Menos de 5 años,A estrenar,Parquet,,,Gas natural,N/A,,2ª,,N/A,Madera,,N/A,,N/A,,,,,,Sur,,,,,N/A,,N/A,,,,,,,,
"Piso en Carrer del Collsacabra, 32",ALTAMIRA,837 €/m²,62.000 €,74 m²,https://www.pisos.com/comprar/piso-torello_centro_urbano-35038086568_103600/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),74 m²,3,2,AM9-2302##33000271,,,,74 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dúplex en Rambla del Passeig, 19",FINQUES BACH -Assessors Immobiliaris-,2.500 €/m²,395.000 €,158 m²,https://www.pisos.com/comprar/duplex-caputxins_santa_clara_hospital-50039858020_213400/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),158 m²,3,3,2134-3572,N/A,,N/A,98 m²,,Menos de 5 años,A estrenar,Parquet,,,Gas natural,N/A,,3ª,,N/A,PVC,,N/A,,N/A,,,,,,Sur,,,,,N/A,,N/A,,,,,,,,
Piso en Ronda de les Pollancredes,130 Serveis Immobiliaris,1.410 €/m²,141.000 €,100 m²,https://www.pisos.com/comprar/piso-torello_centro_urbano-49229314832_517959/,Anuncio actualizado el 26/11/2024,"E, E","E, E",osona (BCN),100 m²,3,1,517959-AN-674-682,N/A,,,65 m²,,Entre 30 y 50 años,En buen estado,,,,,,,Bajo,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,
Casa en Nord-El Sucre-Universitat,URBENIA,5.666 €/m²,595.000 €,105 m²,https://www.pisos.com/comprar/casa-nord_el_sucre_universitat08500-49263922307_109300/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),105 m²,4,1,EP1014-97646,,,N/A,,,,En buen estado,,N/A,,,,N/A,,,,,,,,,,,1,,,,,,,,,,,,,,N/A,,,,
"Piso en Carrer de Jacint Verdaguer, 7",FINQUES BACH -Assessors Immobiliaris-,2.155 €/m²,250.000 €,116 m²,https://www.pisos.com/comprar/piso-vic_centre_historic-982961427_213400/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),116 m²,4,1,2134-001034,N/A,,,110 m²,,Más de 50 años,A reformar,Gres,N/A,N/A,Gas natural,Equipada,,3ª,N/A,,Madera,N/A,N/A,N/A,N/A,,,,,,Oeste,,,,,,N/A,,,,,,,N/A,,A parte
"Dúplex en Carrer del Collsacabra, 34",ALTAMIRA,925 €/m²,50.000 €,54 m²,https://www.pisos.com/comprar/duplex-roda_de_ter_centro_urbano-35053590458_103600/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),54 m²,1,1,AM9-2061##02004469,,,,54 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Santa Maria de Corcó,FINQUES KM ZERO,1.777 €/m²,160.000 €,90 m²,https://www.pisos.com/comprar/piso-santa_maria_de_corco-45058600836_101300/,Anuncio actualizado el 19/12/2024,"E, E","E, E",osona (BCN),90 m²,4,2,API266-10283,,,,74 m²,,Entre 30 y 50 años,,,,,N/A,,,,,,,,,,,,,,,,Sur,,,,,,,,,,,,,,,
Piso en calle de Sogorb,FINQUES KM ZERO,1.610 €/m²,161.000 €,100 m²,https://www.pisos.com/comprar/piso-manlleu_centro_urbano-51737139772_101300/,Anuncio actualizado el 12/02/2025,"E, E","E, E",osona (BCN),100 m²,3,2,API266-PMANDE 724,N/A,,,88 m²,,Entre 20 y 30 años,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Remei-Montseny-La Guixa,estudivic,1.610 €/m²,182.000 €,113 m²,https://www.pisos.com/comprar/piso-remei_montseny_la_guixa08500-47564460048_994602/,Anuncio actualizado el 20/02/2025,"E, E","E, E",osona (BCN),113 m²,3,2,4994602-1361vic,N/A,,N/A,100 m²,,Entre 30 y 50 años,Reformado,Gres,,,Gas natural,N/A,,2ª,Más de 2,,Madera,N/A,N/A,,,,,1,,,,,N/A,,,N/A,,N/A,,,Aire acondicionado,,,,,
"Piso en Carrer de Bellmunt, 31",LA LLAR IMMOBILIÀRIA,2.708 €/m²,130.000 €,48 m²,https://www.pisos.com/comprar/piso-folgueroles_centro_urbano-51737048636_116000/,Anuncio actualizado el 20/02/2025,"E, E","E, E",osona (BCN),48 m²,2,1,1160-099885,,,N/A,42 m²,,Entre 5 y 10 años,En buen estado,Gres,,,Gas natural,N/A,,1ª,1,N/A,Aluminio,,N/A,,N/A,,,,,,,,N/A,,,N/A,,N/A,,,Frío y calor,,,,,
Piso en Carrer del Pintor Guàrdia,Aliseda Inmobiliaria,1.657 €/m²,63.000 €,38 m²,https://www.pisos.com/comprar/piso-manlleu_centro_urbano-40081014401_109700/,Anuncio actualizado el 18/12/2024,Error al procesar consumo,Error al procesar emisiones,osona (BCN),38 m²,1,1,AS1-856,,,,,,,A estrenar,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Avinguda de la Garrotxa,VIVANTIAL,1.285 €/m²,135.000 €,105 m²,https://www.pisos.com/comprar/piso-manlleu_centro_urbano-51693097059_109300/,Anuncio actualizado el 15/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),105 m²,,,EP618-14230-2025,N/A,,N/A,98 m²,,,En buen estado,,,,,,,1ª,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,
Piso en Nord-El Sucre-Universitat,estudivic,1.783 €/m²,189.000 €,106 m²,https://www.pisos.com/comprar/piso-nord_el_sucre_universitat-36748714962_994602/,Anuncio actualizado el 20/02/2025,"E, E","E, E",osona (BCN),106 m²,3,2,4994602-4179vic,N/A,,N/A,90 m²,,Entre 10 y 20 años,En buen estado,Parquet,,,Gas natural,N/A,,5ª,Más de 2,N/A,Aluminio,,N/A,N/A,N/A,N/A,N/A,,,,,,N/A,,,N/A,,,,,,,,,,
Dúplex en Carrer de Jacint Verdaguer,FINQUES BACH -Assessors Immobiliaris-,Error al procesar precio m²,A consultar,250 m²,https://www.pisos.com/comprar/duplex-vic_centre_historic-14188467880_213400/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),250 m²,5,2,2134-3014,N/A,N/A,N/A,200 m²,,Entre 30 y 50 años,En buen estado,Parquet,,,Gas natural,N/A,,5ª,Más de 2,N/A,Madera,N/A,N/A,N/A,N/A,,,2,,,Sur,,,,,N/A,N/A,N/A,,,,,,,,
"Piso en Carrer de Sant Jordi, 2",FINQUES BACH -Assessors Immobiliaris-,1.967 €/m²,240.000 €,122 m²,https://www.pisos.com/comprar/piso-caputxins_santa_clara_hospital-51728993461_213400/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),122 m²,4,2,2134-3261,N/A,N/A,,110 m²,,Entre 20 y 30 años,En buen estado,Gres,,,Gas natural,N/A,,1ª,Más de 2,N/A,Madera,,N/A,N/A,N/A,,,,,,Oeste,,,,,N/A,,N/A,,,,,,,,Entre 20 y 40 €
Chalet adosado en Carrer de Voltregà,HELLOFINCA.,1.620 €/m²,162.000 €,100 m²,https://www.pisos.com/comprar/chalet_adosado-manlleu_centro_urbano-51737118952_527713/,Anuncio actualizado el 12/02/2025,"F, F","F, F",osona (BCN),100 m²,4,1,4527713-000075,,,N/A,90 m²,,Más de 50 años,En buen estado,Gres,,,Gas natural,Independiente,,,1,,Madera,,Amplio,N/A,,N/A,N/A,1,,Privado,Sureste,N/A,Madera,N/A,N/A,,,,N/A,,,,,N/A,,
Piso en Els Hostalets de Balenyà,B.C. GESTIONS,2.239 €/m²,266.539 €,119 m²,https://www.pisos.com/comprar/piso-els_hostalets_de_balenya-50029080156_106700/,Anuncio actualizado el 20/12/2024,Error al procesar consumo,Error al procesar emisiones,osona (BCN),119 m²,1,1,IFC76360-P-2025,,,,100 m²,,Menos de 5 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Casa en Avinguda de Goitallops, 52",FINQUES BACH -Assessors Immobiliaris-,1.364 €/m²,550.000 €,403 m²,https://www.pisos.com/comprar/casa-taradell_centro_urbano-43382707533_213400/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),403 m²,4,3,2134-3522,,,N/A,403 m²,2.326 m²,Entre 30 y 50 años,En buen estado,Gres,,,Gasoil,,,,Más de 2,,Madera,,,N/A,,,,Más de 2,,Privado,N/A,,,,,,,,,,,N/A,,,,
