nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Exterior,Referencia,Armarios empotrados,Tipo suelo,Vidrios dobles,Aire acondicionado,Calefacción,Cocina equipada,Trastero,Puerta blindada,Ascensor,Adaptado a personas con movilidad reducida,Terraza,Orientación,Interior,Chimenea,Jardín,Planta,Antigüedad,Lavadero,Sistema de seguridad,Conservación,Gastos de comunidad,Amueblado,Carpintería interior,Carpintería exterior,Comedor,Portero automático,Superficie solar,Garaje,Balcón,Soleado,Se aceptan mascotas,Gas,Teléfono,Agua,Piscina,Tipo de casa,Urbanizado,Calle alumbrada,Calle asfaltada
Ático en Carrer de Sant Carles,INMO- INMUEBLES & INTERIORISMO,5.102 €/m²,250.000 €,49 m²,https://www.pisos.com/comprar/atico-centre_can_mariner08922-50047299526_100500/,Anuncio actualizado el 11/02/2025,"E, E","E, E",santa_coloma_de_gramenet (BCN),49 m²,44 m²,2,1,,SA5255-C_Sant_Carles/6359,,Parquet,,N/A,N/A,,,N/A,N/A,,N/A,Suroeste,,,,4ª,Más de 50 años,,N/A,,Entre 40 y 60 €,,,,N/A,,,,N/A,,,,,N/A,,,,,
Casa en Carrer d'Alella,L´AGENCIA GESTIO IMMOBILIARIA,3.825 €/m²,612.100 €,160 m²,https://www.pisos.com/comprar/casa-llati_riera_alta_cementiri_vell08921-44236477851_992337/,Anuncio actualizado el 04/02/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),160 m²,148 m²,3,2,,4992337-1685,1,Parquet,,,Gas natural,N/A,,N/A,,,N/A,,,,Privado,,Más de 50 años,N/A,,Reformado,,,,Aluminio,N/A,,,1,,,,,,,,,,,
Ático en Llatí-Riera Alta-Cementiri Vell,YOUR HOME IN BARCELONA REAL ESTATE,2.272 €/m²,165.900 €,73 m²,https://www.pisos.com/comprar/atico-llati_riera_alta_cementiri_vell08921-47558945872_520565/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),73 m²,70 m²,2,1,,520565-YHSA-00038,,Gres,,,Gas natural,N/A,,,,,N/A,,,,,3ª,,N/A,,En buen estado,,N/A,,Aluminio,N/A,,,,,N/A,,,,,,,,,
Piso en Carrer de Prat de la Riba,YOUR HOME IN BARCELONA REAL ESTATE,4.246 €/m²,310.000 €,73 m²,https://www.pisos.com/comprar/piso-centre_can_mariner08921-50893029600_520565/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),73 m²,65 m²,2,2,N/A,520565-YHSA-00046,,,,Aerotermia,Aerotermia,N/A,,,N/A,,N/A,,,,,Bajo,,N/A,,A estrenar,,,,,N/A,,,,,,,,,,Comunitaria,,,,
Piso en Avinguda de l'Anselm de Riu,Sweet Home BCN,2.803 €/m²,185.000 €,66 m²,https://www.pisos.com/comprar/piso-singuerlin_les_oliveres_can_franquesa_guinardera08-51709572996_100500/,Anuncio actualizado el 11/02/2025,"E, E","E, E",santa_coloma_de_gramenet (BCN),66 m²,65 m²,3,1,N/A,SA5839-5075,,,,N/A,,,N/A,,,,,,,,,2ª,Más de 50 años,,,En buen estado,,,,,,,,,,,,,,,,,,,
Piso en Passatge d'en Parcerisas,SAI ASSESSORAMENT IMMOBILIARI,2.169 €/m²,128.000 €,59 m²,https://www.pisos.com/comprar/piso-raval_santa_rosa_safaretjos08923-51723813922_518727/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),59 m²,48 m²,3,1,,4518727-020372,,Gres,,,,,,,,,,,,,,2ª,Más de 50 años,,,En buen estado,,,,Aluminio,,,,,N/A,,,,,,,,,,
Casa adosada en Carrer de Wilson,L´AGENCIA GESTIO IMMOBILIARIA,2.288 €/m²,540.000 €,236 m²,https://www.pisos.com/comprar/casa_adosada-llati_riera_alta_cementiri_vell-38344018012_992337/,Anuncio actualizado el 04/02/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),236 m²,226 m²,5,4,,4992337-1650,,Mármol,N/A,Frío,Gas natural,Tipo office,,N/A,,,N/A,,,,,,Entre 10 y 20 años,,,En buen estado,,,N/A,Aluminio,Independiente,,,1,,,,,,,Propia,Adosada,N/A,N/A,N/A
Piso en Carrer de Prat de la Riba,YOUR HOME IN BARCELONA REAL ESTATE,5.000 €/m²,430.000 €,86 m²,https://www.pisos.com/comprar/piso-centre_can_mariner08921-50865938629_520565/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),86 m²,71 m²,3,2,N/A,520565-YHSA-00047,,,,Aerotermia,Aerotermia,N/A,,,N/A,,N/A,,,,,Bajo,,,,A estrenar,,,,,N/A,,,,,,,,,,Comunitaria,,,,
Piso en Carrer de Prat de la Riba,YOUR HOME IN BARCELONA REAL ESTATE,Error al procesar precio m²,A consultar,80 m²,https://www.pisos.com/comprar/piso-centre_can_mariner08921-50890300251_520565/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),80 m²,,,,,520565-YHSA-00045,,,,,Aerotermia,,,,N/A,,N/A,,,,N/A,Principal,Menos de 5 años,,,A estrenar,,,,,,,,,,,,,,,Comunitaria,,,,
Piso en Carrer de Roma,BC INMO,2.483 €/m²,149.000 €,60 m²,https://www.pisos.com/comprar/piso-llati_riera_alta_cementiri_vell08921-50862340423_100500/,Anuncio actualizado el 13/02/2025,"G, G","G, G",santa_coloma_de_gramenet (BCN),60 m²,57 m²,2,1,,SA5243-SAN004/11245,,Gres,,N/A,N/A,,N/A,,,,,Sureste,,,,2ª,Más de 50 años,,,,Entre 20 y 40 €,,,,N/A,,,,,,,,N/A,N/A,,,,,
