nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Exterior,Referencia,Armarios empotrados,Tipo suelo,Vidrios dobles,Aire acondicionado,Calefacción,Cocina equipada,Trastero,Puerta blindada,Ascensor,Adaptado a personas con movilidad reducida,Terraza,Orientación,Interior,Chimenea,Jardín,Planta,Antigüedad,Lavadero,Sistema de seguridad,Conservación,Gastos de comunidad,Amueblado,Carpintería interior,Carpintería exterior,Comedor,Portero automático,Superficie solar,Garaje,Balcón,Soleado,Se aceptan mascotas,Gas,Teléfono,Agua,Piscina,Tipo de casa,Urbanizado,Calle alumbrada,Calle asfaltada
Piso en Carrer de Torras i Bages,Aliseda Inmobiliaria,1.951 €/m²,121.000 €,62 m²,https://www.pisos.com/comprar/piso-raval_santa_rosa_safaretjos08923-41738333452_105900/,Anuncio actualizado el 24/10/2024,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),62 m²,,2,1,,AN1-ANT00030672633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Santa Rosa,GROCASA,1.847 €/m²,219.900 €,119 m²,https://www.pisos.com/comprar/piso-raval_santa_rosa_safaretjos08923-50870565669_109300/,Anuncio actualizado el 17/01/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),119 m²,90 m²,3,1,,EP743-1193615,,Parquet,,N/A,Individual,Office,,N/A,,,,N/A,,,,1ª,Más de 50 años,N/A,,,,,,Aluminio,,,,,N/A,,,,,,,,,,
Piso en Passeig d'en Llorenç Serra,Aliseda Inmobiliaria,2.935 €/m²,273.000 €,93 m²,https://www.pisos.com/comprar/piso-riu_nord_riu_sud08921-48382179565_105900/,Anuncio actualizado el 19/12/2024,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),93 m²,,3,1,,AN1-ANT00030672856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Santa Coloma de Gramanet,LA CASA AGENCY ECV,3.600 €/m²,374.500 €,104 m²,https://www.pisos.com/comprar/piso-riu_nord_riu_sud08922-48360399212_103700/,Anuncio actualizado el 17/02/2025,"G, G","G, G",santa_coloma_de_gramenet (BCN),104 m²,87 m²,1,1,N/A,BLU3-LCB31609,,,,,N/A,,N/A,,N/A,,N/A,,,,,,Menos de 5 años,,,Reformado,,,,,,,,N/A,,,,,,,,,,,
Piso en Fondo,HOGAREA,2.613 €/m²,169.900 €,65 m²,https://www.pisos.com/comprar/piso-santa_coloma_de_gramenet_fondo08922-51757224651_108900/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),65 m²,58 m²,3,1,,XA484-10001,,,,,,,,,N/A,,N/A,,,,,1ª,,,,,,,,,,,,,,,,,,N/A,,,,,
Piso en Carrer d'en Baró,Aliseda Inmobiliaria,2.000 €/m²,154.000 €,77 m²,https://www.pisos.com/comprar/piso-riu_nord_riu_sud08921-41674103052_105900/,Anuncio actualizado el 19/12/2024,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),77 m²,,1,1,,AN1-ANT00030672697,,,,,N/A,,,,,,N/A,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,
Piso en Fondo,JS INMOBILIARIA.,928 €/m²,39.000 €,42 m²,https://www.pisos.com/comprar/piso-santa_coloma_de_gramenet_fondo08923-51714217857_101800/,Anuncio actualizado el 14/02/2025,"G, G","G, G",santa_coloma_de_gramenet (BCN),42 m²,,2,1,,IF77150-39k,,,,,,,,,,,,,,,,,Entre 30 y 50 años,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer del Bruc,Aliseda Inmobiliaria,1.911 €/m²,130.000 €,68 m²,https://www.pisos.com/comprar/piso-santa_coloma_de_gramenet_fondo08923-41762032484_105900/,Anuncio actualizado el 19/12/2024,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),68 m²,,3,1,,AN1-ANT00030672792,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,
Piso en Carrer de la Cultura,LA CASA AGENCY CASTELLDEFELS,2.418 €/m²,295.000 €,122 m²,https://www.pisos.com/comprar/piso-riu_nord_riu_sud08922-47577345449_103700/,Anuncio actualizado el 19/02/2025,"G, G","G, G",santa_coloma_de_gramenet (BCN),122 m²,,3,2,N/A,BLU1-LCB32338,,,,,N/A,,,,N/A,,,,,,,,Entre 20 y 30 años,,,En buen estado,,,,,,,,,N/A,,,,,,,,,,
Piso en Carrer de Santiago Rusiñol,Aliseda Inmobiliaria,2.304 €/m²,147.500 €,64 m²,https://www.pisos.com/comprar/piso-singuerlin_les_oliveres_can_franquesa_guinardera08-41704489938_105900/,Anuncio actualizado el 24/10/2024,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),64 m²,,3,1,,AN1-ANT00030672708,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en calle Ps Salzereda,ONREALE REAL ESTATE SERVICES,3.239 €/m²,230.000 €,71 m²,https://www.pisos.com/comprar/piso-riu_nord_riu_sud08922-45009224282_109300/,Anuncio actualizado el 17/01/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),71 m²,64 m²,3,1,,EP839-PB-ON240764,,,,,,N/A,,,N/A,,,,,,,2ª,Más de 50 años,,,En buen estado,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Verdi,INMOIBERIA,1.923 €/m²,175.000 €,91 m²,https://www.pisos.com/comprar/piso-santa_coloma_de_gramenet_fondo08922-49231844993_527269/,Anuncio actualizado el 06/02/2025,"G, F","G, F",santa_coloma_de_gramenet (BCN),91 m²,72 m²,4,1,N/A,527269-9001-1-9099,,,,,,N/A,,,,,N/A,,,,,4ª,Más de 50 años,,,En buen estado,,,,,,,,,,,,,,,,,,,
Piso en Santa Coloma de Gramenet,LA CASA AGENCY ECV,4.772 €/m²,429.500 €,90 m²,https://www.pisos.com/comprar/piso-singuerlin_les_oliveres_can_franquesa_guinardera08-50016219803_103700/,Anuncio actualizado el 19/02/2025,"E, F","E, F",santa_coloma_de_gramenet (BCN),90 m²,,4,2,N/A,BLU3-LCB33993,,,,,N/A,,,,,,N/A,,,,,,Entre 30 y 50 años,,,En buen estado,,,,,,,,N/A,,,,,,,,,,,
Piso en Carrer de Milà i Fontanals,Aliseda Inmobiliaria,1.297 €/m²,109.000 €,84 m²,https://www.pisos.com/comprar/piso-santa_coloma_de_gramenet_fondo08922-41733903274_105900/,Anuncio actualizado el 24/10/2024,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),84 m²,,3,1,,AN1-ANT00030648468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Riu,GROCASA,2.932 €/m²,349.000 €,119 m²,https://www.pisos.com/comprar/piso-centre_can_mariner08921-49202101814_109300/,Anuncio actualizado el 29/01/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),119 m²,109 m²,4,2,,EP743-1485917,,Terrazo,,N/A,Individual,Americana,,,N/A,,,N,,,,3ª,Entre 30 y 50 años,,,,130,,,Aluminio,,,,,N/A,,,,,,,,,,
Casa en Carrer de Sants,FINCAS INTER-HOGAR Barcelona,2.619 €/m²,330.000 €,126 m²,https://www.pisos.com/comprar/casa-singuerlin_les_oliveres_can_franquesa_guinardera08-50873779430_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),126 m²,80 m²,4,1,,SA5805-sSants05/12415,1,Gres,,,Eléctrica,,N/A,,,,N/A,,,N/A,N/A,,Más de 50 años,,,,,N/A,,,,,,,,,,,,,,,,,
Casa en Carrer de Sants,VICTORIA DIEGO AGENTE INMOBILARIO,Error al procesar precio m²,A consultar,285 m²,https://www.pisos.com/comprar/casa-singuerlin_les_oliveres_can_franquesa_guinardera08-51675130858_529351/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),285 m²,248 m²,4,6,,529351-000018,Más de 2,Parquet,Blindados,Frío y calor,Gas natural,Con mas de 20 m²,,Con medidas de seguridad,,,180,Noreste,,,Privado,,Entre 20 y 30 años,N/A,N/A,A estrenar,,,Roble,Aluminio,Alumbrado con salida a terraza,,,Más de 2,,,N/A,Natural,N/A,,,,,,Parket
Piso en Santa Coloma de Gramanet,LA CASA AGENCY ECV,4.577 €/m²,444.000 €,97 m²,https://www.pisos.com/comprar/piso-riu_nord_riu_sud08922-48407234618_103700/,Anuncio actualizado el 19/02/2025,"G, G","G, G",santa_coloma_de_gramenet (BCN),97 m²,82 m²,3,2,N/A,BLU3-LCB31599,,,,,N/A,,N/A,,N/A,,N/A,,,,,,Menos de 5 años,,,Reformado,,,,,,,,N/A,N/A,,,,,,,,,,
Dúplex en Carrer de Singuerlín,Hi Homie,1.571 €/m²,297.000 €,189 m²,https://www.pisos.com/comprar/duplex-singuerlin_les_oliveres_can_franquesa_guinardera08-23337035759_100500/,Anuncio actualizado el 16/10/2024,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),189 m²,170 m²,3,2,N/A,SA3398-Duplexsinguerllin2,,Parquet,,Frío,Central,Cocina amueblada,,,,,N/A,,,,,1ª,Entre 20 y 30 años,,,En buen estado,Entre 20 y 40 €,,,,,,,,N/A,N/A,,,,,,,,,
Casa adosada en Carrer de Gènova,FINQUES ENRIC,2.099 €/m²,380.000 €,181 m²,https://www.pisos.com/comprar/casa_adosada-llati_riera_alta_cementiri_vell08921-50881030176_100500/,Anuncio actualizado el 04/02/2025,"E, D","E, D",santa_coloma_de_gramenet (BCN),181 m²,180 m²,4,3,,SA5788-6130,1,,,N/A,,,,,,,N/A,Sur,,,N/A,,Entre 30 y 50 años,,,En buen estado,,,,,,,,1,,,,,,,,Adosada,,,
Piso en Santa Coloma de Gramenet,LA CASA AGENCY CASTELLDEFELS,2.813 €/m²,230.700 €,82 m²,https://www.pisos.com/comprar/piso-riu_nord_riu_sud08922-51681396582_103700/,Anuncio actualizado el 19/02/2025,"G, G","G, G",santa_coloma_de_gramenet (BCN),82 m²,,3,1,N/A,BLU1-LCB35123,,,,,,,,,N/A,,,,,,,,Más de 50 años,,,En buen estado,,,,,,,,,N/A,,,,,,,,,,
Casa en Singuerlin,FINCAS INTER-HOGAR Barcelona,1.754 €/m²,500.000 €,285 m²,https://www.pisos.com/comprar/casa-singuerlin_les_oliveres_can_franquesa_guinardera-50848428030_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),285 m²,182 m²,5,3,,SA5805-sSants07/12415,,,,N/A,,,N/A,N/A,,,N/A,,,N/A,N/A,,Entre 20 y 30 años,,,,,,,,,,,,,,,,,,,,N/A,,
Piso en Avenida Pau Piferrer,Aliseda Inmobiliaria,836 €/m²,73.600 €,88 m²,https://www.pisos.com/comprar/piso-santa_coloma_de_gramenet_fondo08923-41760570186_105900/,Anuncio actualizado el 19/12/2024,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),88 m²,,3,1,,AN1-ANT00030678611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Avinguda de la Generalitat,LA CASA AGENCY CASTELLDEFELS,2.134 €/m²,190.000 €,89 m²,https://www.pisos.com/comprar/piso-raval_santa_rosa_safaretjos08923-51747178677_103700/,Anuncio actualizado el 19/02/2025,"C, C","C, C",santa_coloma_de_gramenet (BCN),89 m²,79 m²,3,1,N/A,BLU1-LCB35145,,,,,,,,,N/A,,,,,,,,Entre 30 y 50 años,,,En buen estado,,,,,,,,,,,N/A,,,,,,,,
Piso en Carrer de Beethoven,Aliseda Inmobiliaria,2.281 €/m²,141.450 €,62 m²,https://www.pisos.com/comprar/piso-llati_riera_alta_cementiri_vell08921-48416679332_107000/,Anuncio actualizado el 05/02/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),62 m²,,3,1,,AS1-52716385,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Raval-Santa Rosa-Safaretjos,LA CASA AGENCY DEUSTO,2.180 €/m²,102.500 €,47 m²,https://www.pisos.com/comprar/piso-raval_santa_rosa_safaretjos08923-49244420505_101800/,Anuncio actualizado el 21/01/2025,"G, G","G, G",santa_coloma_de_gramenet (BCN),47 m²,,2,1,,IF77097-LCB33558,,,,,,,,,,,,,,,,2ª,Más de 50 años,,,,,,,,,,,,,,,,,,,,,,
Piso en El Raval,GROCASA,2.230 €/m²,198.500 €,89 m²,https://www.pisos.com/comprar/piso-riu_nord_riu_sud08922-47540994331_109300/,Anuncio actualizado el 23/12/2024,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),89 m²,70 m²,3,1,,EP743-1662695,,Parquet,,,Individual,Office,,,N/A,,,N,,,,1ª,Entre 30 y 50 años,N/A,,,,,,Aluminio,,,,,,,,,,,,,,,
Piso en Centro,GROCASA,4.102 €/m²,279.000 €,68 m²,https://www.pisos.com/comprar/piso-centre_can_mariner08922-49233200407_109300/,Anuncio actualizado el 23/12/2024,"G, F","G, F",santa_coloma_de_gramenet (BCN),68 m²,58 m²,2,1,,EP743-1190274,,Cerámico,,N/A,Individual,Office,N/A,N/A,N/A,,18,No,,,,5ª,Entre 30 y 50 años,N/A,,,,,,Otro,,,,,,,,,,,,,,,
Ático en Avinguda de la Generalitat,LA CASA AGENCY CASTELLDEFELS,4.818 €/m²,279.500 €,58 m²,https://www.pisos.com/comprar/atico-centre_can_mariner08922-48408220287_103700/,Anuncio actualizado el 19/02/2025,"G, F","G, F",santa_coloma_de_gramenet (BCN),58 m²,,2,1,N/A,BLU1-LCB32928,,,,,N/A,,,,N/A,,N/A,,,,,,Entre 30 y 50 años,,,En buen estado,,,,,,,,,,,,,,,,,,,
Chalet en Carrer de Mozart,Flamat Sant Andreu,2.500 €/m²,310.000 €,124 m²,https://www.pisos.com/comprar/chalet-santa_coloma_de_gramenet_fondo08917-50906375606_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),124 m²,,4,2,,SA5615-EN - SANTA COLOMA MBM,1,,,,,,,,,,N/A,,,,,,Entre 30 y 50 años,,,En buen estado,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Milà i Fontanals,Aliseda Inmobiliaria,1.933 €/m²,116.000 €,60 m²,https://www.pisos.com/comprar/piso-santa_coloma_de_gramenet_fondo08922-41697758727_105900/,Anuncio actualizado el 24/10/2024,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),60 m²,,3,1,,AN1-ANT00030651194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Casa en Carrer d'Isaac Albéniz, 18",INMOTARGET,2.284 €/m²,450.000 €,197 m²,https://www.pisos.com/comprar/casa-singuerlin_les_oliveres_can_franquesa_guinardera08-28365438478_108900/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),197 m²,165 m²,5,3,,XA757-ON-AVK01,,,,,,Americana,N/A,,,,,,,,,,Menos de 5 años,,,A estrenar,,,,,,,,N/A,,,,,,,,,,,
Piso en Singuerlín,LA CASA AGENCY ECV,3.333 €/m²,1.550.000 €,465 m²,https://www.pisos.com/comprar/piso-singuerlin_les_oliveres_can_franquesa_guinardera08-48344058870_103700/,Anuncio actualizado el 18/02/2025,"G, G","G, G",santa_coloma_de_gramenet (BCN),465 m²,,26,16,N/A,BLU3-LCB23730,,,,,,,,,,,N/A,,,,,,Más de 50 años,,,En buen estado,,,,,,,,,N/A,,,,,,,,,,
Piso en Carrer de Beethoven,Aliseda Inmobiliaria,1.602 €/m²,125.000 €,78 m²,https://www.pisos.com/comprar/piso-santa_coloma_de_gramenet_fondo08922-41709398028_105900/,Anuncio actualizado el 24/10/2024,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),78 m²,,3,1,,AN1-ANT00030672872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Sant Joaquim,Aliseda Inmobiliaria,2.327 €/m²,142.000 €,61 m²,https://www.pisos.com/comprar/piso-riu_nord_riu_sud08922-41683639077_105900/,Anuncio actualizado el 24/10/2024,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),61 m²,,1,1,,AN1-ANT00030672912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ático en Carrer del Doctor Pagès,LA CASA AGENCY CASTELLDEFELS,2.495 €/m²,179.700 €,72 m²,https://www.pisos.com/comprar/atico-centre_can_mariner08921-49195231694_103700/,Anuncio actualizado el 19/02/2025,"G, F","G, F",santa_coloma_de_gramenet (BCN),72 m²,,4,1,N/A,BLU1-LCB33441,,,,,N/A,,,,,,,,,,,,Más de 50 años,,,En buen estado,,,,,,,,,N/A,,,,,,,,,,
Piso en Carrer de Dalt de la Ciutadella,HIPOGES IBERIA,664 €/m²,242.000 €,364 m²,https://www.pisos.com/comprar/piso-centre_can_mariner08921-43405524992_100700/,Anuncio actualizado el 09/01/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),364 m²,,,,,SBRE-0134191,,,,,,,,,,,,,,,,,Más de 50 años,,,,,,,,,,,,,,,,,,,,,,
Piso en calle Dr. Torras I Bages,LA CASA AGENCY CASTELLDEFELS,2.842 €/m²,162.000 €,57 m²,https://www.pisos.com/comprar/piso-raval_santa_rosa_safaretjos08923-49256431725_103700/,Anuncio actualizado el 19/02/2025,"G, G","G, G",santa_coloma_de_gramenet (BCN),57 m²,,2,1,,BLU1-LCB33753,,,,,N/A,,,,,,N/A,,,,,,Más de 50 años,,,En buen estado,,,,,,,,,,,,,,,,,,,
Piso en Carrer dels Sagarra,LA CASA AGENCY CASTELLDEFELS,2.676 €/m²,265.000 €,99 m²,https://www.pisos.com/comprar/piso-centre_can_mariner08921-50833770069_103700/,Anuncio actualizado el 19/02/2025,"G, G","G, G",santa_coloma_de_gramenet (BCN),99 m²,,3,1,,BLU1-LCB34399,,,,,N/A,,,,,,N/A,,,,,,Más de 50 años,,,Reformado,,,,,,,,,,,,,,,,,,,
Piso en Carrer dels Pirineus,VIVANTIAL,1.197 €/m²,85.000 €,71 m²,https://www.pisos.com/comprar/piso-raval_santa_rosa_safaretjos08923-50874671177_109300/,Anuncio actualizado el 28/01/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),71 m²,66 m²,,,,EP618-15024-2025,,,,,,,,,,,,,,,,3ª,,,,,,,,,,N/A,,,,,,,,,,,,,
Ático en Carrer de Milà i Fontanals,CICLOACTIVOS S.L.,1.981 €/m²,105.000 €,53 m²,https://www.pisos.com/comprar/atico-centre_can_mariner-7579365394_991803/,Anuncio actualizado el 08/02/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),53 m²,37 m²,2,1,,4991803-32235,,,,,,,,,,,N/A,,,,,3ª,Entre 30 y 50 años,,,A reformar,,,,,,,,,,,,,,,,,,,
Dúplex en Zona Centro,GROCASA,2.513 €/m²,289.000 €,115 m²,https://www.pisos.com/comprar/duplex-centre_can_mariner08922-38363958394_109300/,Anuncio actualizado el 20/01/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),115 m²,96 m²,2,2,,EP743-1558635,,Mármol,,N/A,Individual,Office,,N/A,N/A,,9.17,O,,,,2ª,Entre 10 y 20 años,N/A,,,,N/A,,Aluminio,,N/A,,,N/A,,,,,,,,,,
Piso en Carrer de Torras i Bages,VIVANTIAL,847 €/m²,50.000 €,59 m²,https://www.pisos.com/comprar/piso-raval_santa_rosa_safaretjos08923-38342524678_109300/,Anuncio actualizado el 28/01/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),59 m²,59 m²,,,,EP618-10594-2045,,,,,,,,,,,,,,,,Bajo,,,,,,,,,,N/A,,,,,,,,,,,,,
Piso en Avinguda dels Banús,Aliseda Inmobiliaria,1.763 €/m²,127.000 €,72 m²,https://www.pisos.com/comprar/piso-raval_santa_rosa_safaretjos08923-41713858566_105900/,Anuncio actualizado el 24/10/2024,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),72 m²,,3,1,,AN1-ANT00030648830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Santa Coloma de Gramenet,LA CASA AGENCY CASTELLDEFELS,2.251 €/m²,299.500 €,133 m²,https://www.pisos.com/comprar/piso-riu_nord_riu_sud08922-51741264900_103700/,Anuncio actualizado el 19/02/2025,"G, G","G, G",santa_coloma_de_gramenet (BCN),133 m²,,3,1,,BLU1-LCB35044,,,,,,,,,,,N/A,,,,,,Más de 50 años,,,A reformar,,,,,,,,N/A,,,,,,,,,,,
Piso en Santa Coloma de Gramenet,LA CASA AGENCY CASTELLDEFELS,2.495 €/m²,259.500 €,104 m²,https://www.pisos.com/comprar/piso-llati_riera_alta_cementiri_vell08921-50041239639_103700/,Anuncio actualizado el 19/02/2025,"G, G","G, G",santa_coloma_de_gramenet (BCN),104 m²,,4,1,,BLU1-LCB33785,,,,,,,,,,,,,,,,,Más de 50 años,,,A reformar,,,,,,,,,N/A,,,,,,,,,,
Casa en Riera Alta-Llati,GROCASA,1.864 €/m²,509.000 €,273 m²,https://www.pisos.com/comprar/casa-llati_riera_alta_cementiri_vell08921-47535767220_109300/,Anuncio actualizado el 23/12/2024,"E, E","E, E",santa_coloma_de_gramenet (BCN),273 m²,111 m²,3,1,,EP743-1619471,,Parquet,,N/A,Individual,Americana,N/A,N/A,,,60,N/A,,,,,Entre 5 y 10 años,N/A,,,,N/A,,Aluminio,,,,Privado,,,,,,,,,,,
Piso en Raval-Santa Rosa-Safaretjos,Hounting,2.935 €/m²,182.000 €,62 m²,https://www.pisos.com/comprar/piso-raval_santa_rosa_safaretjos08923-51683924631_100500/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),62 m²,,3,1,N/A,SA5364-2001/20010024/4,,Gres,,,,,,,N/A,,,,,,,Bajo,,,,En buen estado,,,,,,,,,,,,,,N/A,,,,,
Piso en Carrer del Rellotge,HIPOGES IBERIA,2.300 €/m²,57.500 €,25 m²,https://www.pisos.com/comprar/piso-santa_coloma_de_gramenet_fondo08923-48392259324_100700/,Anuncio actualizado el 19/12/2024,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),25 m²,,,,,AURE-20459,,,,,,,,,,,,,,,,,Más de 50 años,,,,,,,,,,,,,,,,,,,,,,
Piso en Riu Nord,GROCASA,2.660 €/m²,290.000 €,109 m²,https://www.pisos.com/comprar/piso-riu_nord_riu_sud08921-48387701935_109300/,Anuncio actualizado el 23/12/2024,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),109 m²,108 m²,3,1,,EP743-1484990,,Hidráulico,,,,Office,,,N/A,,,Se,,,,2ª,Entre 30 y 50 años,,,,,,,Aluminio,,N/A,,,N/A,,,,,,,,,,
Piso en Santa Coloma de Gramenet,BEST HOUSE BARCELONA SANTS,2.003 €/m²,108.200 €,54 m²,https://www.pisos.com/comprar/piso-raval_santa_rosa_safaretjos08923-5025585010_100500/,Anuncio actualizado el 18/01/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),54 m²,54 m²,2,1,,SA431-615848/5661,,,,,,,,,,,,,,,,Bajo,Más de 50 años,,,,,,,,N/A,,,,,,,,,,,,,,
Piso en Carrer de Roma,Aliseda Inmobiliaria,1.675 €/m²,159.200 €,95 m²,https://www.pisos.com/comprar/piso-llati_riera_alta_cementiri_vell08921-41673794139_105900/,Anuncio actualizado el 24/10/2024,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),95 m²,,3,1,,AN1-ANT00030664440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Avinguda de Ramon Berenguer IV,LA CASA AGENCY CASTELLDEFELS,4.772 €/m²,429.500 €,90 m²,https://www.pisos.com/comprar/piso-singuerlin_les_oliveres_can_franquesa_guinardera08-50099527651_103700/,Anuncio actualizado el 19/02/2025,"E, F","E, F",santa_coloma_de_gramenet (BCN),90 m²,,4,2,N/A,BLU1-LCB33993,,,,,N/A,,,,,,N/A,,,,,,Entre 30 y 50 años,,,En buen estado,,,,,,,,N/A,,,,,,,,,,,
Casa adosada en Centre-Can Mariner,B.C. GESTIONS,4.203 €/m²,269.000 €,64 m²,https://www.pisos.com/comprar/casa_adosada-centre_can_mariner08921-50048270503_106700/,Anuncio actualizado el 20/12/2024,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),64 m²,54 m²,3,1,,IFC76360-SBRE-0134191,,,,,,,,,,,,,,,,,Más de 50 años,,,,,,,,,,,,,,,,,,,Adosada,,,
Piso en Carrer de Mossèn Jacint Verdaguer,VIVANTIAL,1.835 €/m²,145.000 €,79 m²,https://www.pisos.com/comprar/piso-raval_santa_rosa_safaretjos08923-51766383726_109300/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),79 m²,68 m²,,,,EP618-14070-2025,,,,,,,,,N/A,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,
Casa en Carrer d'Isaac Albéniz,INMOTARGET,2.284 €/m²,450.000 €,197 m²,https://www.pisos.com/comprar/casa-singuerlin_les_oliveres_can_franquesa_guinardera08-45859316279_108900/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),197 m²,165 m²,5,3,,XA757-cit6166,,,,,,Americana,N/A,,,,,,,,,,Menos de 5 años,,,A estrenar,,,,,,,,N/A,,,,,,,,,,,
Piso en Santa Coloma de Gramenet,LA CASA AGENCY CASTELLDEFELS,2.771 €/m²,255.000 €,92 m²,https://www.pisos.com/comprar/piso-centre_can_mariner08921-51692379910_103700/,Anuncio actualizado el 19/02/2025,"G, G","G, G",santa_coloma_de_gramenet (BCN),92 m²,,2,1,N/A,BLU1-LCB35140,,,,,,,,,N/A,,,,,,,,Entre 30 y 50 años,,,Reformado,,,,,,,,,N/A,,,,,,,,,,
Piso en calle calle Mozart 80 Ático 3,HIPOGES IBERIA,1.672 €/m²,97.000 €,58 m²,https://www.pisos.com/comprar/piso-santa_coloma_de_gramenet_fondo08917-50022394411_100700/,Anuncio actualizado el 13/12/2024,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),58 m²,58 m²,,,,FRRE-00397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Milà i Fontanals,VIVANTIAL,943 €/m²,67.000 €,71 m²,https://www.pisos.com/comprar/piso-raval_santa_rosa_safaretjos08923-45898370162_109300/,Anuncio actualizado el 30/01/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),71 m²,66 m²,,,,EP618-13846-2025,,,,,,,,,,,,,,,,2ª,,,,,,,,,,N/A,,,,,,,,,,,,,
