nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Superficie solar,Habitaciones,Baños,Antigüedad,Conservación,Referencia,Tipo suelo,Aire acondicionado,Cocina equipada,Lavadero,Trastero,Terraza,Jardín,Planta,Exterior,Calefacción,Ascensor,Adaptado a personas con movilidad reducida,Balcón,Soleado,Armarios empotrados,Chimenea,Garaje,Piscina,Orientación,Gastos de comunidad,Puerta blindada,Tipo de casa,Carpintería exterior,Vidrios dobles,Sistema de seguridad,Agua,Teléfono,Luz,Gas,Urbanizado,Calle alumbrada,Calle asfaltada,Carpintería interior,Comedor,Portero automático,Interior,Amueblado,Se aceptan mascotas,No se aceptan mascotas
Piso en Carrer de Josep Umbert,Àtic La Roca,2.285 €/m²,240.000 €,105 m²,https://www.pisos.com/comprar/piso-granollers_centre08402-50020913048_330000/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),105 m²,90 m²,,4,2,Entre 30 y 50 años,En buen estado,3300-00907,Terrazo,Frío y calor,Office,N/A,,N/A,,7ª,N/A,Gas natural,N/A,N/A,N/A,N/A,1,Tipo estufa,2,,Oeste,Entre 40 y 60 €,,,Aluminio,N/A,Cámaras,,,,N/A,,,,Madera noble,20m²,N/A,,,N/A,
Casa en Centro,FINQUES TERRANOVA,3.808 €/m²,598.000 €,157 m²,https://www.pisos.com/comprar/casa-ametlla_del_valles_centro_urbano-48353376816_108900/,Anuncio actualizado el 19/02/2025,"A, A","A, A",valles_oriental (BCN),157 m²,,515 m²,4,3,Menos de 5 años,,XA875-AM0565,,,N/A,,,,N/A,,,Aerothermia,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,
Piso en Carrer del Molí,FINCAS LEON MONTMELO,3.004 €/m²,309.500 €,103 m²,https://www.pisos.com/comprar/piso-montornes_del_valles_centro_urbano-50872086267_100500/,Anuncio actualizado el 20/02/2025,"G, G","G, G",valles_oriental (BCN),103 m²,85 m²,,4,2,Entre 20 y 30 años,En buen estado,SA1545-EV11382,Gres,Frío,Cocina amueblada,N/A,N/A,N/A,,1ª,N/A,Central,N/A,,N/A,N/A,1,,1,,Suroeste,Entre 80 y 100 €,,,,,,,,,,,,,,,,,,,
Piso en Bellavista,"Inmolledoner, s.l",2.133 €/m²,160.000 €,75 m²,https://www.pisos.com/comprar/piso-les_franqueses_del_valles_bellavista-50870475348_528050/,Anuncio actualizado el 19/02/2025,"E, E","E, E",valles_oriental (BCN),75 m²,72 m²,,3,1,Entre 30 y 50 años,En buen estado,4528050-GRN-BLLVST,Gres,,Office,N/A,,,,2ª,N/A,Gas natural,,,N/A,,,,,,Oeste,,,,Aluminio,,,,,,,,,,,N/A,,,,,
"Casa adosada en Carrer del Mig, 4",ISGRUP,Error al procesar precio m²,379.900 €,4,https://www.pisos.com/comprar/casa_adosada-santa_eulalia_de_roncana_centro_urbano-5142737593_109700/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),,,,4,3,,A estrenar,4516039-21689191,,Frío y calor,N/A,,,N/A,,,,Gas natural,,,,,,,N/A,,,,N/A,Adosada,,,,,,,,,,,,,,,,,
"Casa en Carrer de Sant Josep, 14",INMOFINKAS VALLÈS,1.477 €/m²,399.000 €,270 m²,https://www.pisos.com/comprar/casa-llica_de_vall_centro_urbano-37506025752_523917/,Anuncio actualizado el 06/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),270 m²,180 m²,956 m²,3,1,Entre 30 y 50 años,En buen estado,4523917-OF-182-CASA CAN PRAT LLIÇA DE VALL,Gres,Frío y calor,Equipada,Si y trastero tambien,,N/A,Privado,,,Gasoil,,,,,,,Más de 2,Propia,Sureste,,N/A,,Aluminio,N/A,,,Fibra optica,,,N/A,N/A,N/A,Roble claro,En forma de l con grandes ventanales,,,,,
Casa en calle Serra de Ponent,ASSESSORIA COLL GESTORIA S.L.,744 €/m²,399.000 €,536 m²,https://www.pisos.com/comprar/casa-granollers_centre-45901640611_993748/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),536 m²,276 m²,4.250 m²,6,2,Más de 50 años,En buen estado,4993748-13289265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,
Casa en Sant Feliu de Codines,INMOBILIARIA ARGEMI,1.359 €/m²,598.000 €,440 m²,https://www.pisos.com/comprar/casa-sant_feliu_de_codines_centro_urbano-45045701004_516203/,Anuncio actualizado el 20/02/2025,"E, F","E, F",valles_oriental (BCN),440 m²,440 m²,866 m²,4,3,Entre 10 y 20 años,En buen estado,516203-60011373,Gres,,N/A,,,N/A,Privado,,,Gasoil,,,,,,N/A,2,Propia,Sur,,,,Aluminio,,,,,,,N/A,N/A,N/A,,N/A,,,,N/A,
Casa en Urbanització de Can Volart,HABITACLIS,1.191 €/m²,399.000 €,335 m²,https://www.pisos.com/comprar/casa-canoves-45847768876_100500/,Anuncio actualizado el 20/02/2025,"E, E","E, E",valles_oriental (BCN),335 m²,255 m²,566 m²,4,3,Entre 30 y 50 años,,SA2390-274/7966,,,,,N/A,N/A,N/A,,,N/A,,,,,,,1,N/A,Este,,,,,,,N/A,N/A,,,N/A,,,,N/A,,,N/A,,
Casa en Carrer de Sant Antoni,HABITACLIS,1.088 €/m²,395.000 €,363 m²,https://www.pisos.com/comprar/casa-sant_celoni_centro_urbano-50853451163_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),363 m²,305 m²,149 m²,7,3,Más de 50 años,,SA2390-299/7966,Parquet,N/A,,,,N/A,N/A,,,Gas natural,,,,,,N/A,1,,Este,,,,,,,N/A,N/A,,,,,,,,,,,,
Piso en Corró d'Avall,Engel & Völkers MMC Barcelona,2.980 €/m²,232.500 €,78 m²,https://www.pisos.com/comprar/piso-corro_avall-4923132870_109700/,Anuncio actualizado el 27/12/2024,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),78 m²,,,3,2,,A estrenar,IF76306-D-000MBH,,Frío y calor,,,,,,,,,,N/A,N/A,,,,N/A,,A la montaña,,,,Aluminio,N/A,,,,,,,,,,,,,,,
Casa en Carrer de Josep Anselm Clavé,HABITACLIS,1.560 €/m²,298.000 €,191 m²,https://www.pisos.com/comprar/casa-canoves-43429777783_100500/,Anuncio actualizado el 20/02/2025,"E, E","E, E",valles_oriental (BCN),191 m²,121 m²,1.127 m²,3,2,Entre 20 y 30 años,,SA2390-251/7966,,,,,N/A,N/A,N/A,,,N/A,,,,,,N/A,1,,Sur,,N/A,,,,,N/A,N/A,,,N/A,,,,,,,,,
Casa en Carrer del Parlament,HABITACLIS,3.155 €/m²,325.000 €,103 m²,https://www.pisos.com/comprar/casa-sant_feliu_de_codines_centro_urbano-49186623253_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),103 m²,87 m²,1.057 m²,3,1,Más de 50 años,,SA2390-293/7966,Gres,,,,N/A,N/A,N/A,,,N/A,,,,,,N/A,1,Propia,Noroeste,,,,,,,N/A,N/A,,,N/A,,,,,,,,,
"Piso en Plaça de l'Església, 5",INMOBILIARIA  ESTEVE BRACHS,3.708 €/m²,445.000 €,120 m²,https://www.pisos.com/comprar/piso-granollers_centre08401-47549859187_110400/,Anuncio actualizado el 19/02/2025,"D, D","D, D",valles_oriental (BCN),120 m²,116 m²,,3,2,Entre 10 y 20 años,En buen estado,1104-00027,Parquet,Frío y calor,N/A,N/A,N/A,,,2ª,N/A,Central,N/A,N/A,N/A,N/A,Más de 2,,1,,,Entre 40 y 60 €,N/A,,Aluminio,,,,N/A,,N/A,,,,,N/A,N/A,,,,
Piso en Carrer de Navarra,FINCAS LEON MONTMELO,1.938 €/m²,190.000 €,98 m²,https://www.pisos.com/comprar/piso-martorelles_centro_urbano-51680155162_100500/,Anuncio actualizado el 20/02/2025,"G, F","G, F",valles_oriental (BCN),98 m²,76 m²,,4,1,Entre 30 y 50 años,En buen estado,SA1545-EV10043,,,Cocina amueblada,N/A,,,,2ª,N/A,Central,,,N/A,,,,1,,,,,,,,,,,,,,,,,,,,,,
Finca rústica en La Roca del Vallès - Centre - Carrer Antonio Machado,PARTICULAR Immobiliària Financera,140 €/m²,950.000 €,1.769 m²,https://www.pisos.com/comprar/finca_rustica-la_roca_del_valles_centro_urbano-5885701136_501175/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),1.769 m²,864 m²,6.780 m²,7,6,,En buen estado,501175-001758,Gres,,N/A,N/A,,N/A,,,,Gas natural,,,,,Más de 2,N/A,Más de 2,Propia,Suroeste,,,,Madera,,N/A,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,
Piso en Plana Lledó-Can Borrell-Gallecs-Lourdes,MI CASA DEL VALLÉS,3.288 €/m²,296.000 €,90 m²,https://www.pisos.com/comprar/piso-plana_lledo_can_borrell_gallecs_lourdes08100-51754110314_100500/,Anuncio actualizado el 20/02/2025,"A, A","A, A",valles_oriental (BCN),90 m²,,,3,2,,En buen estado,SA5726-01470,,,,,,N/A,,,N/A,,N/A,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Piso en Bellavista,"Inmolledoner, s.l",2.222 €/m²,160.000 €,72 m²,https://www.pisos.com/comprar/piso-les_franqueses_del_valles_bellavista-51763596815_528050/,Anuncio actualizado el 19/02/2025,"E, E","E, E",valles_oriental (BCN),72 m²,70 m²,,3,1,Más de 50 años,En buen estado,4528050-GIR-BLLV,Gres,,Independiente,N/A,,,,2ª,,Eléctrica,N/A,,N/A,,,,,,Oeste,,,,Aluminio,,,,,,,,,,,N/A,,N/A,,,
Piso en Corró d'Avall,Engel & Völkers MMC Barcelona,3.331 €/m²,246.500 €,74 m²,https://www.pisos.com/comprar/piso-corro_avall-4951999554_109700/,Anuncio actualizado el 27/12/2024,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),74 m²,,,3,2,,A estrenar,IF76306-D-000MBH,,Frío y calor,,,,,,,,,,N/A,N/A,,,,N/A,,A la montaña,,,,Aluminio,N/A,,,,,,,,,,,,,,,
