nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Antigüedad,Gastos de comunidad,Referencia,Amueblado,Armarios empotrados,Tipo suelo,Agua,Calefacción,Sistema de seguridad,Ascensor,Terraza,Orientación,Conservación,Garaje,Aire acondicionado,Cocina equipada,Trastero,Puerta blindada,Adaptado a personas con movilidad reducida,Jardín,Piscina,Exterior,Carpintería interior,Vidrios dobles,Carpintería exterior,Comedor,Lavadero,Portero automático,Balcón,Soleado,Tipo de casa,Superficie solar,Chimenea,Urbanizado,Teléfono,Calle alumbrada,Calle asfaltada,Se aceptan mascotas,Gas,Interior,Luz
Piso en Avinguda de Santiago Rusiñol,Ribes Roig Serveis Immobiliaris,3.219 €/m²,235.000 €,73 m²,https://www.pisos.com/comprar/piso-vallpineda_rocamar-50056637587_109300/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),73 m²,63 m²,2,1,2ª,,,EP924-1655,,,,N/A,Gas natural,,,N/A,Oeste,En buen estado,,,,,,,Comunitario,Comunitaria,N/A,,,,,,,,,,,,,,,,,,,
Casa en Can Girona-Terramar-Vinyet,Durán Carasso,5.042 €/m²,1.800.000 €,357 m²,https://www.pisos.com/comprar/casa-can_girona_terramar_vinyet-44187459789_105600/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),357 m²,,5,4,,,,BM201-5030,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,1.219 m²,,,,,,,,,
Piso en Poble Sec/Observatori,FINQUES MONTMAR,3.833 €/m²,230.000 €,60 m²,https://www.pisos.com/comprar/piso-els_molins_poble_sec_pins_vens-45909876839_100500/,Anuncio actualizado el 10/12/2024,"F, F","F, F",garraf (BCN),60 m²,55 m²,2,1,Bajo,,,SA2365-P1645/5393,,1,Gres,N/A,Gas natural,,,,Sur,,,,,,,,,,,,,,N/A,,,,,,,,,N/A,,,,,,
Casa adosada en Barri de Mar-Ribes Roges-Plaça de la Sardana,Engel & Völkers MMC Barcelona,2.115 €/m²,459.000 €,217 m²,https://www.pisos.com/comprar/casa_adosada-barri_de_mar_ribes_roges_placa_de_la_sardana-4983785991_109700/,Anuncio actualizado el 13/01/2025,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),217 m²,,4,3,,,,IF76306-D-000LU1,,,,,,,,N/A,,A estrenar,N/A,,,,,,Privado,,,,,,,,,,,Adosada,,,,,,,,,,
Finca rústica en La Geltrú-Casernes-Sant Jordi,Durán Carasso,3.616 €/m²,1.150.000 €,330 m²,https://www.pisos.com/comprar/finca_rustica-la_geltru_casernes_sant_jordi-50899838036_105600/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),330 m²,,6,2,,,,BM201-5809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318 m²,,,,,,,,,
Casa en Santa Maria,FINQUES RIUS,1.580 €/m²,365.000 €,231 m²,https://www.pisos.com/comprar/casa-santa_maria_eixample_sud_sumella-50904239604_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),231 m²,143 m²,3,3,,Entre 20 y 30 años,,SA1268-03-11692/1098,,1,Gres,N/A,Gas natural,,,,Sur,,,N/A,,,,,N/A,Propia,,,,,,,,,,,210 m²,N/A,N/A,,,,,,,
Dúplex en Barri de Mar-Ribes Roges-Plaça de la Sardana,ALARCON PROPIEDADES,2.524 €/m²,356.000 €,141 m²,https://www.pisos.com/comprar/duplex-barri_de_mar_ribes_roges_placa_de_la_sardana-44189851285_401700/,Anuncio actualizado el 17/02/2025,"E, E","E, E",garraf (BCN),141 m²,125 m²,4,2,3ª,Entre 30 y 50 años,50€/mes,4017-5362,,2,Gres,,Gas natural,,,24,Sur,En buen estado,,,Amplia y exterior,En la terraza,N/A,,,,N/A,Madera,N/A,Aluminio,Amplio y con salida a balcón,N/A,N/A,N/A,N/A,,,N/A,,,,,,N/A,,
Chalet en Camí de la Serra del Cavall,Engel & Völkers MMC Barcelona,3.605 €/m²,375.000 €,104 m²,https://www.pisos.com/comprar/chalet-canyelles_centro_urbano-4227424285_109700/,Anuncio actualizado el 18/12/2024,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),104 m²,,3,2,,,,IF76306-D-000L2U,,,,,,,,N/A,,A estrenar,,,,,,,Privado,,,,,,,,,,,,,,,,,,,,,
Chalet en Can Suria,Ribes Roig Serveis Immobiliaris,2.333 €/m²,420.000 €,180 m²,https://www.pisos.com/comprar/chalet-olivella_centro_urbano-48396818065_109300/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),180 m²,137 m²,4,2,,,,EP924-2574,,,,N/A,,,,N/A,,,1,,,Cobertizo de montaña en el jardín,,,,Propia,,,,,,,,,,,,Estufa de leña en la sala de estar,,,,,,,,
Dúplex en Nucli Urbà,Ribes Roig Serveis Immobiliaris,3.440 €/m²,347.500 €,101 m²,https://www.pisos.com/comprar/duplex-sant_pere_de_ribes_nucli_urba-50066028834_109300/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),101 m²,85 m²,3,2,1ª,,,EP924-2596,,,,N/A,,,,N/A,,En buen estado,1,,,N/A,,,,,N/A,,,,,,,,,,,,,,,,,,,
Piso en Sant Joan-Molí de Vent,Estudi Vilanova Mercat Slu,2.456 €/m²,199.000 €,81 m²,https://www.pisos.com/comprar/piso-sant_joan_moli_de_vent-47500372704_100200/,Anuncio actualizado el 19/02/2025,"G, G","G, G",garraf (BCN),81 m²,,4,1,1ª,Más de 50 años,,TC1182-591302,,,Gres,,,,,N/A,,En buen estado,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,
Casa en Avinguda de Can Girona,PREMIUM HOUSES SITGES,4.877 €/m²,1.995.000 €,409 m²,https://www.pisos.com/comprar/casa-can_girona_terramar_vinyet-34261693594_100500/,Anuncio actualizado el 20/02/2025,"E, E","E, E",garraf (BCN),409 m²,206 m²,5,6,,Entre 10 y 20 años,,SA1988-PHS100745/7088,,1,,N/A,N/A,,,N/A,Sur,,1,N/A,,N/A,,,N/A,Propia,,,,,N/A,,,,,,1.246 m²,,N/A,N/A,,,,,,
Piso en Centre,Engel & Völkers MMC Barcelona,5.769 €/m²,738.480 €,128 m²,https://www.pisos.com/comprar/piso-sitges_centre-5032276400_109700/,Anuncio actualizado el 18/12/2024,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),128 m²,,3,2,,,,IF76306-D-000LJ1,,2,Tarima flotante,,,,,N/A,,A estrenar,N/A,Frío y calor,N/A,N/A,,,Privado,,,,,,,,,,,,,,,,,,,,,
Chalet en Camí de la Serra del Cavall,Engel & Völkers MMC Barcelona,3.605 €/m²,375.000 €,104 m²,https://www.pisos.com/comprar/chalet-canyelles_centro_urbano-4194892091_109700/,Anuncio actualizado el 18/12/2024,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),104 m²,,3,2,,,,IF76306-D-000L2U,,,,,,,,N/A,,A estrenar,,,,,,,Privado,,,,,,,,,,,,,,,,,,,,,
"Piso en Carrer del Pintor Pere Pruna,  s/n",OPEN INMO,5.909 €/m²,260.000 €,44 m²,https://www.pisos.com/comprar/piso-can_girona_terramar_vinyet-4975922398_109700/,Anuncio actualizado el 18/12/2024,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),44 m²,,1,1,Bajo,,,-21563420,,,,,,,,N/A,,A estrenar,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Les Roquetes,Casfincas,1.930 €/m²,193.000 €,100 m²,https://www.pisos.com/comprar/piso-sant_pere_de_ribes_les_roquetes08812-49207403021_520629/,Anuncio actualizado el 15/01/2025,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),100 m²,95 m²,4,2,3ª,Entre 30 y 50 años,40 € al mes.,520629-SS 2001/401,,2,Terrazo,,Gas natural,,,,Suroeste,Reformado,,,Cocina con lavadero.,N/A,N/A,,,,N/A,Madera.,N/A,Aluminio,N/A,N/A,,N/A,N/A,,,,,N/A,,,N/A,N/A,,
Casa en Olivella,MAREUS,1.750 €/m²,350.000 €,200 m²,https://www.pisos.com/comprar/casa-olivella_centro_urbano-50024273916_991098/,Anuncio actualizado el 27/01/2025,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),200 m²,158 m²,4,3,,,,4991098-1558,,,,,,,,N/A,,A estrenar,1,,N/A,,,,Privado,Propia,,,,,N/A,,,,,,518 m²,,,,,,,,,
"Piso en calle de L'any Dels Negats,  9",AEDAS HOMES,3.965 €/m²,349.000 €,88 m²,https://www.pisos.com/comprar/piso-barri_de_mar_ribes_roges_placa_de_la_sardana-5193957865_109700/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),88 m²,,3,2,7ª,,,-a0P07000001XJ6HEAW,,,,,Gas natural,,N/A,N/A,,A estrenar,N/A,Frío,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,
Casa en Centre,Engel & Völkers MMC Barcelona,5.062 €/m²,2.840.000 €,561 m²,https://www.pisos.com/comprar/casa-sitges_centre-5241290789_109700/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),561 m²,,5,6,,,,IF76306-D-000MOB,,Más de 2,,,,,,N/A,,A estrenar,N/A,Frío y calor,N/A,,,N/A,Privado,N/A,,,,,,,,,,,,,,,,,,,,
Casa adosada en Mas Mestre,HAPPY EXPAT homes & more,2.468 €/m²,395.000 €,160 m²,https://www.pisos.com/comprar/casa_adosada-olivella_centro_urbano-50837853754_108900/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),160 m²,136 m²,3,3,,Entre 10 y 20 años,,XA784-Casa Montserrat,,,,,Centralised gas,,,,Sur,,N/A,Yes,,N/A,,,,Yes,,,,,,,,,,Adosada,240 m²,N/A,,,,,,,,
Piso en La Collada-Els Sis Camins-Fondo Somella-Santa Maria,Engel & Völkers MMC Barcelona,3.228 €/m²,368.000 €,114 m²,https://www.pisos.com/comprar/piso-la_collada_els_sis_camins_fondo_somella_santa_mari-4995428024_109700/,Anuncio actualizado el 16/01/2025,"B, B","B, B",garraf (BCN),114 m²,,4,2,,,,IF76306-D-000LAC,,2,,,,,N/A,N/A,A la montaña,A estrenar,N/A,Frío y calor,N/A,,,N/A,,,,,,,,,,N/A,,,,,,,,,,,,
