nombre,agencia,precio_m2,precio,superficie,codigo_postal,href,actualizacion,consumo,emisiones,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Exterior,Antigüedad,Conservación,Referencia,Armarios empotrados,Carpintería interior,Tipo suelo,Vidrios dobles,Carpintería exterior,Gas,Aire acondicionado,Calefacción,Chimenea,Cocina equipada,Comedor,Garaje,Trastero,Portero automático,Puerta blindada,Sistema de seguridad,Ascensor,Terraza,Jardín,Piscina,Orientación,Soleado,Tipo de casa,Lavadero,Superficie solar,Amueblado,Balcón,Gastos de comunidad,Agua,Teléfono,Urbanizado,Calle alumbrada,Calle asfaltada,Se aceptan mascotas,Adaptado a personas con movilidad reducida,No se aceptan mascotas,Interior,Luz
Chalet en Torrelodones,SAPRIAN HOMES,2.167 €/m²,737.000 €,340 m²,28152,https://www.pisos.com/comprar/chalet-los_penascales-50912085249_100500/,2025-01-16,Error al procesar consumo,Error al procesar emisiones,340 m²,,4,4,,,,En buen estado,SA5134-SH-Las Rozas 103,1,,,,,,,Gas natural,,,,1,N/A,,,,,N/A,Privado,Propia,Sur,,,,512 m²,,,,,,,,,,,,,
Piso en Las Cebadillas-Zaburdón-Monte Escorial,GARSIERRA,2.000 €/m²,440.000 €,220 m²,28131,https://www.pisos.com/comprar/piso-las_cebadillas_zaburdon_monte_escorial-50029849885_108500/,2025-01-02,Error al procesar consumo,Error al procesar emisiones,220 m²,,5,3,,,,,AG588-MANOLO VIOLA8,N/A,,Tarima normal,N/A,,,,N/A,,Individual,,,N/A,,N/A,,N/A,No acristalada,,Privada,Sur,,,,,,,,,,,,,,N/A,,,
Ático en Los Satélites-Roza Martín,Engel & Völkers Madrid,5.350 €/m²,749.000 €,140 m²,28080,https://www.pisos.com/comprar/atico-los_satelites_roza_martin-48365794270_101800/,2025-01-03,Error al procesar consumo,Error al procesar emisiones,140 m²,,3,3,,,Entre 5 y 10 años,,IF77045-I-00YQ2V-W-02XBRN,,,,,,,,Central,,,,1,N/A,,,,N/A,N/A,,Propia,,,,,,,,,,,,,,,,,,
Chalet en calle de Veracruz,Aliseda Inmobiliaria,1.640 €/m²,745.000 €,454 m²,28152,https://www.pisos.com/comprar/chalet-las_marias-37574657013_107000/,2024-09-07,Error al procesar consumo,Error al procesar emisiones,454 m²,,,,,,,,AS1-ALI0000154871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Pueblo,Engel & Völkers Madrid,1.941 €/m²,3.950.000 €,2.034 m²,28115,https://www.pisos.com/comprar/casa-pueblo28224-50006255527_101800/,2024-12-11,Error al procesar consumo,Error al procesar emisiones,2.034 m²,,7,10,,,Entre 20 y 30 años,,IF77045-I-00VBIF-W-02MV09,1,,,,,,,,,N/A,,1,N/A,,,,,,,Propia,,,,,5.737 m²,,,,,,,,,,,,,
"Ático en calle de la Higuera,  s/n",PRYGESA,5.364 €/m²,745.611 €,139 m²,28127,https://www.pisos.com/comprar/atico-el_cantizal28232-3772994863_109700/,2025-02-18,Error al procesar consumo,Error al procesar emisiones,139 m²,,3,2,,,,A estrenar,4992541-505122941,,,,,,,,,,,,N/A,N/A,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,
Chalet en calle de Husillo,CASA 10 ASESORES,645 €/m²,549.000 €,850 m²,28047,https://www.pisos.com/comprar/chalet-carlos_ruiz-22582703161_100500/,2025-02-15,Error al procesar consumo,Error al procesar emisiones,850 m²,800 m²,6,5,,,Entre 20 y 30 años,En buen estado,SA3768-110063,1,,,,,,N/A,,,,,,N/A,,,,,N/A,N/A,,Este,,,,900 m²,,,Entre 40 y 60 €,,,,,,,,,,
Casa en Parque de Boadilla,Engel & Völkers Madrid,2.391 €/m²,1.624.000 €,679 m²,28022,https://www.pisos.com/comprar/casa-parque_de_boadilla28669-48342885294_101800/,2024-10-31,Error al procesar consumo,Error al procesar emisiones,679 m²,,5,6,,,,,IF77045-I-00YQRG-W-02XE6W,1,,,,,,,Central,,,,1,N/A,,,,,N/A,Privado,Propia,,,,,2.531 m²,,,,,,,,,,,,,
Chalet en Hoyo de Manzanares,SANCHEZ RUBIO INMOBILIARIA,1.744 €/m²,750.000 €,430 m²,28072,https://www.pisos.com/comprar/chalet-hoyo_de_manzanares_centro_urbano-34225574659_101800/,2025-01-30,Error al procesar consumo,Error al procesar emisiones,430 m²,,4,4,,,Entre 5 y 10 años,,IF6229-VO-1701,1,,,,,,,Central,,,,1,N/A,,N/A,,,N/A,Privado,,Suroeste,,,,1.000 m²,,,,,,,,,,,,,
Casa en Las Matas-Los Peñascales,Engel & Völkers Madrid,3.390 €/m²,1.156.000 €,341 m²,28127,https://www.pisos.com/comprar/casa-las_matas_los_penascales28290-44191250422_101800/,2025-02-03,Error al procesar consumo,Error al procesar emisiones,341 m²,,6,5,,,Entre 10 y 20 años,,IF77045-I-00Y8RC-W-02VFZW,1,,,,,,,Central,,N/A,,1,,,,,,N/A,Privado,Propia,,,,N/A,435 m²,N/A,,,,,,,,,,,,
Chalet en Becerril,Gilmar Villalba,3.712 €/m²,750.000 €,202 m²,28018,https://www.pisos.com/comprar/chalet-becerril_de_la_sierra_los_huertos-51758426125_102100/,2025-02-16,Error al procesar consumo,Error al procesar emisiones,202 m²,,5,3,,,,,GM13-202160,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,840 m²,,,,,,,,,,,,,
Ático en Zona Norte,Engel & Völkers Madrid,2.415 €/m²,715.000 €,296 m²,28080,https://www.pisos.com/comprar/atico-majadahonda_zona_norte28220-50890511755_101800/,2025-02-04,Error al procesar consumo,Error al procesar emisiones,296 m²,,6,3,4ª,,,,IF77045-I-00YZZ1-W-02YG8L,,,,,,,,Central,,,,1,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,
Casa adosada en Valdemaqueda,CASA 10 ASESORES,928 €/m²,169.000 €,182 m²,28159,https://www.pisos.com/comprar/casa_adosada-valdemaqueda_centro_urbano-44231479098_100500/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,182 m²,,3,2,,,Entre 20 y 30 años,En buen estado,SA3768-114015,,,,,,,,,,,,1,,,,,,,N/A,,Norte,,Adosada,,249 m²,,,,,,,,,,,,,
Chalet en Club de Golf-Molino de la Hoz,REMAX URBE,2.670 €/m²,1.530.000 €,573 m²,28127,https://www.pisos.com/comprar/chalet-club_de_golf_molino_de_la_hoz28290-39257179967_100500/,2024-07-12,"E, E","E, E",573 m²,,5,5,,,Entre 30 y 50 años,A reformar,SA2484-3248-23198,1,,,,,,,,,,,1,N/A,,,,,,N/A,N/A,Este,,,,2.566 m²,,,Más de 100 €,,,,,,,,,,
Casa en calle N/A,CAPITAL HOME NAVALCARNERO,2.154 €/m²,499.900 €,232 m²,28010,https://www.pisos.com/comprar/casa-alpedrete_centro_urbano-28363221202_101800/,2025-02-10,"E, E","E, E",232 m²,,4,1,,,Entre 30 y 50 años,,IF76877-Avenida de los Llanos,,,,,,,,Central,,,,,,,,,,N/A,Privado,Propia,A la montaña,,,,2.100 m²,,,,,,,,,,,,,
Casa en El Pinar- Punta Galea,eXp Realty,3.213 €/m²,2.500.000 €,778 m²,28127,https://www.pisos.com/comprar/casa-pinar_punta_galea28290-50842682905_100500/,2025-02-19,"A, A","A, A",778 m²,,6,8,,,Entre 10 y 20 años,,SA3689-EXP08878/8930,1,,,,,,,N/A,N/A,,,1,N/A,,N/A,N/A,,N/A,N/A,Propia,,,,,2.990 m²,,,,N/A,N/A,N/A,,,,,,,
Casa en Estación-Zona Norte,Engel & Völkers Madrid,3.089 €/m²,1.100.000 €,356 m²,28115,https://www.pisos.com/comprar/casa-estacion_zona_norte28224-39218307635_101800/,2024-05-21,"D, D","D, D",356 m²,,7,4,,,Entre 10 y 20 años,,IF77045-I-00XQD7-W-02TN30,1,,,,,,,Central,,,,1,,,,,,,Privado,Propia,,,,,263 m²,,,,,,,,,,,,,
Apartamento en Prado de Somosaguas,Engel & Völkers Madrid,11.063 €/m²,2.600.000 €,235 m²,28115,https://www.pisos.com/comprar/apartamento-prado_de_somosaguas-50004688299_101800/,2024-12-20,Error al procesar consumo,Error al procesar emisiones,235 m²,,4,5,2ª,,Menos de 5 años,,IF77045-I-00YWUE-W-02Y1R7,,,,,,,,Central,,,,1,,,,,,N/A,,,,,,,,,,,,,,,,,,,,
"Piso en calle del Tomillo, 7",SOMOS INMOBILIARIA,2.584 €/m²,230.000 €,89 m²,28046,https://www.pisos.com/comprar/piso-collado_mediano_centro_urbano-49218581649_100500/,2025-01-26,Error al procesar consumo,Error al procesar emisiones,89 m²,,2,2,3ª,N/A,Entre 30 y 50 años,En buen estado,SA2682-73535,1,,,,,,,,,,,,N/A,,,,,N/A,N/A,N/A,Este,,,,,,,Entre 80 y 100 €,,,,,,,,,,
Casa en Alpedrete,Engel & Völkers Madrid,1.349 €/m²,1.050.000 €,778 m²,28010,https://www.pisos.com/comprar/casa-alpedrete_centro_urbano-38344235998_101800/,2025-01-16,"E, E","E, E",778 m²,,,6,,,Entre 20 y 30 años,,IF77045-I-00WLWC-W-02NGWH,1,,,,,,,Central,,N/A,,1,N/A,,,,,N/A,Privado,Propia,Suroeste,,,N/A,1.747 m²,,,,,,,,,,,,,
Casa en Marazuela-El Torreón,Engel & Völkers Madrid,4.610 €/m²,1.360.000 €,295 m²,28127,https://www.pisos.com/comprar/casa-marazuela_el_torreon28231-48348905340_101800/,2025-01-30,"A, A","A, A",295 m²,,5,4,,,Entre 5 y 10 años,,IF77045-I-00YP28-W-02X9IT,,,,,,,,Central,,,,1,,,,,,N/A,Privado,Propia,,,,,150 m²,,,,,,,,,,,,,
Casa adosada en Centro,CAPITAL HOME NAVALCARNERO,2.952 €/m²,569.900 €,193 m²,28022,https://www.pisos.com/comprar/casa_adosada-boadilla_del_monte_centro-51757116301_101800/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,193 m²,,4,3,,,Entre 30 y 50 años,,IF76877-ronda,1,,,,,,,Central,,N/A,,1,N/A,,,,,,Privado,,,,Adosada,N/A,84 m²,N/A,,,,,,,,,,,,
Casa en Montepríncipe,Engel & Völkers Madrid,3.566 €/m²,1.890.000 €,530 m²,28022,https://www.pisos.com/comprar/casa-boadilla_del_monte_monteprincipe28660-41701251142_101800/,2025-01-15,Error al procesar consumo,Error al procesar emisiones,530 m²,,5,6,,,Menos de 5 años,,IF77045-I-00XV3K-W-02UH0H,,,,,,,,Central,,,,1,,,,,,,Privado,Propia,A la montaña,,,,3.000 m²,,,,,,,,,,,,,
Piso en Navacerrada,Estudio Becerril 2024 Sl,1.904 €/m²,219.000 €,115 m²,28093,https://www.pisos.com/comprar/piso-navacerrada_centro_urbano-51695077306_100200/,2025-02-12,Error al procesar consumo,Error al procesar emisiones,115 m²,,3,2,,,Entre 20 y 30 años,En buen estado,TC1235-609340,,,,,,,,,,,,1,,,,,,N/A,,,,,,,,,N/A,,,,,,,,,,,
Casa en Club de Golf-Molino de la Hoz,Engel & Völkers Madrid,2.396 €/m²,1.395.000 €,582 m²,28127,https://www.pisos.com/comprar/casa-club_de_golf_molino_de_la_hoz28232-50090603766_101800/,2025-01-07,Error al procesar consumo,Error al procesar emisiones,582 m²,,4,3,,,Entre 20 y 30 años,,IF77045-I-00YRZY-W-02X4PB,1,,,,,,,Central,,N/A,,,,,,,,,Privado,Propia,,,,N/A,2.502 m²,,,,,,,,,,,,,
Casa adosada en Estación-Zona Norte,Engel & Völkers Madrid,3.982 €/m²,1.549.000 €,389 m²,28115,https://www.pisos.com/comprar/casa_adosada-estacion_zona_norte28224-45899213697_101800/,2024-11-12,Error al procesar consumo,Error al procesar emisiones,389 m²,,5,4,,,,,IF77045-I-00YGMU-W-02WEGM,1,,,,,,,Central,,,,1,N/A,,,,,,Privado,Propia,,,Adosada,N/A,355 m²,,,,,,,,,,,,,
Piso en Colmenarejo,Gilmar Villalba,3.116 €/m²,240.000 €,77 m²,28044,https://www.pisos.com/comprar/piso-colmenarejo_centro_urbano-51705835187_102100/,2025-02-07,Error al procesar consumo,Error al procesar emisiones,77 m²,,2,2,,Exterior,,,GM13-205376,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Travesía de la Venta,CASA 10 ASESORES,3.349 €/m²,177.500 €,53 m²,28047,https://www.pisos.com/comprar/piso-villalba_estacion-50871194818_100500/,2025-02-16,Error al procesar consumo,Error al procesar emisiones,53 m²,50 m²,1,1,,N/A,Entre 10 y 20 años,En buen estado,SA3768-110130,1,,,,,,,,,,,,,,,,N/A,N/A,,,Sur,,,,,,,Entre 40 y 60 €,,,,,,,N/A,,,
Piso en Valdepastores-Pino Centinela-Las Encinas,INMOBILIARIA INTERNACIONAL CPM,4.818 €/m²,795.000 €,165 m²,28022,https://www.pisos.com/comprar/piso-valdepastores_pino_centinela_las_encinas28669-50910062136_100500/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,165 m²,130 m²,3,2,1ª,N/A,Entre 10 y 20 años,En buen estado,SA3051-07932,1,,,,,,N/A,,,,,1,N/A,,,,N/A,N/A,N/A,N/A,Sur,,,,,,,,,,,,,,,,,
"Chalet en calle Pablo Palazuelo, nº -",ALTAMIRA,Error al procesar precio m²,A consultar,498 m²,28061,https://www.pisos.com/comprar/chalet-galapagar_la_navata28420-35057943054_103600/,2025-02-18,Error al procesar consumo,Error al procesar emisiones,498 m²,498 m²,5,4,,,,,AM9-2302##33000761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en Navacerrada,Gilmar Villalba,3.900 €/m²,975.000 €,250 m²,28093,https://www.pisos.com/comprar/chalet-navacerrada_centro_urbano-51682559871_102100/,2025-02-07,Error al procesar consumo,Error al procesar emisiones,250 m²,,4,3,,,,,GM13-199468,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,1.200 m²,,,,,,,,,,,,,
Piso en calle Nueva,STAR´S HOUSE C.B.,4.362 €/m²,349.000 €,80 m²,28181,https://www.pisos.com/comprar/piso-villaviciosa_de_odon_centro-51735859694_514034/,2025-02-17,Error al procesar consumo,Error al procesar emisiones,80 m²,75 m²,3,2,1ª,N/A,Entre 10 y 20 años,En buen estado,4514034-13347380,Más de 2,N/A,Gres,,PVC,N/A,Frío y calor,Gas natural,,N/A,N/A,,,N/A,N/A,,,,,,Sur,N/A,,N/A,,,N/A,Entre 10 y 20 €,,,,,,,,,,
Chalet unifamiliar en El Bosque,CONSULTORIA 360º,1.970 €/m²,985.000 €,500 m²,28181,https://www.pisos.com/comprar/chalet_unifamiliar-villaviciosa_de_odon_el_bosque28670-43418576089_997897/,2024-04-25,Error al procesar consumo,Error al procesar emisiones,500 m²,500 m²,5,3,,,,Reformado,4997897-24042501V,Más de 2,,,N/A,,,Frío y calor,Gasoil,N/A,N/A,N/A,Más de 2,,,N/A,N/A,,N/A,Privado,Propia,,,,N/A,1.100 m²,,,,,,N/A,N/A,N/A,,,,,
Casa en calle de los Atajos,Aliseda Inmobiliaria,1.286 €/m²,193.000 €,150 m²,28125,https://www.pisos.com/comprar/casa-robledo_de_chavela_centro_urbano-50869930773_107000/,2025-02-01,Error al procesar consumo,Error al procesar emisiones,150 m²,,5,3,,,,,AS1-42721737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Mataelpino,Engel & Völkers Madrid,2.134 €/m²,555.000 €,260 m²,28023,https://www.pisos.com/comprar/casa-mataelpino-45918191200_101800/,2025-02-10,Error al procesar consumo,Error al procesar emisiones,260 m²,,,3,,,,,IF77045-I-00YI1F-W-02VIRF,,,,,,,,Central,,,,1,,,,,,N/A,Privado,,,,,,673 m²,,,,,,,,,,,,,
Chalet en Las Vegas - Santa María,ELEPHANT ROOM VILLALBA,2.267 €/m²,950.000 €,419 m²,28177,https://www.pisos.com/comprar/chalet-villanueva_del_pardillo_centro_urbano-42528008760_100500/,2025-02-19,"E, E","E, E",419 m²,,4,4,,,Entre 20 y 30 años,,SA3036-05667/7622,,,Mármol,,,,N/A,N/A,,,N/A,,,,N/A,,,,N/A,Propia,,,,,1.600 m²,,,Entre 60 y 80 €,,,,,,,,,,
Piso en Villalba Pueblo,"PRADESA , Real Estate",3.123 €/m²,253.000 €,81 m²,28047,https://www.pisos.com/comprar/piso-villalba_pueblo-51670695684_212600/,2025-02-13,Error al procesar consumo,Error al procesar emisiones,81 m²,78 m²,2,1,2ª,N/A,Entre 20 y 30 años,En buen estado,2126-005523,Más de 2,,Tarima flotante,,PVC,,,Gas natural,,N/A,N/A,1,,,,,N/A,,,,Noroeste,,,,,,,82€,,,,,,,,,,
Casa rústica en Valdemorillo,Engel & Völkers Madrid,8.604 €/m²,1.850.000 €,215 m²,28160,https://www.pisos.com/comprar/casa_rustica-valdemorillo_centro_urbano-51705286379_101800/,2025-02-17,Error al procesar consumo,Error al procesar emisiones,215 m²,,3,2,,,Entre 30 y 50 años,,IF77045-I-00Z1LH-W-02YJOA,1,,,,,,,Central,,,,1,,,,,,N/A,Privado,,,,Rústica,,510.000 m²,,,,,,,,,,,,,
Casa en Becerril de la Sierra,Engel & Völkers Madrid,3.712 €/m²,750.000 €,202 m²,28018,https://www.pisos.com/comprar/casa-becerril_de_la_sierra_centro_urbano-42504284331_101800/,2025-02-20,"A, A","A, A",202 m²,,5,3,,,Menos de 5 años,,IF77045-I-00XZZI-W-02UJN5,,,,,,,,Central,,,,1,,,,,,,Privado,Propia,,,,,840 m²,,,,,,,,,,,,,
"Chalet en calle de Córdoba, 16",CASA 10 ASESORES,1.943 €/m²,550.000 €,283 m²,28054,https://www.pisos.com/comprar/chalet-pinosol_el_alcor_peralejo28219-50000493047_100500/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,283 m²,258 m²,5,2,,,Entre 30 y 50 años,En buen estado,SA3768-340139,1,,,,,,,,,,,1,N/A,,,,,N/A,N/A,N/A,Sur,,,,1.700 m²,,,Entre 40 y 60 €,,,,,,,,,,
Casa en Becerril de la Sierra,Engel & Völkers Madrid,Error al procesar precio m²,560.000 €,735 m²,28018,https://www.pisos.com/comprar/casa-becerril_de_la_sierra_centro_urbano-51678801941_101800/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,,,5,4,,,,,IF77045-I-00Z06L-W-02YDY7,1,,,,,,,Central,,,,1,N/A,,,,,N/A,Privado,Propia,,,,,735 m²,,,,,,,,,,,,,
Casa en Yucatán-La Cornisa,Engel & Völkers Madrid,3.027 €/m²,890.000 €,294 m²,28127,https://www.pisos.com/comprar/casa-yucatan_la_cornisa-40846931056_101800/,2024-05-21,Error al procesar consumo,Error al procesar emisiones,294 m²,,4,2,,,,,IF77045-I-00XWIW-W-02TIGF,,,,,,,,,,,,1,,,,,,,Privado,,,,,,958 m²,,,,,,,,,,,,,
Casa en Marazuela-El Torreón,Engel & Völkers Madrid,2.355 €/m²,1.199.000 €,509 m²,28127,https://www.pisos.com/comprar/casa-marazuela_el_torreon28231-41719814431_101800/,2024-05-21,Error al procesar consumo,Error al procesar emisiones,509 m²,,7,5,,,Entre 20 y 30 años,,IF77045-I-00XXCA-W-02UIK2,1,,,,,,,Central,,N/A,,1,N/A,,,,,N/A,Privado,Propia,A la montaña,,,N/A,671 m²,,,,,,,,,,,,,
Casa en La Raya del Palancar-Guadamonte,Engel & Völkers Madrid,8.284 €/m²,1.400.000 €,169 m²,28176,https://www.pisos.com/comprar/casa-la_raya_del_palancar_guadamonte28691-38385905196_101800/,2024-05-21,Error al procesar consumo,Error al procesar emisiones,169 m²,,,2,,,,,IF77045-I-00ULOX-W-02LYQE,,,,,,,,,,,,,,,,,,,,,,,,,300.000 m²,,,,,,,,,,,,,
Chalet adosado en Guadarrama,"PRADESA , Real Estate",2.309 €/m²,575.000 €,249 m²,28068,https://www.pisos.com/comprar/chalet_adosado-guadarrama_centro_urbano-43374607172_212600/,2025-02-12,Error al procesar consumo,Error al procesar emisiones,249 m²,220 m²,6,3,,,Entre 20 y 30 años,En buen estado,2126-005404,,,,,,,,Gas natural,,,,,,,,,,N/A,Privado,Comunitaria,Este,,,,260 m²,,,130,,,N/A,N/A,N/A,,,,,
Dúplex en Sector B,Engel & Völkers Madrid,4.569 €/m²,850.000 €,186 m²,28022,https://www.pisos.com/comprar/duplex-sector_b28660-51749965025_101800/,2025-02-14,Error al procesar consumo,Error al procesar emisiones,186 m²,,4,3,2ª,,Entre 5 y 10 años,,IF77045-I-00YZEY-W-02Y0D2,1,,,,,,,Central,,N/A,,1,N/A,,,,N/A,N/A,,Propia,,,,N/A,,,,,,,,,,,,,,
Casa en Valdecabañas,Engel & Völkers Madrid,3.855 €/m²,3.100.000 €,804 m²,28022,https://www.pisos.com/comprar/casa-boadilla_del_monte_valdecabanas-50919478083_101800/,2025-01-10,"B, B","B, B",804 m²,,7,8,,,Entre 30 y 50 años,,IF77045-I-00YXTO-W-02Y6EH,,,,,,,,Central,,N/A,,1,N/A,,,,,N/A,Privado,Propia,,,,,1.625 m²,,,,,,,,,,,,,
Casa en Villafranca del Castillo,Engel & Völkers Madrid,2.873 €/m²,2.250.000 €,783 m²,28176,https://www.pisos.com/comprar/casa-villanueva_de_la_canada_villafranca_del_castillo28-51729121079_101800/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,783 m²,,5,7,,,,,IF77045-I-00YCXE-W-02VXU7,1,,,,,,,Central,,N/A,,1,N/A,,,,,,Privado,Propia,,,,N/A,1.735 m²,,,,,,,,,,,,,
Chalet unifamiliar en Alpedrete,"PRADESA , Real Estate",3.067 €/m²,457.000 €,149 m²,28010,https://www.pisos.com/comprar/chalet_unifamiliar-alpedrete_centro_urbano-46674256623_212600/,2025-01-27,Error al procesar consumo,Error al procesar emisiones,149 m²,149 m²,3,1,,,Más de 50 años,Reformado,2126-005462,Más de 2,,Gres,,Aluminio,,,Gas natural,N/A,N/A,N/A,,,,N/A,,,N/A,Privado,,Sureste,,,,500 m²,,,No tiene,,,N/A,N/A,N/A,,,,,
"Piso en calle de Almenara, 46",ALTAMIRA,1.184 €/m²,270.000 €,228 m²,28125,https://www.pisos.com/comprar/piso-robledo_de_chavela_centro_urbano-46675194415_103600/,2024-12-12,Error al procesar consumo,Error al procesar emisiones,228 m²,228 m²,,,,,,,AM9-NIX002##NIX002_0257_PE0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa adosada en Centro,Engel & Völkers Madrid,2.553 €/m²,1.200.000 €,470 m²,28127,https://www.pisos.com/comprar/casa_adosada-las_rozas_de_madrid_centro28232-40866171082_101800/,2024-06-11,Error al procesar consumo,Error al procesar emisiones,470 m²,,6,5,,,Entre 10 y 20 años,,IF77045-I-00XVJD-W-02U9VX,1,,,,,,,Central,,N/A,,1,N/A,,,,,N/A,Privado,Propia,,,Adosada,,,,,,,,,,,,,,,
Chalet en calle Odra,Aliseda Inmobiliaria,2.126 €/m²,759.000 €,357 m²,28181,https://www.pisos.com/comprar/chalet-villaviciosa_de_odon_el_bosque28670-49222596612_107000/,2025-01-26,Error al procesar consumo,Error al procesar emisiones,357 m²,,1,1,,,,,AS1-4625-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dúplex en calle de Manolo Viola,Cal Estudios Inmobiliarios,2.009 €/m²,440.000 €,219 m²,28131,https://www.pisos.com/comprar/duplex-las_cebadillas_zaburdon_monte_escorial-43425075304_106000/,2024-12-24,Error al procesar consumo,Error al procesar emisiones,219 m²,,5,4,2ª,,Entre 20 y 30 años,,NI90-10111,,,,,,,,,,,,2,,,,,N/A,,,,,,,,,,,,,,,,,,,,,
Finca rústica en calle Polígono 26 Paraje 108 Las Colmenas,ELEPHANT ROOM VILLALBA,31 €/m²,850.000 €,550 m²,28054,https://www.pisos.com/comprar/finca_rustica-pinosol_el_alcor_peralejo28211-47598830889_100500/,2024-12-17,Error al procesar consumo,Error al procesar emisiones,550 m²,500 m²,6,5,,,,,SA3036-06450/7622,1,,,,,,,Gasoil,N/A,,N/A,1,,,N/A,,,N/A,,Propia,Este,,,,27.000 m²,,,,N/A,,,,,,,,,
Casa adosada en Pueblo,Engel & Völkers Madrid,4.282 €/m²,925.000 €,216 m²,28115,https://www.pisos.com/comprar/casa_adosada-pueblo28223-38422599427_101800/,2024-12-17,Error al procesar consumo,Error al procesar emisiones,216 m²,,4,2,,,,,IF77045-I-00XMOZ-W-02TQUI,,,,,,,,,,,,,,,,,,,,,,,Adosada,,512 m²,,,,,,,,,,,,,
Casa en Monte Alina-La Cabaña,Engel & Völkers Madrid,8.045 €/m²,3.500.000 €,435 m²,28115,https://www.pisos.com/comprar/casa-monte_alina_la_cabana-48385063057_101800/,2024-11-19,"B, B","B, B",435 m²,,5,5,,,,,IF77045-I-00YRP2-W-02XK79,,,,,,,,,,N/A,,1,,,,,,N/A,Privado,,,,,,807 m²,,,,,,,,,,,,,
Piso en calle del Pintor Rafael Botí,VIVANTIAL,2.567 €/m²,190.000 €,74 m²,28061,https://www.pisos.com/comprar/piso-galapagar_centro-50069333922_109300/,2025-01-07,"E, E","E, E",74 m²,68 m²,,,Bajo,,,A reformar,EP618-15139-2045,,,,,,,,,,,,,,N/A,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,
Casa en Valdemorillo,Engel & Völkers Madrid,1.462 €/m²,585.000 €,400 m²,28160,https://www.pisos.com/comprar/casa-valdemorillo_centro_urbano-50080254622_101800/,2025-01-08,Error al procesar consumo,Error al procesar emisiones,400 m²,,6,6,,,,,IF77045-I-00YX5B-W-02U2MY,1,,,,,,,,,N/A,,1,,,,,,N/A,Privado,,,,,,1.250 m²,,,,,,,,,,,,,
Casa en Guadarrama,Engel & Völkers Madrid,2.313 €/m²,650.000 €,281 m²,28068,https://www.pisos.com/comprar/casa-guadarrama_centro_urbano-50838679630_101800/,2025-02-06,Error al procesar consumo,Error al procesar emisiones,281 m²,,5,4,,,Entre 20 y 30 años,,IF77045-I-00YYUC-W-02Y24R,1,,,,,,,Central,,,,1,N/A,,,,,,Privado,Propia,,,,N/A,361 m²,,,,,,,,,,,,,
Piso en calle de la Playa de Louro,Cal Estudios Inmobiliarios,3.250 €/m²,195.000 €,60 m²,28047,https://www.pisos.com/comprar/piso-parque_de_la_coruna_las_suertes-50876441568_106000/,2025-02-01,Error al procesar consumo,Error al procesar emisiones,60 m²,,1,1,,,Más de 50 años,,NI90-10351,,,,,,,,,,,,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,
Casa pareada en calle de Segovia,CASA 10 ASESORES,5.350 €/m²,535.000 €,100 m²,28047,https://www.pisos.com/comprar/casa_pareada-villalba_estacion-50905302296_100500/,2025-02-17,Error al procesar consumo,Error al procesar emisiones,100 m²,98 m²,3,1,,,Más de 50 años,A reformar,SA3768-110131,1,,,,,,,,,,,,N/A,,,,,,N/A,,,,Pareada,,318 m²,,,,,,,,,,,,,
Casa en El Cantizal,Engel & Völkers Madrid,7.572 €/m²,3.900.000 €,515 m²,28127,https://www.pisos.com/comprar/casa-el_cantizal28290-39257810281_101800/,2024-05-21,Error al procesar consumo,Error al procesar emisiones,515 m²,,4,5,,,,,IF77045-I-00XNNB-W-02TOXK,1,,,,,,,Central,,N/A,,1,,,,,,,Privado,Propia,,,,N/A,3.695 m²,,,,,,,,,,,,,
Casa en Robledo de Chavela,Engel & Völkers Madrid,1.580 €/m²,735.000 €,465 m²,28125,https://www.pisos.com/comprar/casa-robledo_de_chavela_centro_urbano-38412035206_101800/,2024-05-28,Error al procesar consumo,Error al procesar emisiones,465 m²,,6,7,,,Entre 10 y 20 años,,IF77045-I-00WRPV-W-02RHET,1,,,,,,,Central,,N/A,,1,N/A,,,,,N/A,,Propia,A la montaña,,,N/A,498 m²,,,,,,,,,,,,,
