nombre,agencia,precio_m2,precio,superficie,codigo_postal,href,actualizacion,consumo,emisiones,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Exterior,Antigüedad,Conservación,Referencia,Armarios empotrados,Carpintería interior,Tipo suelo,Vidrios dobles,Carpintería exterior,Gas,Aire acondicionado,Calefacción,Chimenea,Cocina equipada,Comedor,Garaje,Trastero,Portero automático,Puerta blindada,Sistema de seguridad,Ascensor,Terraza,Jardín,Piscina,Orientación,Soleado,Tipo de casa,Lavadero,Superficie solar,Amueblado,Balcón,Gastos de comunidad,Agua,Teléfono,Urbanizado,Calle alumbrada,Calle asfaltada,Se aceptan mascotas,Adaptado a personas con movilidad reducida,No se aceptan mascotas,Interior,Luz
Casa pareada en Casco Urbano,FLIMASA,2.884 €/m²,675.000 €,234 m²,28181,https://www.pisos.com/comprar/casa_pareada-villaviciosa_de_odon_centro-47516917489_100500/,2025-02-03,Error al procesar consumo,Error al procesar emisiones,234 m²,,4,4,,,Entre 20 y 30 años,En buen estado,SA4858-C501195,1,,Gres,N/A,,,Frío,Gas natural,,Cocina amueblada,,,N/A,,,,,N/A,Privado,Propia,Sureste,,Pareada,,262 m²,,,,,,,,,,,,,
Chalet en calle de Cartagena,HOGARES GALAPAGAR,2.246 €/m²,509.900 €,227 m²,28061,https://www.pisos.com/comprar/chalet-el_guijo_colonia_espana28292-48337301461_101800/,2025-02-13,"E, E","E, E",227 m²,,3,3,,,Más de 50 años,,IF76920-CARTAGENA,1,,,,,,,Central,,N/A,,,,,,N/A,,N/A,Privado,,,,,,1.045 m²,,,,,,,,,,,,,
Casa adosada en calle de Calderón Montero Ríos,HOGARES GUADARRAMA,2.009 €/m²,410.000 €,204 m²,28068,https://www.pisos.com/comprar/casa_adosada-guadarrama_centro_urbano-50025960307_101800/,2025-02-13,"E, F","E, F",204 m²,,3,2,,,Entre 30 y 50 años,,IF76801-calderonmontero,1,,,,,,,,,N/A,,,,,,,,,Privado,Comunitaria,,,Adosada,,266 m²,,,,,,,,,,,,,
Chalet unifamiliar en Avda Saltos del Sil,MISCASA VILLALBA,1.784 €/m²,480.000 €,269 m²,28061,https://www.pisos.com/comprar/chalet_unifamiliar-el_guijo_colonia_espana28292-48335323591_992271/,2025-01-23,"E, E","E, E",269 m²,200 m²,3,4,,,Entre 10 y 20 años,En buen estado,4992271-2012,Más de 2,N/A,Gres,N/A,PVC,,,Gasoil,N/A,N/A,N/A,2,,,N/A,,,N/A,Privado,,Sur,,,,700 m²,,,,,,N/A,N/A,N/A,,,,,
Chalet en calle Camino de Valladolid,EXXACON,4.338 €/m²,1.575.000 €,363 m²,28152,https://www.pisos.com/comprar/chalet-torrelodones_casco_antiguo-5013858298_109700/,2024-12-18,Error al procesar consumo,Error al procesar emisiones,363 m²,,6,6,,,,A estrenar,4527992-21597888,,,,,,,,,,,,N/A,,,,,,N/A,Privado,N/A,,,,,,,,,,,,,,,,,,
Casa adosada en Centro Urbano,Alfa Duende Alcalde,2.194 €/m²,395.000 €,180 m²,28023,https://www.pisos.com/comprar/casa_adosada-el_boalo-45891574132_101000/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,180 m²,170 m²,4,3,,,,,AF234-2410/4,Más de 2,,,,,,,,,,,,,,,,,2,,N/A,Este,,Adosada,,,,,,,,,,,,,,,
Chalet en El Bosque,FLIMASA,3.698 €/m²,895.000 €,242 m²,28181,https://www.pisos.com/comprar/chalet-villaviciosa_de_odon_el_bosque28670-50023167861_100500/,2024-12-27,Error al procesar consumo,Error al procesar emisiones,242 m²,,3,4,,,,Reformado,SA4858-C501217,1,,,N/A,,,Frío,N/A,N/A,Cocina amueblada,,,N/A,,,,,N/A,Privado,Propia,Sur,,,,1.553 m²,,,Entre 40 y 60 €,,,,,,,,,,
Casa adosada en calle de María Telo,HOGARES GALAPAGAR,1.978 €/m²,559.900 €,283 m²,28061,https://www.pisos.com/comprar/casa_adosada-parquelagos_puente_nuevo28420-47594269917_101800/,2025-02-13,Error al procesar consumo,Error al procesar emisiones,283 m²,,5,3,,,Entre 20 y 30 años,,IF76920-MARIATELO,1,,,,,,,Central,,N/A,,1,N/A,,,,,N/A,,Comunitaria,,,Adosada,N/A,312 m²,N/A,,,,,,,,,,,,
Chalet en Monte del Pilar,Gilmar Majadahonda,3.375 €/m²,1.350.000 €,400 m²,28080,https://www.pisos.com/comprar/chalet-zona_carretera_del_plantio28221-47555001248_102100/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,400 m²,,6,4,,,,,GM8-200534,,,,,,,,,,,,Más de 2,,,,,,,N/A,N/A,Este,,,,560 m²,,,,,,,,,,,,,
Chalet en calle de Asturias,INMOBILIARIA ASTUDILLO,2.558 €/m²,990.000 €,387 m²,28181,https://www.pisos.com/comprar/chalet-castillo_campodon-50023245131_106000/,2024-12-10,Error al procesar consumo,Error al procesar emisiones,387 m²,,5,4,,,Entre 30 y 50 años,,NI37-1327,N/A,,Tarima - porcelánico,,PVC,,,N/A,,Independiente,3,2,,,,,,N/A,,,,,,,1.836 m²,Semi amueblado,,,Gasóleo,,,,,,,,,
