nombre,agencia,precio_m2,precio,superficie,codigo_postal,href,actualizacion,consumo,emisiones,Superficie construida,Habitaciones,Baños,Antigüedad,Referencia,Armarios empotrados,Calefacción,Garaje,Trastero,Puerta blindada,Ascensor,Terraza,Piscina,Superficie útil,Superficie solar,Conservación,Aire acondicionado,Jardín,Tipo de casa,Cocina equipada,Sistema de seguridad,Planta,Amueblado,Tipo suelo,Gastos de comunidad,Carpintería exterior,Teléfono,Comedor,Lavadero,Urbanizado,Calle alumbrada,Calle asfaltada,Exterior,Carpintería interior,Vidrios dobles,Portero automático,Balcón,Orientación,Soleado,Chimenea,Gas,Interior,Se aceptan mascotas,Adaptado a personas con movilidad reducida,Agua
"Piso en calle de Vázquez de Coronado, 8","carmenriezu, SOLUCIONES INMOBILIARIAS",1.250 €/m²,95.000 €,76 m²,28005,https://www.pisos.com/comprar/piso-puerta_de_madrid_el_juncal28802-51703893587_100500/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,76 m²,3,1,Entre 30 y 50 años,SA4635-SV-60775412/6266,,Gas natural,,,,,N/A,,6 m²,,,,,,,,1ª,,,,,,,,,,,,,,,,,,,,,,,
Chalet adosado en Villalbilla,LA CASA IDEAL,2.382 €/m²,629.040 €,264 m²,28172,https://www.pisos.com/comprar/chalet_adosado-villalbilla_centro_urbano-50019101576_996540/,2024-12-03,"A, A","A, A",264 m²,5,5,Menos de 5 años,4996540-2411281,Más de 2,"Suelo radiante,",Más de 2,,N/A,,N/A,,260 m²,350 m²,En buen estado,Aire acondicionado centralizado,Privado,,N/A,,,N/A,Mármol,,PVC,,N/A,N/A,,N/A,N/A,,Climalit,,,,,,,N/A,,,,
Casa adosada en Otras,Tegeisa,2.446 €/m²,460.000 €,188 m²,28104,https://www.pisos.com/comprar/casa_adosada-paracuellos_de_jarama_centro_urbano-37533325604_100500/,2025-02-04,Error al procesar consumo,Error al procesar emisiones,188 m²,3,3,Entre 20 y 30 años,SA397-45172890/1813,1,N/A,,,N/A,,N/A,Comunitaria,135 m²,300 m²,,,N/A,Adosada,,N/A,,,Gres,,,,N/A,,N/A,,,,,,,,,,,,,,,N/A
Piso en Velilla de San Antonio,Estudio Velilla S.L.,2.939 €/m²,170.500 €,58 m²,28167,https://www.pisos.com/comprar/piso-velilla_de_san_antonio_centro_urbano-46717127839_100200/,2025-02-03,Error al procesar consumo,Error al procesar emisiones,58 m²,1,1,Menos de 5 años,TC993-592182,,N/A,,,,N/A,N/A,,,,A estrenar,,,,N/A,,1ª,,,,,,,,,,,,,,,,,,,,,,,
Casa pareada en Valleaguado-La Cañada,YÑARRA SERVICIOS INMOBILIARIOS,2.240 €/m²,280.000 €,125 m²,28049,https://www.pisos.com/comprar/casa_pareada-valleaguado_la_canada28823-49228220941_100500/,2024-11-22,Error al procesar consumo,Error al procesar emisiones,125 m²,3,1,Entre 30 y 50 años,SA2591-106188883,1,,,N/A,,,N/A,,,85 m²,A reformar,,N/A,Pareada,,,,,,,,,,,,,,,,,,,Este,,,,,,,
Piso en calle de Juan Guerra,LIDERPISO,3.227 €/m²,255.000 €,79 m²,28005,https://www.pisos.com/comprar/piso-rinconada28803-51721571785_271200/,2025-02-17,Error al procesar consumo,Error al procesar emisiones,79 m²,3,1,Entre 30 y 50 años,2712-003138,N/A,Gas natural,,,N/A,N/A,Acristalada,Comunitaria,69 m²,,Reformado,Frío y calor,Comunitario,,Amueblada,,1ª,,Tarima flotante,100 € (50€ comunidad y 50€ mancomunidad),Aluminio,,,,,,,N/A,Roble,,N/A,,Noroeste,N/A,,Natural,,,,
Dúplex en calle de Carmen Descalzo,BERLIN SV PROPERTIES,4.375 €/m²,350.000 €,80 m²,28005,https://www.pisos.com/comprar/duplex-venecia28804-39173531141_100500/,2024-11-14,Error al procesar consumo,Error al procesar emisiones,80 m²,2,2,,SA4861-Carmen Descalzo,1,,,,,,,,,,En buen estado,N/A,,,,,2ª,,,,,,,,,,,N/A,,,,N/A,,,,,,,,
Piso en Velilla de San Antonio,Estudio Velilla S.L.,2.783 €/m²,219.900 €,79 m²,28167,https://www.pisos.com/comprar/piso-velilla_de_san_antonio_centro_urbano-51714966882_100200/,2025-02-10,Error al procesar consumo,Error al procesar emisiones,79 m²,2,2,Entre 20 y 30 años,TC993-605559,,,,,,,,,,,En buen estado,,,,N/A,,1ª,,,,,,,,,,,,,,,,,,,,,,,
Chalet unifamiliar en calle de Nuestra Señora del Rosario,AGENCIA EUROPEA,980 €/m²,450.000 €,459 m²,28032,https://www.pisos.com/comprar/chalet_unifamiliar-camarma_de_esteruelas_centro_urbano-45093904105_512697/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,459 m²,3,3,Entre 10 y 20 años,4512697-INDEPENDIENTE,Más de 2,Gasoil,Más de 2,,N/A,,,,456 m²,95 m²,En buen estado,,Privado,,,,,,Gres,,PVC,,,,,,,,,,,,,,,,,,,
Piso en Velilla de San Antonio,Estudio Velilla S.L.,3.086 €/m²,160.500 €,52 m²,28167,https://www.pisos.com/comprar/piso-velilla_de_san_antonio_centro_urbano-46670050462_100200/,2025-02-03,Error al procesar consumo,Error al procesar emisiones,52 m²,1,1,Menos de 5 años,TC993-592174,,N/A,,,,N/A,N/A,,,,A estrenar,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
