nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Antigüedad,Conservación,Gastos de comunidad,Referencia,Armarios empotrados,Tipo suelo,Aire acondicionado,Calefacción,Garaje,Terraza,Jardín,Piscina,Tipo de casa,Vidrios dobles,Cocina equipada,Puerta blindada,Trastero,Orientación,Planta,Exterior,Carpintería exterior,Ascensor,Adaptado a personas con movilidad reducida,Superficie solar,Agua,Chimenea,Comedor,Soleado,Amueblado,Sistema de seguridad,Carpintería interior,Gas,Lavadero,Portero automático,Balcón,Urbanizado,Calle alumbrada,Calle asfaltada,Se aceptan mascotas,Teléfono,Interior,No se aceptan mascotas,Luz
Casa adosada en Navas del Rey,Estudio Villa De Getafe Sl,1.666 €/m²,120.000 €,72 m²,https://www.pisos.com/comprar/casa_adosada-navas_del_rey_centro_urbano-51682335896_100200/,Anuncio actualizado el 05/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,72 m²,,,,Entre 10 y 20 años,En buen estado,,TC1020-608734,,,,,,,,,Adosada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Casa adosada en calle de Somosierra,  s/n",BROSH,1.911 €/m²,414.900 €,217 m²,https://www.pisos.com/comprar/casa_adosada-navalcarnero_centro_urbano-3811730194_109700/,Anuncio actualizado el 18/12/2024,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,217 m²,,4,3,,A estrenar,,4525022-20466163,,,,,N/A,N/A,Privado,,Adosada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Navalcarnero,Estudio Ciudad De Navalcarnero Sl,2.696 €/m²,169.900 €,63 m²,https://www.pisos.com/comprar/piso-navalcarnero_centro_urbano-48378014872_100200/,Anuncio actualizado el 30/10/2024,"E, E","E, E",madrid_suroeste,63 m²,,,1,Entre 10 y 20 años,En buen estado,,TC1137-597525,,Gres,N/A,,1,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa adosada en San Martín de Valdeiglesias,Grupo Tizona Fuenlabrada,2.381 €/m²,262.000 €,110 m²,https://www.pisos.com/comprar/casa_adosada-san_martin_de_valdeiglesias_centro_urbano-49199914852_100500/,Anuncio actualizado el 12/11/2024,"D, D","D, D",madrid_suroeste,110 m²,99 m²,4,3,Entre 10 y 20 años,En buen estado,,SA4148-SAN MARTIN-FU-P,1,,N/A,,,N/A,N/A,N/A,Adosada,,,,,Sur,,,,,,55 m²,,,,,,,,,,,,,,,,,,,
Piso en Sur-Este,GARSIERRA,1.775 €/m²,158.000 €,89 m²,https://www.pisos.com/comprar/piso-sur_este28936-51688827838_108500/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,89 m²,,3,1,,,,AG588-VERACRUZ,N/A,Gres,,N/A,,No acristalada,,,,N/A,,N/A,,Sur,,N/A,,N/A,N/A,,,,,,,,,,,,,,,,,,,,
Dúplex en calle del General Asensio,CAPITAL HOME NAVALCARNERO,2.550 €/m²,249.900 €,98 m²,https://www.pisos.com/comprar/duplex-sevilla_la_nueva_centro_urbano-51748249538_101800/,Anuncio actualizado el 10/02/2025,"E, E","E, E",madrid_suroeste,98 m²,,3,2,Entre 20 y 30 años,,,IF76877-GENERAL ASENSIO,1,,,Central,,,,,,,N/A,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,
Casa pareada en Navalcarnero,INMOBILIARIA LA DOCTORA,1.598 €/m²,374.000 €,234 m²,https://www.pisos.com/comprar/casa_pareada-navalcarnero_centro_urbano-46725530117_100500/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,234 m²,,5,3,Entre 10 y 20 años,En buen estado,,SA155-NAV4658,1,Gres,,Gas natural,,,Privado,Comunitaria,Pareada,N/A,Cocina amueblada,,,,,,,,,237 m²,,,,,,,,,N/A,,,,,,,,,,
Chalet en Paseo de las Vegas,INMOBILIARIA LA DOCTORA,1.604 €/m²,314.500 €,196 m²,https://www.pisos.com/comprar/chalet-el_alamo_centro_urbano-48372706418_100500/,Anuncio actualizado el 08/01/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,196 m²,,4,3,,En buen estado,,SA155-NAV4671,,,,,,,,,,,,,,,,,,,,499 m²,,,,,,,,,,,,,,,,,,,
Casa pareada en Zarzalejo,Estudio Nuevo Arroyomolinos Sl,2.355 €/m²,610.000 €,259 m²,https://www.pisos.com/comprar/casa_pareada-arroyomolinos_zarzalejo-49239162717_100200/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,259 m²,,4,3,Entre 5 y 10 años,En buen estado,,TC940-600022,,,N/A,N/A,,,Privado,,Pareada,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en calle del Nuncio,VIVANTIAL,3.396 €/m²,180.000 €,53 m²,https://www.pisos.com/comprar/piso-alcorcon_casco_antiguo28921-50882065143_109300/,Anuncio actualizado el 17/01/2025,"E, E","E, E",madrid_suroeste,53 m²,44 m²,,,,Reformado,,EP618-15430-2025,,,,,,,,,,,,,,,3ª,,,N/A,,,,,,,,,,,,N/A,,,,,,,,,
Piso en San Martín de Valdeiglesias,CMS INMOBILIARIA.,841 €/m²,139.618 €,166 m²,https://www.pisos.com/comprar/piso-san_martin_de_valdeiglesias_centro_urbano-50079468508_108900/,Anuncio actualizado el 17/01/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,166 m²,,3,1,,,,XA282-8060,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa adosada en Centro,Alfa Navas del Rey,1.862 €/m²,162.000 €,87 m²,https://www.pisos.com/comprar/casa_adosada-san_martin_de_valdeiglesias_centro_urbano-51729175139_101000/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,87 m²,,3,1,,,,AF14-5972/891,,,,,,,,,Adosada,,,N/A,N/A,,,,,,,,,,,,N/A,,,,,,,,,,,,,,
Chalet en San Martín de Valdeiglesias,GARSIERRA,1.090 €/m²,300.000 €,275 m²,https://www.pisos.com/comprar/chalet-san_martin_de_valdeiglesias_centro_urbano-50908572533_108500/,Anuncio actualizado el 12/01/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,275 m²,,4,3,,,,AG588-COSTA DE MADRID,N/A,Tarima normal,,N/A,,,N/A,,,N/A,,N/A,N/A,Sur,,,,,N/A,,,,,,,,,,,,,,,,,,,,
Piso en Casco Antiguo,CMS INMOBILIARIA.,1.550 €/m²,107.000 €,69 m²,https://www.pisos.com/comprar/piso-alcorcon_casco_antiguo28921-50067558761_108900/,Anuncio actualizado el 17/01/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,69 m²,,3,1,,,,XA282-7974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en calle del Nuncio,VIVANTIAL,3.272 €/m²,180.000 €,55 m²,https://www.pisos.com/comprar/piso-alcorcon_casco_antiguo28921-50913076290_109300/,Anuncio actualizado el 17/01/2025,"D, D","D, D",madrid_suroeste,55 m²,46 m²,,,,Reformado,,EP618-15432-2025,,,,,,,,,,,,,,,3ª,,,N/A,,,,,,,,,,,,N/A,,,,,,,,,
"Piso en calle de Hornabajo, 4",Aliseda Inmobiliaria,415 €/m²,42.000 €,101 m²,https://www.pisos.com/comprar/piso-cadalso_de_los_vidrios_centro_urbano-49183031864_104500/,Anuncio actualizado el 31/12/2024,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,101 m²,,3,1,,,,ASR1-SRB0000078562,,,N/A,N/A,,,,N/A,,,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en calle de Caño Viejo,MIKASA INMOBILIARIA .,1.549 €/m²,790.000 €,510 m²,https://www.pisos.com/comprar/chalet-el_alamo_centro_urbano-35868076187_103800/,Anuncio actualizado el 24/01/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,510 m²,,12,9,,En buen estado,,INB591-825-25,N/A,,,Central,1,N/A,,,,,N/A,,N/A,,,,,,N/A,287 m²,,,,,N/A,,,,,,,,,,,,,,
Piso en Navalcarnero,Estudio Ciudad De Navalcarnero Sl,3.330 €/m²,129.900 €,39 m²,https://www.pisos.com/comprar/piso-navalcarnero_centro_urbano-41688298656_100200/,Anuncio actualizado el 03/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,39 m²,,1,,Más de 50 años,En buen estado,,TC1137-573039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en calle Nuncio del 1 Pl:03 Pt:C,TRENCADIS REAL ESTATE,3.396 €/m²,180.000 €,53 m²,https://www.pisos.com/comprar/piso-alcorcon_casco_antiguo28921-50084426939_109300/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,53 m²,,1,1,Entre 10 y 20 años,,,EP777-TRCOK241356,,,,,,,,,,,,N/A,,,3ª,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,
Chalet en Cadalso de los Vidrios,GARSIERRA,1.000 €/m²,150.000 €,150 m²,https://www.pisos.com/comprar/chalet-cadalso_de_los_vidrios_centro_urbano-47535940193_108500/,Anuncio actualizado el 10/10/2024,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,150 m²,,4,3,,,,AG588-NUEVA2,N/A,Gres,,N/A,,No acristalada,N/A,,,N/A,,N/A,N/A,Sur,,,,,N/A,,,,,,,,,,,,,,,,,,,,
Piso en calle del Camino de Leganés,BBCIN INMOBILIARIA,Error al procesar precio m²,A consultar,90 m²,https://www.pisos.com/comprar/piso-mostoles_centro-29200743677_997864/,Anuncio actualizado el 11/11/2024,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,90 m²,90 m²,3,1,Entre 30 y 50 años,Reformado,Entre 80 y 100 €,4997864-000083,2,Tarima flotante,Frío y calor,Gas natural,,,Comunitario,,,N/A,N/A,N/A,N/A,,2ª,N/A,Aluminio,N/A,N/A,,,,N/A,N/A,,,N/A,N/A,,N/A,,,,,N/A,,,,
Casa pareada en calle de Toledo,CAPITAL HOME NAVALCARNERO,2.307 €/m²,449.900 €,195 m²,https://www.pisos.com/comprar/casa_pareada-zona_de_las_carcavas_arroyo_del_bosque-51692510895_101800/,Anuncio actualizado el 11/02/2025,"C, C","C, C",madrid_suroeste,195 m²,,4,2,Entre 30 y 50 años,,,IF76877-pueblo,1,,,Central,1,N/A,Privado,Propia,Pareada,,N/A,N/A,N/A,,,,,,,305 m²,,,,,,N/A,,,N/A,,,,,,,,,,
Casa adosada en calle del Arroyo del Médico,CAPITAL HOME NAVALCARNERO,2.013 €/m²,434.900 €,216 m²,https://www.pisos.com/comprar/casa_adosada-arroyomolinos_castaneras-51758545331_101800/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,216 m²,,3,3,Entre 20 y 30 años,,,IF76877-Arroyo del medico,1,,,Central,1,,Privado,Comunitaria,Adosada,,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa adosada en calle Acueducto,INMOBILIARIA LA DOCTORA,1.609 €/m²,425.000 €,264 m²,https://www.pisos.com/comprar/casa_adosada-navalcarnero_centro_urbano-19260379961_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,264 m²,,3,4,Entre 20 y 30 años,En buen estado,,SA155-NAV4191,1,Gres,Frío,Gas natural,1,N/A,Privado,,Adosada,N/A,Cocina amueblada,N/A,N/A,,,,,,,,,,,,,,,,N/A,,,,,,,,,,
Piso en calle Zamora,CMS INMOBILIARIA.,1.524 €/m²,132.641 €,87 m²,https://www.pisos.com/comprar/piso-mostoles_centro28931-45078412437_108900/,Anuncio actualizado el 06/12/2024,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,87 m²,,2,1,,,,XA282-6521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en calle N/A,CAPITAL HOME NAVALCARNERO,Error al procesar precio m²,269.000 €,203 m²,https://www.pisos.com/comprar/chalet-villanueva_de_perales_centro_urbano-51740816335_101800/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,,,5,4,Entre 20 y 30 años,,,IF76877-calle cervantes n23 perales,1,,,Central,,,Privado,,,,N/A,,,,,,,,,203 m²,,,,,,,,,N/A,,,,,,,,,,
Piso en Plaza de Nicaragua,HIPOGES IBERIA,2.214 €/m²,155.000 €,70 m²,https://www.pisos.com/comprar/piso-sur_este28936-48371052663_100700/,Anuncio actualizado el 26/11/2024,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,70 m²,,,,Entre 30 y 50 años,,,ALRE-00429,,,,,,,,,,,,,,,5ª,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en Cadalso de los Vidrios,PRIMER PASO INMOBILIARIA,1.287 €/m²,197.000 €,153 m²,https://www.pisos.com/comprar/chalet-cadalso_de_los_vidrios_centro_urbano-40031453745_100500/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,153 m²,150 m²,3,3,,En buen estado,,SA4901-1959,,,,,,,Privado,,,,Cocina amueblada,,,,,,,,,4.920 m²,,,,,,,,,,,,,,,,,,,
Piso en calle del Nuncio,VIVANTIAL,3.103 €/m²,180.000 €,58 m²,https://www.pisos.com/comprar/piso-alcorcon_casco_antiguo28921-50909272217_109300/,Anuncio actualizado el 01/01/2025,"E, E","E, E",madrid_suroeste,58 m²,44 m²,,,,Reformado,,EP618-15431-2025,,,,,,,,,,,,,,,3ª,,,N/A,,,,,,,,,,,,N/A,,,,,,,,,
Piso en calle de los Mártires,CAPITAL HOME NAVALCARNERO,3.412 €/m²,139.900 €,41 m²,https://www.pisos.com/comprar/piso-el_alamo_centro_urbano-51734902285_101800/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,41 m²,,1,1,Entre 10 y 20 años,,,IF76877-CH2024040,1,,,Central,,,,,,,,,N/A,,1ª,,,N/A,,,,,,,,,,,,,,,,,,,,,
Piso en Avenida de Carlos V,INMOBILIARIA LA DOCTORA,2.666 €/m²,240.000 €,90 m²,https://www.pisos.com/comprar/piso-sur_este28937-50088212400_100500/,Anuncio actualizado el 25/01/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,90 m²,,3,1,Entre 30 y 50 años,En buen estado,,SA155-NAV4707,1,Gres,,Central,,N/A,Comunitario,,,N/A,Cocina amueblada,,,,5ª,N/A,,N/A,N/A,,,,,,,,,,,,,,,,,,,,
Casa adosada en Navalcarnero,INMOBILIARIA LA DOCTORA,2.291 €/m²,110.000 €,48 m²,https://www.pisos.com/comprar/casa_adosada-navalcarnero_centro_urbano-44201125555_100500/,Anuncio actualizado el 08/01/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,48 m²,,2,1,,En buen estado,,SA155-NAV4638,,,,,,,,,Adosada,,,,,,,,,,,135 m²,,,,,,,,,,,,,,,,,,,
"Piso en calle San Andrés. Esq C/ Labrador,  S/N",GESBRO,2.004 €/m²,204.464 €,102 m²,https://www.pisos.com/comprar/piso-navalcarnero_centro_urbano-4744686878_109700/,Anuncio actualizado el 18/12/2024,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,102 m²,,3,2,,A estrenar,,4525023-21349673,,,,,N/A,N/A,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en calle de los Mártires,INMOIBERIA,2.012 €/m²,161.000 €,80 m²,https://www.pisos.com/comprar/piso-el_alamo_centro_urbano-48417816902_527269/,Anuncio actualizado el 13/02/2025,"G, G","G, G",madrid_suroeste,80 m²,61 m²,3,1,Más de 50 años,En buen estado,,527269-9001-1-22382,,,,,,N/A,,,,,N/A,,,,2ª,N/A,,,,,,,,,,,,,,,,,,,,,,,
Piso en Casco Antiguo,SMART ESTATE,2.041 €/m²,149.000 €,73 m²,https://www.pisos.com/comprar/piso-alcorcon_casco_antiguo28921-49263058820_109300/,Anuncio actualizado el 15/11/2024,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,73 m²,63 m²,2,1,,,,EP977-2466,,,,,,,,,,,,,,,2ª,,,,,,,,,,,,,,,,,,,,,,,,
Piso en calle de Colón,HIPOGES IBERIA,2.365 €/m²,149.000 €,63 m²,https://www.pisos.com/comprar/piso-alcorcon_casco_antiguo28921-49194235164_100700/,Anuncio actualizado el 01/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,63 m²,63 m²,,,,,,GTRE-01419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en El Horreo,HOGARES SEVILLA LA NUEVA,1.258 €/m²,770.000 €,612 m²,https://www.pisos.com/comprar/chalet-sevilla_la_nueva_centro_urbano-50097953653_100500/,Anuncio actualizado el 19/12/2024,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,612 m²,,6,7,Más de 50 años,,,SA4642-00077/9778,1,,N/A,Gas natural,,N/A,N/A,Propia,,,,,N/A,,,,,,,1.463 m²,,N/A,N/A,,,,,,,,,,,,,,,,
Casa pareada en Cenicientos,FERGOSA GESTIÓN INMOBILIARIA,1.194 €/m²,92.000 €,77 m²,https://www.pisos.com/comprar/casa_pareada-cenicientos_centro_urbano-49258940787_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,77 m²,,5,2,Más de 50 años,En buen estado,,SA5648-cenicientos-1403,,,,,,,,,Pareada,,,,,,,,,,,99 m²,,,,,,,,,,,,,,,,,,,
Casa en Palacios 1,HOGARES SEVILLA LA NUEVA,1.573 €/m²,339.900 €,216 m²,https://www.pisos.com/comprar/casa-villanueva_de_perales_centro_urbano-50030179171_100500/,Anuncio actualizado el 25/01/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,216 m²,,3,3,Entre 20 y 30 años,,,SA4642-00078/9778,1,,N/A,N/A,1,,N/A,,,,,,,,,,,,,543 m²,,,N/A,,,,,,,,,,,,,,,,
Chalet en Coimbra-Guadarrama,Grupo Inmara Inmobiliaria Madrid SL.,2.006 €/m²,580.000 €,289 m²,https://www.pisos.com/comprar/chalet-coimbra_guadarrama-47503309201_108900/,Anuncio actualizado el 01/01/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,289 m²,,6,4,,En buen estado,,XA801-1767,,,,Gasoil,2,,,Propia,,,N/A,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,
Chalet en Zona Europa,M2 REAL ESTATE,1.492 €/m²,385.000 €,258 m²,https://www.pisos.com/comprar/chalet-zona_europa-50044633372_100500/,Anuncio actualizado el 11/01/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,258 m²,200 m²,4,3,Entre 10 y 20 años,,,SA606-REGA-00994/1852,,,,,,,N/A,,,,,,N/A,,,,,,,373 m²,,,,,,,,,,,,,,,,,,,
Casa adosada en calle de Félix Colomo,CAPITAL HOME NAVALCARNERO,2.215 €/m²,409.900 €,185 m²,https://www.pisos.com/comprar/casa_adosada-navalcarnero_centro_urbano-51689126955_101800/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,185 m²,,3,2,Entre 20 y 30 años,,,IF76877-FC8,1,,,Central,1,N/A,Privado,,Adosada,,N/A,N/A,N/A,,,,,,,203 m²,,,,,,,,,,,,,,,,,,,
Piso en Avenida Coronel Queipo de Llano,VIVANTIAL,2.126 €/m²,202.000 €,95 m²,https://www.pisos.com/comprar/piso-navalcarnero_centro_urbano-50913581707_109300/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,95 m²,89 m²,,,,,,EP618-15157-2025,,,,,,,,,,,,,,,3ª,,,N/A,,,,,,,,,,,,N/A,,,,,,,,,
Dúplex en Villa del Prado,GARSIERRA,1.350 €/m²,108.000 €,80 m²,https://www.pisos.com/comprar/duplex-villa_del_prado_centro_urbano-50004043507_108500/,Anuncio actualizado el 19/12/2024,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,80 m²,,2,2,,,,AG588-ROSA1,N/A,Tarima normal,,N/A,,No acristalada,,,,N/A,,N/A,,Sur,,N/A,,,,,,,,,,,,,,,,,,,,,,,
Casa pareada en calle de Theresa Zabell,CAPITAL HOME NAVALCARNERO,1.963 €/m²,549.900 €,280 m²,https://www.pisos.com/comprar/casa_pareada-brunete_centro_urbano-51679026396_101800/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,280 m²,,4,3,Entre 20 y 30 años,,,IF76877-Theresa Zabell,1,,,Central,1,,Privado,Propia,Pareada,,N/A,,,,,,,,,300 m²,,,,,N/A,,,,,,,,,,,,,,
Piso en Alamo (El),"GRUPO REIN, SL.",2.012 €/m²,161.000 €,80 m²,https://www.pisos.com/comprar/piso-el_alamo_centro_urbano-50930589267_100500/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,80 m²,61 m²,3,1,,,,SA673-9001-1-22382/2417,,,,,,,,,,,,,,,Bajo,,,,,,,,,,,,,,,,,,,,,,,,
Casa unifamiliar en Brunete,Alfa Madrid Oeste,2.472 €/m²,890.000 €,360 m²,https://www.pisos.com/comprar/casa_unifamiliar-brunete_centro_urbano-48399354487_101000/,Anuncio actualizado el 23/10/2024,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,360 m²,360 m²,4,4,,,,AF233-2408/12,,,,,,300,,N/A,Unifamiliar,,,N/A,N/A,Sur,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento en Navalcarnero,Engel & Völkers Madrid,7.720 €/m²,525.000 €,68 m²,https://www.pisos.com/comprar/apartamento-navalcarnero_centro_urbano-50072341990_101800/,Anuncio actualizado el 26/12/2024,"D, D","D, D",madrid_suroeste,68 m²,,2,2,,,,IF77045-I-00YVX4-W-02XZZC,1,,,Central,1,,,Propia,,,,,N/A,,2ª,,,N/A,,,,,,,N/A,,,,,,,,,,,,,,
Chalet en calle de la Esperanza,SERGIO ORTIZ MONJE,1.467 €/m²,499.000 €,340 m²,https://www.pisos.com/comprar/chalet-sevilla_la_nueva_centro_urbano-49173131430_100500/,Anuncio actualizado el 16/11/2024,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,340 m²,,5,5,Entre 30 y 50 años,En buen estado,,SA5597-106576388,1,,N/A,,1,N/A,N/A,N/A,,,,,N/A,Sur,,,,,,590 m²,,,,,,,,,,,,,,,,,,,
Piso en calle de Echegaray,HIPOGES IBERIA,2.260 €/m²,241.875 €,107 m²,https://www.pisos.com/comprar/piso-norte_universidad28932-49248806221_100700/,Anuncio actualizado el 01/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,107 m²,107 m²,,,,,,GTRE-00519,,,,,,,,,,,,,,,1ª,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Parque Ondarreta-Urtinsa,Altor Asesores,4.166 €/m²,375.000 €,90 m²,https://www.pisos.com/comprar/piso-parque_ondarreta_urtinsa28923-50847815627_108900/,Anuncio actualizado el 30/01/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,90 m²,80 m²,3,1,,,Entre 60 y 80 €,XA491-4114,,,,,,N/A,,,,,N/A,,,,1ª,N/A,,N/A,,,N/A,,,,,,,,,,,,,,,,,,
Piso en Avenida de la ONU,VIVANTIAL,1.767 €/m²,175.000 €,99 m²,https://www.pisos.com/comprar/piso-sur_este28936-45894070690_109300/,Anuncio actualizado el 28/01/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,99 m²,92 m²,,,,,,EP618-14193-2025,,,,,,N/A,,,,,,,,,6ª,,,N/A,,,,,,,,,,,,N/A,,,,,,,,,
Piso en Sur-Este,GARSIERRA,1.775 €/m²,158.000 €,89 m²,https://www.pisos.com/comprar/piso-sur_este28936-51719226894_108500/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,89 m²,,3,1,,,,AG588-VERACRUZ6,N/A,Gres,,N/A,,No acristalada,,,,N/A,,N/A,,Sur,,N/A,,N/A,N/A,,,,,,,,,,,,,,,,,,,,
Chalet en calle de las Suertes,CAPITAL HOME NAVALCARNERO,1.633 €/m²,414.990 €,254 m²,https://www.pisos.com/comprar/chalet-navalcarnero_centro_urbano-51696918674_101800/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,254 m²,,5,4,Entre 10 y 20 años,,,IF76877-SUERTES CDELAS,1,,,Central,1,N/A,,Comunitaria,,,N/A,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,
Dúplex en Villa del Prado,GARSIERRA,1.350 €/m²,108.000 €,80 m²,https://www.pisos.com/comprar/duplex-villa_del_prado_centro_urbano-50080240300_108500/,Anuncio actualizado el 29/12/2024,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,80 m²,,2,2,,,,AG588-ROSA3,N/A,Tarima normal,,N/A,,No acristalada,,,,N/A,,N/A,,Sur,,N/A,,,,,,,,,,,,,,,,,,,,,,,
Casa en calle de Galileo,HIPOGES IBERIA,1.442 €/m²,336.000 €,233 m²,https://www.pisos.com/comprar/casa-navalcarnero_centro_urbano-50012645458_100700/,Anuncio actualizado el 21/12/2024,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,233 m²,233 m²,,,,,,GTRE-00479,,,,,,,,,,,,,,,,,,,,233 m²,,,,,,,,,,,,,,,,,,,
Chalet en Parque Coimbra,INMOBILIARIA LA DOCTORA,Error al procesar precio m²,A consultar,233 m²,https://www.pisos.com/comprar/chalet-coimbra_guadarrama-49195485817_100500/,Anuncio actualizado el 20/01/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,233 m²,210 m²,4,4,Entre 20 y 30 años,En buen estado,,SA155-NAV4692,,,,,,,,,,,,,,,,,,,,250 m²,,,,,,,,,,,,,,,,,,,
Piso en calle de Federico García Lorca,CAPITAL HOME NAVALCARNERO,3.320 €/m²,166.000 €,50 m²,https://www.pisos.com/comprar/piso-el_alamo_centro_urbano-42501711710_101800/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,50 m²,,2,1,Menos de 5 años,,,IF76877-CHgarcialorcabajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en calle Nuncio del 1 Pl:03 Pt:E,TRENCADIS REAL ESTATE,3.272 €/m²,180.000 €,55 m²,https://www.pisos.com/comprar/piso-alcorcon_casco_antiguo28921-50062573332_109300/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,55 m²,,1,1,Entre 10 y 20 años,,,EP777-TRCOK241358,,,,,,,,,,,,N/A,,,3ª,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,
Piso en calle Nuncio del 1 Pl:03 Pt:D,TRENCADIS REAL ESTATE,3.396 €/m²,180.000 €,53 m²,https://www.pisos.com/comprar/piso-alcorcon_casco_antiguo28921-50010043179_109300/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,53 m²,,1,1,Entre 10 y 20 años,,,EP777-TRCOK241357,,,,,,,,,,,,,,,3ª,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,
