nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Superficie solar,Habitaciones,Baños,Antigüedad,Conservación,Referencia,Armarios empotrados,Carpintería interior,Tipo suelo,Vidrios dobles,Carpintería exterior,Aire acondicionado,Calefacción,Cocina equipada,Comedor,Garaje,Puerta blindada,Terraza,Jardín,Piscina,Orientación,Urbanizado,Calle alumbrada,Tipo de casa,Trastero,Planta,Exterior,Gastos de comunidad,Amueblado,Ascensor,Gas,Portero automático,Sistema de seguridad,Lavadero,Calle asfaltada,Teléfono,Chimenea,Soleado,Adaptado a personas con movilidad reducida,Se aceptan mascotas,Agua,Interior,Balcón,Luz,No se aceptan mascotas
Casa unifamiliar en Nuevo Aranjuez-Ciudad de las Artes-El Mirador,Estudio Mirador De Aranjuez Slu,1.291 €/m²,349.900 €,271 m²,https://www.pisos.com/comprar/casa_unifamiliar-nuevo_aranjuez_ciudad_de_las_artes_el_mirador-50903768177_100200/,Anuncio actualizado el 29/01/2025,"C, D","C, D",madrid_sur,271 m²,,,2,4,Entre 20 y 30 años,En buen estado,TC1202-588193,1,,,,,,,N/A,,,,,Privado,Propia,,,,Unifamiliar,,,,,,,,,,,,,,,,,,,,,
"Piso en calle Guadalajara, nº -",ALTAMIRA,Error al procesar precio m²,A consultar,53 m²,https://www.pisos.com/comprar/piso-getafe_distrito_centro28901-44220633584_103600/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,53 m²,53 m²,,2,1,,,AM9-2302##2302_0175_PE0001,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,
Piso en Centro,Estudio Leganés Santos Y Batallas S.L,2.571 €/m²,180.000 €,70 m²,https://www.pisos.com/comprar/piso-leganes_centro28912-50857013317_100200/,Anuncio actualizado el 29/01/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,70 m²,,,,1,Más de 50 años,En buen estado,TC908-607660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en calle de Castilla La Vieja, nº -",ALTAMIRA,Error al procesar precio m²,A consultar,77 m²,https://www.pisos.com/comprar/piso-naranjo_la_serna28941-40932669419_103600/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,77 m²,68 m²,,,,,,AM9-2302##2302_0246_PE0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa adosada en Buenos Aires-Cañada Real de Toledo-Puerta de Pinto,"ESTUDIO PINTO EGIDO, S.L.",2.480 €/m²,325.000 €,131 m²,https://www.pisos.com/comprar/casa_adosada-buenos_aires_canada_real_de_toledo_puerta_de_pinto-45865667417_100200/,Anuncio actualizado el 14/01/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,131 m²,,,3,1,Más de 50 años,A reformar,TC307-588889,,,,,,,,,,,,,,,,,,Adosada,,,,,,,,,,,,,,,,,,,,,
"Piso en Avenida de la Comunidad de Madrid, 4",Soldit Homes,1.835 €/m²,251.500 €,137 m²,https://www.pisos.com/comprar/piso-humanes_de_madrid_centro_urbano-5188264352_109700/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,137 m²,,,3,2,,A estrenar,4525408-21765174,,,,,,,,,,N/A,,N/A,,,,,,,N/A,3ª,,,,N/A,,,,,,,,,,,,,,,
Chalet en La Montaña-El Cortijo,REMAX ZIELO,1.493 €/m²,490.000 €,328 m²,https://www.pisos.com/comprar/chalet-la_montana_cortijo_de_san_isidro28300-51757542563_100500/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,328 m²,300 m²,610 m²,5,4,Entre 10 y 20 años,,SA4230-3610-00753/8893,1,,,,,N/A,Gas natural,,N/A,1,N/A,N/A,N/A,N/A,Sur,,,,N/A,,,,N/A,,,,,,,,,,,,N/A,,,,
Piso en calle de la Violeta,HIPOGES IBERIA,1.675 €/m²,129.000 €,77 m²,https://www.pisos.com/comprar/piso-cuevas_ilustracion-47563114915_100700/,Anuncio actualizado el 01/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,77 m²,77 m²,,,,,,GTRE-01133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en Nuevo Aranjuez-Ciudad de las Artes-El Mirador,ARANDOMUS,1.242 €/m²,589.000 €,474 m²,https://www.pisos.com/comprar/chalet-nuevo_aranjuez_ciudad_de_las_artes_el_mirador-51728781768_108500/,Anuncio actualizado el 04/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,474 m²,400 m²,,4,5,,,KI258-ADV0017,,,,,,N/A,Eléctrica,Americana,,,N/A,,,Privada,Este,,,,,,,,N/A,,,,,,,,,,,,,,,,
Casa adosada en calle Fonseca,ALFA HERMANOS PARDO,2.672 €/m²,620.000 €,232 m²,https://www.pisos.com/comprar/casa_adosada-centro_arroyo_la_fuente28944-45923576252_101000/,Anuncio actualizado el 05/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,232 m²,,,4,3,,,AF203-2241/100,Más de 2,,,,,,,,,,N/A,,,,Sur,,,Adosada,,,,,,,,,,,,,,,,,,,,,
Chalet en calle de Lope de Vega,Asian Consulting,2.215 €/m²,649.000 €,293 m²,https://www.pisos.com/comprar/chalet-grinon_centro_urbano-45037094576_109300/,Anuncio actualizado el 17/06/2024,Error al procesar consumo,Error al procesar emisiones,madrid_sur,293 m²,228 m²,1.179 m²,5,3,,En buen estado,EP613-495823,,,,,,Frío-calor,,N/A,20.00 m²,Privado,,,Privado,Privada,,,,,N/A,,,,,,,,,,,,,,,,,,,,
"Piso en calle San Cristóbal, nº -",ALTAMIRA,Error al procesar precio m²,A consultar,100 m²,https://www.pisos.com/comprar/piso-san_martin_de_la_vega_centro_urbano-35002337079_103600/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,100 m²,77 m²,,3,1,,,AM9-2302##2302_0066_PE0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Las Margaritas-Universidad,OPPORTUNITY HOMES,2.352 €/m²,399.990 €,170 m²,https://www.pisos.com/comprar/piso-las_margaritas_universidad28903-45004489397_515004/,Anuncio actualizado el 24/06/2024,Error al procesar consumo,Error al procesar emisiones,madrid_sur,170 m²,93 m²,,3,2,Entre 10 y 20 años,En buen estado,515004-000820,N/A,Roble macizo,Tarima flotante,N/A,Rotura de puente térmico,Climatizador por conductos,Gas natural,"Totalmente amueblada, con muebles lacados",Independiente 29m²,2,N/A,,Comunitario,Comunitaria,Suroeste,,,,N/A,2ª,N/A,Más de 100 €,N/A,N/A,N/A,N/A,Portero físico 24/7,N/A,,N/A,,N/A,N/A,,,,,,
Piso en Centro,OhKey Servicios inmobiliarios,2.634 €/m²,245.000 €,93 m²,https://www.pisos.com/comprar/piso-getafe_distrito_centro28902-50906182561_109300/,Anuncio actualizado el 14/02/2025,"E, D","E, D",madrid_sur,93 m²,75 m²,,3,2,Más de 50 años,Reformado,EP577-7236,,,Tarima,,,,Gas natural,Independiente,,,,,,,Este,,,,N/A,3ª,N/A,40,,,,,,,,,,,,,,,,,
Piso en calle Clvillalba (De) 3,HIPOGES IBERIA,2.310 €/m²,171.000 €,74 m²,https://www.pisos.com/comprar/piso-avanzada_la_cueva28945-49233230333_100700/,Anuncio actualizado el 01/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,74 m²,74 m²,,,,,,GTRE-02267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Avanzada-La Cueva,GARSIERRA,2.941 €/m²,191.190 €,65 m²,https://www.pisos.com/comprar/piso-avanzada_la_cueva28945-49171193889_108500/,Anuncio actualizado el 20/12/2024,Error al procesar consumo,Error al procesar emisiones,madrid_sur,65 m²,,,3,1,,,AG588-AVILA1,N/A,,,N/A,,,N/A,Individual,,,N/A,,,,Sur,,,,,,N/A,,,,,,,,,,,,N/A,,,,,,
Piso en San Martín de la Vega,Gestiones Inmobiliarias Madridsur.,1.513 €/m²,165.000 €,109 m²,https://www.pisos.com/comprar/piso-san_martin_de_la_vega_centro_urbano-50852243888_108500/,Anuncio actualizado el 28/01/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,109 m²,,,3,2,,,AG637-1795,N/A,,,,,N/A,Eléctrica,Individual,,,,No acristalada,,Comunitaria,,,,,N/A,,N/A,,,,,,,,,,,,,,,,,,
Piso en Kelvinator,RAYMU,2.177 €/m²,98.000 €,45 m²,https://www.pisos.com/comprar/piso-getafe_distrito_centro28902-48403788410_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,45 m²,,,1,1,Más de 50 años,,SA4177-SE99V318V-CAN0000185/9804,,,,,,,,,,,,,,,,,,,,2ª,,,,,,,,,,,,,,,,,,,
Piso en San Martín de la Vega,CMS INMOBILIARIA.,994 €/m²,174.969 €,176 m²,https://www.pisos.com/comprar/piso-san_martin_de_la_vega_centro_urbano-50025597083_108900/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,176 m²,,,4,3,,,XA282-8059,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en calle de Ernest Lluch, 4",Agencia no disponible,3.802 €/m²,365.000 €,96 m²,https://www.pisos.com/comprar/piso-vivero_hospital_universidad-50039666831_109800/,Anuncio actualizado el 03/01/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,96 m²,83 m²,,3,2,Entre 10 y 20 años,En buen estado,21673304,Más de 2,,Gres,,Aluminio,Frío y calor,Gas natural,N/A,,1,N/A,,Comunitario,Comunitaria,Noroeste,,,,N/A,6ª,N/A,Más de 100 €,,N/A,,,,,,,,N/A,,,,,,,
"Casa adosada en calle Jorge Manrique, 3",eXp Realty,1.834 €/m²,299.000 €,163 m²,https://www.pisos.com/comprar/casa_adosada-cubas_de_la_sagra_centro_urbano-51680300012_100500/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,163 m²,140 m²,200 m²,4,3,,,SA3689-EXP08712/8930,1,,,,,,N/A,,,1,,N/A,N/A,,Este,,,Adosada,N/A,,,,,,,,,,,N/A,,,,,N/A,,,,
Piso en San Martín de la Vega,Gestiones Inmobiliarias Madridsur.,2.666 €/m²,232.000 €,87 m²,https://www.pisos.com/comprar/piso-san_martin_de_la_vega_centro_urbano-48425343871_108500/,Anuncio actualizado el 30/12/2024,Error al procesar consumo,Error al procesar emisiones,madrid_sur,87 m²,,,3,2,,,AG637-1755,N/A,,,,,N/A,,,,,,,,Comunitaria,,,,,N/A,,N/A,,,,,,,,,,,,,,,,,,
Piso en San Martín de la Vega,Gestiones Inmobiliarias Madridsur.,2.215 €/m²,226.000 €,102 m²,https://www.pisos.com/comprar/piso-san_martin_de_la_vega_centro_urbano-51694499194_108500/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,102 m²,,,3,2,,,AG637-1801,N/A,,,,,N/A,Gas natural,Individual,,,,,,,,,,,N/A,,N/A,,,,,,,,,,,,,,,,,,
Piso en calle de Ibiza,HIPOGES IBERIA,2.000 €/m²,232.000 €,116 m²,https://www.pisos.com/comprar/piso-humanes_de_madrid_centro_urbano-48428936433_100700/,Anuncio actualizado el 01/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,116 m²,116 m²,,,,,,GTRE-01120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Barrio,TAMCASA INMOBILIARIA,856 €/m²,87.400 €,102 m²,https://www.pisos.com/comprar/piso-casco_antiguo_norte-49250219529_103800/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,102 m²,,,4,2,,,INB305-ES-Ciempozuelos,,,,,,,,,,,,,,,,,,,,3ª,N/A,,,,,,,,,,,,,,,,,,
Dúplex en San Martín de la Vega,Gestiones Inmobiliarias Madridsur.,1.720 €/m²,218.500 €,127 m²,https://www.pisos.com/comprar/duplex-san_martin_de_la_vega_centro_urbano-48350442883_108500/,Anuncio actualizado el 30/12/2024,Error al procesar consumo,Error al procesar emisiones,madrid_sur,127 m²,,,3,2,,,AG637-1690,N/A,,,,,N/A,,,,,,,,,,,,,N/A,,N/A,,,,,,,,,,,,,,,,,,
Chalet en San Martín de la Vega,Gestiones Inmobiliarias Madridsur.,2.425 €/m²,228.000 €,94 m²,https://www.pisos.com/comprar/chalet-san_martin_de_la_vega_centro_urbano-48419045548_108500/,Anuncio actualizado el 30/12/2024,Error al procesar consumo,Error al procesar emisiones,madrid_sur,94 m²,,,1,1,,,AG637-1728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Avanzada-La Cueva,GARSIERRA,2.941 €/m²,191.190 €,65 m²,https://www.pisos.com/comprar/piso-avanzada_la_cueva28945-47589738198_108500/,Anuncio actualizado el 24/12/2024,Error al procesar consumo,Error al procesar emisiones,madrid_sur,65 m²,,,3,1,,,AG588-ALAVA2,N/A,,,N/A,,,N/A,Individual,,,N/A,,,,Sur,,,,,,N/A,,,,,,,,,,,,N/A,,,,,,
Piso en Casco Antiguo,MERCASER,1.646 €/m²,212.400 €,129 m²,https://www.pisos.com/comprar/piso-san_martin_de_la_vega_centro_urbano-47594810735_100500/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,129 m²,,,2,3,Entre 10 y 20 años,,SA1924-C1-07235-0001/7208,1,,,,,,,,,,,N/A,,Comunitaria,,,,,,1ª,,,,,,,,,,,,,,,,,,,
"Piso en calle de Domingo Malagón, 10",Agencia no disponible,1.892 €/m²,246.000 €,130 m²,https://www.pisos.com/comprar/piso-parla_centro28982-50902426907_109800/,Anuncio actualizado el 26/01/2025,"E, E","E, E",madrid_sur,130 m²,90 m²,,3,2,Entre 20 y 30 años,En buen estado,21718216,Más de 2,,Parquet,,,,Gas natural,N/A,,,N/A,,,Comunitaria,Noroeste,,,,N/A,3ª,N/A,Entre 80 y 100 €,,N/A,,,,,,,,,,,,,,,
"Piso en calle Móstoles Con Esquina Avenida Cantabria,  S/N",GESTION 3,2.987 €/m²,233.000 €,78 m²,https://www.pisos.com/comprar/piso-naranjo_la_serna28942-4047680413_109700/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,78 m²,,,2,2,,A estrenar,1097-20639673,,,,,,,,,,N/A,,,,,,,,,N/A,3ª,,,,N/A,,,,,,,,,,,,,,,
Piso en calle Closiris 1,HIPOGES IBERIA,1.813 €/m²,156.000 €,86 m²,https://www.pisos.com/comprar/piso-humanes_de_madrid_centro_urbano-50849100552_100700/,Anuncio actualizado el 01/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,86 m²,86 m²,,,,,,GTRE-01375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en calle Clrio Duero 13 ,3 B",HIPOGES IBERIA,1.614 €/m²,134.000 €,83 m²,https://www.pisos.com/comprar/piso-villayuventus_renfe28981-48361052828_100700/,Anuncio actualizado el 01/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,83 m²,83 m²,,,,,,GTRE-01107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Las Aves-Jardín de Oñate,INMOBILIARIA INTERNACIONAL CPM,1.620 €/m²,235.000 €,145 m²,https://www.pisos.com/comprar/piso-las_aves_jardin_de_onate28300-51749780207_100500/,Anuncio actualizado el 20/02/2025,"G, G","G, G",madrid_sur,145 m²,131 m²,,4,2,Entre 30 y 50 años,En buen estado,SA3051-08267,1,,,,,,,,,,,N/A,,,Sur,,,,N/A,3ª,N/A,,,N/A,,,,,,,,,,,,,N/A,,
Casa pareada en Leganés Norte,Area Inmoleganes 2024 Slu,2.061 €/m²,639.000 €,310 m²,https://www.pisos.com/comprar/casa_pareada-leganes_norte28919-48344672623_100200/,Anuncio actualizado el 24/10/2024,"D, E","D, E",madrid_sur,310 m²,,,4,4,Entre 20 y 30 años,En buen estado,TC1183-586862,,,,,,N/A,N/A,,,1,,,,Comunitaria,,,,Pareada,,,,,,,,,,,,,,,,,,,,,
Piso en San Isidro,TRENCADIS REAL ESTATE,1.634 €/m²,103.000 €,63 m²,https://www.pisos.com/comprar/piso-san_isidro_distrito28901-51724838834_109300/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,63 m²,,,2,1,Más de 50 años,,EP777-TRCOK25105,,,,,,,,,,,,,,,,,,,,4ª,,,,,,,,,,,,,,,,,,,
"Piso en Avenida del Caballero de la Triste Figura, 3",GESBRO,Error al procesar precio m²,336.000 €,A estrenar,https://www.pisos.com/comprar/piso-los_molinos_los_olivos28906-5199138411_109700/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,,,,,,,A estrenar,4525023-0,,,,,,,,,,N/A,,N/A,,,,,,,N/A,,,,,N/A,,,,,,,,,,,,,,,
Piso en calle Cleras 3 Algodor,HIPOGES IBERIA,1.661 €/m²,196.000 €,118 m²,https://www.pisos.com/comprar/piso-aranjuez_centro-49218809932_100700/,Anuncio actualizado el 01/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,118 m²,118 m²,,,,,,GTRE-01238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en San Martín de la Vega,Gestiones Inmobiliarias Madridsur.,3.285 €/m²,460.000 €,140 m²,https://www.pisos.com/comprar/casa-san_martin_de_la_vega_centro_urbano-51747149089_108500/,Anuncio actualizado el 15/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,140 m²,,,4,3,,,AG637-1803,N/A,,,,,N/A,N/A,Individual,,,N/A,,N/A,Privada,,,,,N/A,,,,,,,,,,,,,,,,,,,,
Piso en calle de Paraguay,HIPOGES IBERIA,1.860 €/m²,139.500 €,75 m²,https://www.pisos.com/comprar/piso-avanzada_la_cueva28944-48367076734_100700/,Anuncio actualizado el 30/10/2024,Error al procesar consumo,Error al procesar emisiones,madrid_sur,75 m²,75 m²,,,,Más de 50 años,,REMO-02545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet adosado en Naranjo-La Serna,GESTION 3,2.526 €/m²,439.680 €,174 m²,https://www.pisos.com/comprar/chalet_adosado-naranjo_la_serna-46737647020_500185/,Anuncio actualizado el 05/12/2024,Error al procesar consumo,Error al procesar emisiones,madrid_sur,174 m²,174 m²,124 m²,4,3,Entre 10 y 20 años,En buen estado,500185-008398,Más de 2,N/A,Tarima flotante,N/A,Aluminio,Frío y calor,Gas natural,Amueblada,Con salida a patio,2,De entrada,N/A,,,Noroeste,N/A,N/A,,,,,,,,,,N/A,En sotano,N/A,,,,,,,,,,
Piso en Avenida de Europa,CAPITAL HOME NAVALCARNERO,2.339 €/m²,269.000 €,115 m²,https://www.pisos.com/comprar/piso-parque_europa_el_prado-51764504143_101800/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,115 m²,,,3,2,Entre 20 y 30 años,,IF76877-PINTO,1,,,,,,Central,N/A,,1,,,,,,,,,,,,,N/A,N/A,,,,N/A,,,,,,,,,,,
Piso en Las Margaritas-Universidad,OhKey Servicios inmobiliarios,1.333 €/m²,232.000 €,174 m²,https://www.pisos.com/comprar/piso-las_margaritas_universidad28903-50052702291_109300/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,174 m²,140 m²,,,,Más de 50 años,A reformar,EP577-7224,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Travesía de Pío XII,HIPOGES IBERIA,2.228 €/m²,156.000 €,70 m²,https://www.pisos.com/comprar/piso-pintores_ferial28982-48381467164_100700/,Anuncio actualizado el 01/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,70 m²,70 m²,,,,,,GTRE-02214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Avanzada-La Cueva,GARSIERRA,2.941 €/m²,191.190 €,65 m²,https://www.pisos.com/comprar/piso-avanzada_la_cueva28945-50084545067_108500/,Anuncio actualizado el 28/12/2024,Error al procesar consumo,Error al procesar emisiones,madrid_sur,65 m²,,,3,1,,,AG588-ALAVA,N/A,,,N/A,,,N/A,Individual,,,N/A,,,,Sur,,,,,,N/A,,,,,,,,,,,,N/A,,,,,,
Piso en San Martín de la Vega,Gestiones Inmobiliarias Madridsur.,2.348 €/m²,239.500 €,102 m²,https://www.pisos.com/comprar/piso-san_martin_de_la_vega_centro_urbano-50835409990_108500/,Anuncio actualizado el 25/01/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,102 m²,,,3,2,,,AG637-1794,N/A,,Tarima normal,,,N/A,Gas natural,Individual,,,,,,,,,,,N/A,,N/A,,,N/A,,,,,,,,,,,,,,,
"Piso en calle Móstoles Con Esquina Avenida Cantabria,  S/N",GESTION 3,2.598 €/m²,265.000 €,102 m²,https://www.pisos.com/comprar/piso-naranjo_la_serna28942-4016793459_109700/,Anuncio actualizado el 15/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,102 m²,,,2,2,,A estrenar,1097-20639674,,,,,,,,,,N/A,,,,,,,,,N/A,3ª,,,,N/A,,,,,,,,,,,,,,,
"Piso en calle Móstoles Con Esquina Avenida Cantabria,  S/N",GESTION 3,3.380 €/m²,240.000 €,71 m²,https://www.pisos.com/comprar/piso-naranjo_la_serna28942-4053346484_109700/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,71 m²,,,2,2,,A estrenar,1097-20639670,,,,,,,,,,N/A,,,,,,,,,N/A,2ª,,,,N/A,,,,,,,,,,,,,,,
Chalet en San Martín de la Vega,Gestiones Inmobiliarias Madridsur.,1.840 €/m²,265.000 €,144 m²,https://www.pisos.com/comprar/chalet-san_martin_de_la_vega_centro_urbano-49199766176_108500/,Anuncio actualizado el 30/12/2024,Error al procesar consumo,Error al procesar emisiones,madrid_sur,144 m²,,,3,3,,,AG637-1766,N/A,,Tarima flotante,,,N/A,Gas natural,Individual,,,,No acristalada,,,Sur,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Parla,MR. HOUSE REAL ESTATE,1.700 €/m²,224.500 €,132 m²,https://www.pisos.com/comprar/piso-parla_este28983-51671609468_100500/,Anuncio actualizado el 15/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,132 m²,83 m²,,2,2,Entre 10 y 20 años,En buen estado,SA208-8696PV-M,1,,Tarima flotante,N/A,,,Gas natural,Cocina amueblada,,1,N/A,,Comunitario,,,,,,N/A,6ª,N/A,,,N/A,,,,,,,,,N/A,,,,,,
Piso en Centro,OhKey Servicios inmobiliarios,2.936 €/m²,558.000 €,190 m²,https://www.pisos.com/comprar/piso-getafe_distrito_centro28902-49217042071_109300/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,190 m²,178 m²,,3,3,Entre 20 y 30 años,En buen estado,EP577-7205,,,Tarima,,N/A,N/A,Gas natural,Americana,,,,N/A,,,,,,,,3ª,N/A,80,,N/A,,,,,,,,,,,,,,,
Piso en calle de San Blas,HIPOGES IBERIA,2.148 €/m²,101.000 €,47 m²,https://www.pisos.com/comprar/piso-humanes_de_madrid_centro_urbano-49211685363_100700/,Anuncio actualizado el 01/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,47 m²,47 m²,,,,,,GTRE-00453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Parla Centro,SMART ESTATE,1.706 €/m²,215.000 €,126 m²,https://www.pisos.com/comprar/piso-calle_pinto_san_roque-49258454868_109300/,Anuncio actualizado el 13/11/2024,Error al procesar consumo,Error al procesar emisiones,madrid_sur,126 m²,,,3,2,,,EP977-2461,,,,,,,,,,,,,,,,,,,,1ª,,,,,,,,,,,,,,,,,,,
Casa unifamiliar en Los Cestos-Belén-Las Eras,ALFA RESIDENCIAL SESEÑA,952 €/m²,405.000 €,425 m²,https://www.pisos.com/comprar/casa_unifamiliar-los_cestos_belen_las_eras-51673734793_101000/,Anuncio actualizado el 06/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,425 m²,,,6,3,,,AF230-2340/45,,,,,,Frío,,,,,,,,N/A,,,,Unifamiliar,,,,,,,,,,,,,,,,,,,,,
Casa rústica en calle de la Ermita,Engel & Völkers Madrid,939 €/m²,1.250.000 €,1.331 m²,https://www.pisos.com/comprar/casa_rustica-grinon_centro_urbano-49232201870_101800/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,1.331 m²,,5.128 m²,11,5,Más de 50 años,,IF77045-I-00YTB8-W-02X4YQ,1,,,,,,Central,,,1,,,Privado,Propia,,,,Rústica,,,,,,,,,,,,,,,,,,,,,
Piso en El Bercial,CMS INMOBILIARIA.,1.626 €/m²,126.841 €,78 m²,https://www.pisos.com/comprar/piso-getafe_el_bercial28907-50024537342_108900/,Anuncio actualizado el 18/01/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,78 m²,,,2,1,,,XA282-8054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa pareada en calle de Pilar Miró,MR. HOUSE REAL ESTATE,2.464 €/m²,345.000 €,140 m²,https://www.pisos.com/comprar/casa_pareada-parla_la_ermita28981-43419694156_100500/,Anuncio actualizado el 01/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,140 m²,,227 m²,4,3,,A estrenar,SA208-8319ON-F,1,,Gres,N/A,,,Eléctrica,,,,N/A,,,,,,,Pareada,,,,,,,,,,,,,,,,,,,,,
Piso en calle de Lima,Aliseda Inmobiliaria,1.884 €/m²,147.000 €,78 m²,https://www.pisos.com/comprar/piso-avanzada_la_cueva28944-41715087453_105900/,Anuncio actualizado el 24/10/2024,Error al procesar consumo,Error al procesar emisiones,madrid_sur,78 m²,,,3,1,,,AN1-ANT00030684652,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,
Chalet en San Martín de la Vega,Gestiones Inmobiliarias Madridsur.,1.365 €/m²,280.000 €,205 m²,https://www.pisos.com/comprar/chalet-san_martin_de_la_vega_centro_urbano-48341571318_108500/,Anuncio actualizado el 30/12/2024,Error al procesar consumo,Error al procesar emisiones,madrid_sur,205 m²,,,3,3,,,AG637-1748,N/A,,Parquet,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en San Martín de la Vega,Gestiones Inmobiliarias Madridsur.,2.010 €/m²,195.000 €,97 m²,https://www.pisos.com/comprar/piso-san_martin_de_la_vega_centro_urbano-50897610466_108500/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,97 m²,,,3,2,,,AG637-1796,N/A,,Gres,,,,N/A,Individual,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,
Piso en Paseo de la Cárcava,Cal Estudios Inmobiliarios,1.100 €/m²,99.000 €,90 m²,https://www.pisos.com/comprar/piso-grinon_centro_urbano-42582070148_106000/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,90 m²,,,3,1,Entre 30 y 50 años,,NI90-10036,,,,,,,,,,,,N/A,,,,,,,,3ª,,,,,,,,,,,,,,,,,,,
