nombre,agencia,precio_m2,precio,superficie,codigo_postal,href,actualizacion,consumo,emisiones,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Antigüedad,Gastos de comunidad,Referencia,Amueblado,Armarios empotrados,Tipo suelo,Calefacción,Garaje,Orientación,Superficie solar,Tipo de casa,Agua,Comedor,Terraza,Conservación,Aire acondicionado,Cocina equipada,Jardín,Trastero,Piscina,Vidrios dobles,Chimenea,Sistema de seguridad,Puerta blindada,Balcón,Urbanizado,Lavadero,Teléfono,Exterior,Interior,Calle alumbrada,Calle asfaltada,Ascensor,Adaptado a personas con movilidad reducida,Se aceptan mascotas,Soleado,Carpintería exterior,Carpintería interior,Portero automático,Gas
Casa adosada en Patones,ALFA SIERRA NORTE,1.707 €/m²,210.000 €,123 m²,28107,https://www.pisos.com/comprar/casa_adosada-patones_centro_urbano-50846241962_101000/,2025-02-11,Error al procesar consumo,Error al procesar emisiones,123 m²,104 m²,3,3,,,,AF189-2216/67,,,,,,,,Adosada,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en calle de Bulgaria,  s/n","PREMIER ESPAÑA, S.A.",2.906 €/m²,749.900 €,258 m²,28903,https://www.pisos.com/comprar/piso-nuevo_tres_cantos-5009242572_109700/,2025-02-17,Error al procesar consumo,Error al procesar emisiones,258 m²,,4,2,,,,4991481-21604046,,,,,N/A,,,,,,N/A,A estrenar,,,,N/A,,,,,,,,,,,,,,N/A,,,,,,,
Chalet en Camino de las Canteras,BREM GLOBAL INMOBILIARIA,1.407 €/m²,380.000 €,270 m²,28021,https://www.pisos.com/comprar/chalet-el_berrueco_centro_urbano-45865969693_100500/,2025-01-31,Error al procesar consumo,Error al procesar emisiones,270 m²,,5,2,,,,SA5479-103319408/11756,N/A,1,,N/A,1,,1.044 m²,,N/A,,N/A,,N/A,,N/A,N/A,Comunitaria,,N/A,,N/A,,N/A,,N/A,,,,,,,,,,,,
"Casa en calle del Volga, 2",Fives Real Estate,1.836 €/m²,2.295.000 €,1.250 m²,28134,https://www.pisos.com/comprar/casa-ciudalcampo_fuente_del_fresno28707-48337813099_108500/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,1.250 m²,1.080 m²,8,12,,,,AG376-LUX0008,,N/A,Tarima normal,Gas natural,,Suroeste,,,,,,,N/A,Individual,N/A,N/A,Privada,N/A,N/A,,N/A,,,,,,,,,,N/A,N/A,,,,,
Piso en Avenida Alejandro Rubio,CLN REAL ESTATE,2.333 €/m²,126.000 €,54 m²,28067,https://www.pisos.com/comprar/piso-guadalix_de_la_sierra_centro_urbano-50062403335_528556/,2025-02-12,"B, B","B, B",54 m²,45 m²,2,1,4ª,Entre 20 y 30 años,,4528556-Piso Guadalix,N/A,Más de 2,,,1,Noreste,,,,,N/A,A reformar,,,Comunitario,,Comunitaria,,,,,,,,,N/A,,,,,,,N/A,,,,
Dúplex en calle de la Malacuera,NOOW URBAN,1.638 €/m²,172.000 €,105 m²,28151,https://www.pisos.com/comprar/duplex-torrelaguna_centro_urbano-51721806646_526198/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,105 m²,70 m²,2,2,2ª,Entre 10 y 20 años,,4526198-000048,N/A,2,Cerámica,Gas natural,,Oeste,,,,,,En buen estado,Aire acondicionado,,,N/A,,N/A,,,N/A,,,,,N/A,,,,N/A,,,,,,,
Casa en Avenida de Madrid,Neinor Homes,1.923 €/m²,615.550 €,320 m²,28129,https://www.pisos.com/comprar/casa-san_agustin_del_guadalix_centro_urbano-50020128892_109700/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,320 m²,,4,3,,,,-9233,,,,,,,,,,,,A estrenar,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en calle del Montecillo,Urbanissimo  Real Estate,1.325 €/m²,395.000 €,298 m²,28085,https://www.pisos.com/comprar/chalet-miraflores_de_la_sierra_centro_urbano-48378911118_100500/,2025-01-31,Error al procesar consumo,Error al procesar emisiones,298 m²,,4,2,,,,SA3986-Miraflores de la Sierra-  Independiente,,,,Gasoil,1,,600 m²,,,,N/A,En buen estado,,,Privado,,Propia,,,,,,,,,,,,,,,,,,,,
"Piso en calle de Bulgaria,  s/n","PREMIER ESPAÑA, S.A.",2.296 €/m²,649.900 €,283 m²,28903,https://www.pisos.com/comprar/piso-nuevo_tres_cantos-4960178174_109700/,2025-02-17,Error al procesar consumo,Error al procesar emisiones,283 m²,,3,2,,,,4991481-21547029,,,,,N/A,,,,,,N/A,A estrenar,,,,N/A,,,,,,,,,,,,,,N/A,,,,,,,
Casa adosada en Centro Urbano,Alfa Inmo Club,2.168 €/m²,475.000 €,219 m²,28134,https://www.pisos.com/comprar/casa_adosada-san_sebastian_de_los_reyes_casco_antiguo28701-5915714412_101000/,2025-01-29,Error al procesar consumo,Error al procesar emisiones,219 m²,,3,3,,,,AF125-1930/8,,,,,,Sur,,Adosada,,,,,Frío,,,,,,,,,,,,,,,,,,,,,,,,
