nombre,agencia,precio_m2,precio,superficie,codigo_postal,href,actualizacion,consumo,emisiones,Superficie construida,Habitaciones,Baños,Antigüedad,Conservación,Referencia,Tipo suelo,Aire acondicionado,Calefacción,Ascensor,Superficie útil,Gastos de comunidad,Amueblado,Armarios empotrados,Puerta blindada,Terraza,Orientación,Planta,Exterior,Cocina equipada,Comedor,Trastero,Portero automático,Soleado,Garaje,Vidrios dobles,Agua,Interior,Piscina,Carpintería interior,Carpintería exterior,Gas,Lavadero,Sistema de seguridad,Adaptado a personas con movilidad reducida,Balcón,Jardín,Superficie solar,Tipo de casa,Se aceptan mascotas,No se aceptan mascotas,Teléfono,Chimenea,Calle alumbrada,Urbanizado,Calle asfaltada,Luz
Piso en Valdezarza,Huspy,4.629 €/m²,250.000 €,54 m²,28079,https://www.pisos.com/comprar/piso-valdezarza28039-51765853997_108500/,2025-02-17,Error al procesar consumo,Error al procesar emisiones,54 m²,2,2,,,AG662-d5402036-1af6-4416-aaaf-8cdc29c49a90,,N/A,,,,,,,,,Norte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en calle de Jesús del Pino,"ESTUDIO VILLA DE VALLECAS 2018, S.L.U.",2.165 €/m²,171.050 €,79 m²,28079,https://www.pisos.com/comprar/piso-casco_historico_de_vallecas28031-50925303382_100200/,2025-02-20,"E, E","E, E",79 m²,3,1,Más de 50 años,Reformado,TC212-608015,,,N/A,,,,,,,N/A,,2ª,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en calle del Vizconde de Arlesson,Estudio Visionpro San Diego Slu,3.177 €/m²,143.000 €,45 m²,28079,https://www.pisos.com/comprar/piso-san_diego28018-49181288374_100200/,2025-02-19,"G, F","G, F",45 m²,2,,Más de 50 años,En buen estado,TC1120-601766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en calle de Padilla,EXCLUSIVE WORLD HOME,15.067 €/m²,2.019.000 €,134 m²,28079,https://www.pisos.com/comprar/piso-guindalera28028-49196285029_100500/,2025-01-19,Error al procesar consumo,Error al procesar emisiones,134 m²,3,4,,En buen estado,SA5433-8912,,N/A,,N/A,,,,1,,,,4ª,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,
Piso en calle del General Ricardos,Linkcasa Servicios  Inmobiliario,2.137 €/m²,265.000 €,124 m²,28079,https://www.pisos.com/comprar/piso-opanel28019-47569278129_100500/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,124 m²,3,2,Más de 50 años,,SA1457-G-2116/5300,,,Gas natural,N/A,114 m²,Entre 80 y 100 €,,1,,,Noroeste,2ª,,,,,,,,,N/A,,,,,,,,,N/A,,,,,,,,,,,
Piso en calle del General Díaz Porlier,FORTUNY MADRID REAL ESTATE,10.499 €/m²,1.364.900 €,130 m²,28079,https://www.pisos.com/comprar/piso-lista_barrio28001-50872945039_100500/,2025-02-04,Error al procesar consumo,Error al procesar emisiones,130 m²,2,2,,En buen estado,SA2499-3497,,N/A,,N/A,,,,,,,,6ª,,,,,,,,,,N/A,,,,,,,N/A,,,,,,,,,,,,
Piso en calle Castelló,HERNAN INMOBILIARIA,14.380 €/m²,719.000 €,50 m²,28079,https://www.pisos.com/comprar/piso-salamanca_castellana28006-51728538481_100500/,2025-02-17,Error al procesar consumo,Error al procesar emisiones,50 m²,2,2,Más de 50 años,En buen estado,SA5515-107350453,,N/A,,N/A,43 m²,Entre 20 y 40 €,,1,,,,3ª,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,
Casa en calle de Agustín Lara,CLN REAL ESTATE,4.724 €/m²,1.200.000 €,254 m²,28079,https://www.pisos.com/comprar/casa-moncloa_aravaca_aravaca28023-47568672435_528556/,2025-02-12,Error al procesar consumo,Error al procesar emisiones,254 m²,4,2,,A reformar,4528556-Casa Adosada Aravaca,,,,,254 m²,,,,,,Sur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Madrid,BM  INVERSIONES,5.841 €/m²,1.250.000 €,214 m²,28079,https://www.pisos.com/comprar/piso-gaztambide28015-44228658959_100500/,2025-01-30,Error al procesar consumo,Error al procesar emisiones,214 m²,6,2,Más de 50 años,En buen estado,SA4633-BMIRE-382,Gres,Frío,,N/A,202 m²,Más de 100 €,,1,,N/A,,3ª,N/A,Cocina amueblada,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,
Piso en Recoletos,Alegría Madrid,10.907 €/m²,829.000 €,76 m²,28079,https://www.pisos.com/comprar/piso-recoletos28001-50872383869_100500/,2025-02-11,Error al procesar consumo,Error al procesar emisiones,76 m²,2,2,Más de 50 años,,SA5787-MEM080/11412,,N/A,Gas natural,,51 m²,,N/A,1,N/A,,,1ª,,,,,,,1,,N/A,,,,,,,,,,,,,,,N/A,,,,,
Piso en calle de Fuencarral,HERNAN INMOBILIARIA,9.301 €/m²,1.079.000 €,116 m²,28079,https://www.pisos.com/comprar/piso-justicia_chueca28004-50857034646_100500/,2025-02-10,Error al procesar consumo,Error al procesar emisiones,116 m²,3,3,Más de 50 años,En buen estado,SA5515-107007280,,N/A,,N/A,93 m²,Entre 80 y 100 €,,1,,,Norte,2ª,N/A,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,
Piso en calle del Mazo,HIDALGO Y  PANTALEON,2.115 €/m²,146.000 €,69 m²,28079,https://www.pisos.com/comprar/piso-ciudad_lineal_pueblo_nuevo28017-51723601682_100500/,2025-02-11,Error al procesar consumo,Error al procesar emisiones,69 m²,3,1,Más de 50 años,En buen estado,SA5844-51042798,,,,,65 m²,,,,,,,1ª,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ático en Sol,Fives Real Estate,11.123 €/m²,1.980.000 €,178 m²,28079,https://www.pisos.com/comprar/atico-sol_barrio28013-50028122884_108500/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,178 m²,2,2,,,AG376-ATC0012,Parquet,N/A,N/A,N/A,162 m²,,,,N/A,No acristalada,,,N/A,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,
Piso en Goya,HOMES BY GESTILAR,10.833 €/m²,1.300.000 €,120 m²,28079,https://www.pisos.com/comprar/piso-goya28009-50847627214_108900/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,120 m²,3,2,,Reformado,XA780-H2801006-6,,,,N/A,94 m²,,,,,N/A,Sur,7ª,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento en Puente de Vallecas,ELEPHANT REAL ESTATE,1.865 €/m²,125.000 €,67 m²,28079,https://www.pisos.com/comprar/apartamento-san_diego28053-40036481967_100500/,2025-02-13,Error al procesar consumo,Error al procesar emisiones,67 m²,1,1,Entre 30 y 50 años,,SA2135-05235/7619,,,,,57 m²,,,,,N/A,Norte,Bajo,,,,,,,,,,,,,,,,,,N/A,,,,,,N/A,,,,,
